layer_idx,layer_type,series,x,y,marker_type,color,error_x_plus,error_x_minus,error_y_plus,error_y_minus
0,Scatter Plot,24°C,0,6.113,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.1848,7.668,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3076,8.972,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3329,9.666,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3452,10.249,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3453,10.911,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3453,11.467,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3454,11.913,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3447,12.581,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3448,13.088,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3448,13.617,circle,#0000FF,,,,
0,Scatter Plot,27°C,0,17.195,square,#008000,,,,
0,Scatter Plot,27°C,0.011,18.167,square,#008000,,,,
0,Scatter Plot,27°C,0.0833,18.867,square,#008000,,,,
0,Scatter Plot,27°C,0.2587,19.446,square,#008000,,,,
0,Scatter Plot,27°C,0.3634,20.057,square,#008000,,,,
0,Scatter Plot,27°C,0.4709,20.523,square,#008000,,,,
0,Scatter Plot,27°C,0.5876,21.333,square,#008000,,,,
0,Scatter Plot,27°C,0.5991,21.722,square,#008000,,,,
0,Scatter Plot,27°C,0.5992,22.111,square,#008000,,,,
0,Scatter Plot,27°C,0.6117,22.5,square,#008000,,,,
0,Scatter Plot,27°C,0.6354,22.8,square,#008000,,,,
0,Scatter Plot,27°C,0.6583,22.972,square,#008000,,,,
0,Scatter Plot,27°C,0.6828,24.028,square,#008000,,,,
0,Scatter Plot,27°C,0.6821,24.445,square,#008000,,,,
0,Scatter Plot,30°C,0,7.141,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.01,8.306,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.0739,9.334,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.2323,10.167,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.4208,11.833,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5154,12.612,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5256,13.418,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5356,14.169,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5372,14.864,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5474,15.642,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.568,16.282,diamond,#FF0000,,,,
