layer_idx,layer_type,series,x,y,marker_type,color,error_x_plus,error_x_minus,error_y_plus,error_y_minus
,Line Graph,24°C,7.236,0.0681,circle,#0000FF,,,,
,Line Graph,24°C,8.169,0.1871,circle,#0000FF,,,,
,Line Graph,24°C,9.135,0.3041,circle,#0000FF,,,,
,Line Graph,24°C,11.034,0.33,circle,#0000FF,,,,
,Line Graph,24°C,11.966,0.3411,circle,#0000FF,,,,
,Line Graph,24°C,20.594,0.357,circle,#0000FF,,,,
,Line Graph,27°C,3.405,0.01,square,#008000,,,,
,Line Graph,27°C,4.338,0.0784,square,#008000,,,,
,Line Graph,27°C,5.304,0.2541,square,#008000,,,,
,Line Graph,27°C,6.236,0.3611,square,#008000,,,,
,Line Graph,27°C,7.203,0.4662,square,#008000,,,,
,Line Graph,27°C,8.169,0.5741,square,#008000,,,,
,Line Graph,27°C,9.101,0.587,square,#008000,,,,
,Line Graph,27°C,10,0.5951,square,#008000,,,,
,Line Graph,27°C,12,0.6081,square,#008000,,,,
,Line Graph,27°C,13.932,0.66,square,#008000,,,,
,Line Graph,27°C,15.797,0.68,square,#008000,,,,
,Line Graph,27°C,19.628,0.693,square,#008000,,,,
,Line Graph,27°C,21.561,0.707,square,#008000,,,,
,Line Graph,30°C,4.372,0.117,diamond,#FF0000,,,,
,Line Graph,30°C,5.304,0.527,diamond,#FF0000,,,,
,Line Graph,30°C,6.236,0.567,diamond,#FF0000,,,,
,Line Graph,30°C,7.203,0.6192,diamond,#FF0000,,,,
,Line Graph,30°C,8.169,0.6322,diamond,#FF0000,,,,
,Line Graph,30°C,10.034,0.6451,diamond,#FF0000,,,,
,Line Graph,27°C,12.95,0.6336,square,#008000,,,,
