layer_idx,layer_type,series,x,y
0,Line Graph,Brazil,1856.0,227193.0
0,Line Graph,Brazil,1857.0,269048.0
0,Line Graph,Brazil,1858.0,284547.0
0,Line Graph,Brazil,1859.0,372714.0
0,Line Graph,Brazil,1860.0,434898.0
0,Line Graph,Brazil,1861.0,410068.0
0,Line Graph,Brazil,1862.0,355327.0
0,Line Graph,Brazil,1863.0,425965.0
0,Line Graph,Brazil,1864.0,479584.0
0,Line Graph,Brazil,1865.0,571897.0
0,Line Graph,Brazil,1866.0,646022.0
0,Line Graph,Brazil,1867.0,554700.0
0,Line Graph,Brazil,1868.0,752482.0
0,Line Graph,Brazil,1869.0,605044.0
0,Line Graph,Brazil,1870.0,698167.0
0,Line Graph,Brazil,1871.0,844686.0
0,Line Graph,Brazil,1872.0,858380.0
0,Line Graph,Brazil,1873.0,1029011.0
0,Line Graph,Brazil,1874.0,996022.0
0,Line Graph,Brazil,1875.0,939750.0
0,Line Graph,Brazil,1876.0,843065.0
0,Line Graph,Brazil,1877.0,878429.0
0,Line Graph,Brazil,1878.0,949458.0
0,Line Graph,Brazil,1879.0,808030.0
0,Line Graph,Brazil,1880.0,923420.0
0,Line Graph,Brazil,1881.0,1031042.0
0,Line Graph,Brazil,1882.0,948135.0
0,Line Graph,Brazil,1883.0,1170254.0
0,Line Graph,Brazil,1884.0,1282615.0
0,Line Graph,Brazil,1885.0,1215464.0
0,Line Graph,Brazil,1886.0,1236031.0
0,Line Graph,Brazil,1887.0,1315565.0
0,Line Graph,Brazil,1888.0,1283198.0
0,Line Graph,Brazil,1889.0,1860401.0
0,Line Graph,Brazil,1890.0,1713533.0
0,Line Graph,Brazil,1891.0,2072020.0
0,Line Graph,Brazil,1892.0,2145624.0
0,Line Graph,Brazil,1893.0,1969636.0
0,Line Graph,Brazil,1894.0,2308266.0
0,Line Graph,Brazil,1895.0,2188105.0
0,Line Graph,Brazil,1896.0,2615588.0
0,Line Graph,Brazil,1897.0,2734326.0
0,Line Graph,Brazil,1898.0,2681303.0
0,Line Graph,Brazil,1899.0,2612972.0
0,Line Graph,Brazil,1900.0,2272218.0
0,Line Graph,Brazil,1901.0,2314927.0
0,Line Graph,Brazil,1902.0,2554500.0
0,Line Graph,Brazil,1903.0,2442213.0
0,Line Graph,Brazil,1904.0,2639233.0
0,Line Graph,Brazil,1905.0,2871745.0
0,Line Graph,Brazil,1906.0,3248124.0
0,Line Graph,Brazil,1907.0,3722012.0
0,Line Graph,Brazil,1908.0,3729627.0
0,Line Graph,Brazil,1909.0,3825869.0
0,Line Graph,Brazil,1910.0,4584790.0
0,Line Graph,Brazil,1911.0,5383972.0
0,Line Graph,Brazil,1912.0,5477784.0
0,Line Graph,Brazil,1913.0,6107222.0
0,Line Graph,Brazil,1914.0,4657949.0
0,Line Graph,Brazil,1915.0,3211753.0
0,Line Graph,Brazil,1916.0,2735087.0
0,Line Graph,Brazil,1917.0,2840131.0
0,Line Graph,Brazil,1918.0,2656656.0
0,Line Graph,Brazil,1919.0,2967940.0
0,Line Graph,Brazil,1920.0,3964006.0
0,Line Graph,Brazil,1921.0,2886595.0
0,Line Graph,Brazil,1922.0,4026874.0
0,Line Graph,Brazil,1923.0,4792903.0
0,Line Graph,Brazil,1924.0,5319118.0
0,Line Graph,Brazil,1925.0,5341588.0
0,Line Graph,Brazil,1926.0,5469600.0
0,Line Graph,Brazil,1927.0,6038804.0
0,Line Graph,Brazil,1928.0,6083169.0
0,Line Graph,Brazil,1929.0,6337248.0
0,Line Graph,Brazil,1930.0,5787529.0
0,Line Graph,Brazil,1931.0,4772610.0
0,Line Graph,Brazil,1932.0,4780363.0
0,Line Graph,Brazil,1933.0,5177471.0
0,Line Graph,Brazil,1934.0,5158075.0
0,Line Graph,Brazil,1935.0,5378230.0
0,Line Graph,Brazil,1936.0,5617306.0
0,Line Graph,Brazil,1937.0,6731251.0
0,Line Graph,Brazil,1938.0,7179338.0
0,Line Graph,Brazil,1939.0,5614746.0
0,Line Graph,Brazil,1940.0,5654414.0
0,Line Graph,Brazil,1941.0,6280670.0
0,Line Graph,Brazil,1942.0,5866699.0
