layer_idx,layer_type,series,x,y
0,Line Graph,Brazil,1934.0,26.44
0,Line Graph,Brazil,1935.0,26.23
0,Line Graph,Brazil,1936.0,26.0
0,Line Graph,Brazil,1937.0,25.69
0,Line Graph,Brazil,1938.0,25.43
0,Line Graph,Brazil,1939.0,25.19
0,Line Graph,Brazil,1940.0,24.93
0,Line Graph,Brazil,1941.0,24.63
0,Line Graph,Brazil,1942.0,24.37
0,Line Graph,Brazil,1943.0,24.08
0,Line Graph,Brazil,1944.0,23.78
0,Line Graph,Brazil,1945.0,23.46
0,Line Graph,Brazil,1946.0,23.11
0,Line Graph,Brazil,1947.0,22.76
0,Line Graph,Brazil,1948.0,22.38
0,Line Graph,Brazil,1949.0,22.01
0,Line Graph,Brazil,1950.0,21.61
0,Line Graph,Brazil,1951.0,21.19
0,Line Graph,Brazil,1952.0,20.75
0,Line Graph,Brazil,1953.0,20.31
0,Line Graph,Brazil,1954.0,19.86
0,Line Graph,Brazil,1955.0,19.39
0,Line Graph,Brazil,1956.0,18.91
0,Line Graph,Brazil,1957.0,18.42
0,Line Graph,Brazil,1958.0,17.93
0,Line Graph,Brazil,1959.0,17.44
0,Line Graph,Brazil,1960.0,16.94
0,Line Graph,Brazil,1961.0,16.47
0,Line Graph,Brazil,1962.0,16.03
0,Line Graph,Brazil,1963.0,15.61
0,Line Graph,Brazil,1964.0,15.22
0,Line Graph,Brazil,1965.0,14.86
0,Line Graph,Brazil,1966.0,14.52
0,Line Graph,Brazil,1967.0,14.19
0,Line Graph,Brazil,1968.0,13.88
0,Line Graph,Brazil,1969.0,13.55
0,Line Graph,Brazil,1970.0,13.22
0,Line Graph,Brazil,1971.0,12.89
0,Line Graph,Brazil,1972.0,12.55
0,Line Graph,Brazil,1973.0,12.21
0,Line Graph,Brazil,1974.0,11.89
0,Line Graph,Brazil,1975.0,11.56
0,Line Graph,Brazil,1976.0,11.21
0,Line Graph,Brazil,1977.0,10.83
0,Line Graph,Brazil,1978.0,10.43
0,Line Graph,Brazil,1979.0,10.01
0,Line Graph,Brazil,1980.0,9.57
0,Line Graph,Brazil,1981.0,9.14
0,Line Graph,Brazil,1982.0,8.73
0,Line Graph,Brazil,1983.0,8.34
0,Line Graph,Brazil,1984.0,7.98
0,Line Graph,Brazil,1985.0,7.67
0,Line Graph,Brazil,1986.0,7.38
0,Line Graph,Brazil,1987.0,7.11
0,Line Graph,Brazil,1988.0,6.84
0,Line Graph,Brazil,1989.0,6.58
0,Line Graph,Brazil,1990.0,6.31
0,Line Graph,Brazil,1991.0,6.02
0,Line Graph,Brazil,1992.0,5.72
0,Line Graph,Brazil,1993.0,5.41
0,Line Graph,Brazil,1994.0,5.09
0,Line Graph,Brazil,1995.0,4.77
0,Line Graph,Brazil,1996.0,4.47
0,Line Graph,Brazil,1997.0,4.19
0,Line Graph,Brazil,1998.0,3.93
0,Line Graph,Brazil,1999.0,3.68
0,Line Graph,Brazil,2000.0,3.45
0,Line Graph,Brazil,2001.0,3.22
0,Line Graph,Brazil,2002.0,3.01
0,Line Graph,Brazil,2003.0,2.81
0,Line Graph,Brazil,2004.0,2.63
0,Line Graph,Brazil,2005.0,2.46
0,Line Graph,Brazil,2006.0,2.31
0,Line Graph,Brazil,2007.0,2.17
0,Line Graph,Brazil,2008.0,2.05
0,Line Graph,Brazil,2009.0,1.95
0,Line Graph,Brazil,2010.0,1.86
0,Line Graph,Brazil,2011.0,1.79
0,Line Graph,Brazil,2012.0,1.72
0,Line Graph,Brazil,2013.0,1.67
0,Line Graph,Brazil,2014.0,1.63
0,Line Graph,Brazil,2015.0,1.6
0,Line Graph,Brazil,2016.0,1.68
0,Line Graph,Brazil,2017.0,1.54
0,Line Graph,Brazil,2018.0,1.52
0,Line Graph,Brazil,2019.0,1.5
0,Line Graph,Brazil,2020.0,1.49
0,Line Graph,Brazil,2021.0,1.47
0,Line Graph,Brazil,2022.0,1.46
0,Line Graph,Brazil,2023.0,1.44
0,Line Graph,France,1816.0,27.32
0,Line Graph,France,1817.0,28.35
0,Line Graph,France,1818.0,29.37
0,Line Graph,France,1819.0,31.22
0,Line Graph,France,1820.0,28.48
0,Line Graph,France,1821.0,28.73
0,Line Graph,France,1822.0,30.94
0,Line Graph,France,1823.0,28.92
0,Line Graph,France,1824.0,30.56
0,Line Graph,France,1825.0,30.57
0,Line Graph,France,1826.0,30.37
0,Line Graph,France,1827.0,28.45
0,Line Graph,France,1828.0,31.28
0,Line Graph,France,1829.0,28.43
0,Line Graph,France,1830.0,28.29
0,Line Graph,France,1831.0,28.35
0,Line Graph,France,1832.0,29.8
0,Line Graph,France,1833.0,28.65
0,Line Graph,France,1834.0,33.8
0,Line Graph,France,1835.0,27.73
0,Line Graph,France,1836.0,25.91
0,Line Graph,France,1837.0,27.41
0,Line Graph,France,1838.0,28.65
0,Line Graph,France,1839.0,26.8
0,Line Graph,France,1840.0,26.07
0,Line Graph,France,1841.0,26.25
0,Line Graph,France,1842.0,27.01
0,Line Graph,France,1843.0,26.89
0,Line Graph,France,1844.0,25.19
0,Line Graph,France,1845.0,23.69
0,Line Graph,France,1846.0,27.16
0,Line Graph,France,1847.0,25.81
0,Line Graph,France,1848.0,26.48
0,Line Graph,France,1849.0,30.11
0,Line Graph,France,1850.0,23.81
0,Line Graph,France,1851.0,26.21
0,Line Graph,France,1852.0,26.51
0,Line Graph,France,1853.0,24.44
0,Line Graph,France,1854.0,29.8
0,Line Graph,France,1855.0,27.87
0,Line Graph,France,1856.0,26.86
0,Line Graph,France,1857.0,28.55
0,Line Graph,France,1858.0,28.25
0,Line Graph,France,1859.0,34.73
0,Line Graph,France,1860.0,24.33
0,Line Graph,France,1861.0,29.11
0,Line Graph,France,1862.0,25.83
0,Line Graph,France,1863.0,27.52
0,Line Graph,France,1864.0,26.49
0,Line Graph,France,1865.0,28.33
0,Line Graph,France,1866.0,25.33
0,Line Graph,France,1867.0,26.35
0,Line Graph,France,1868.0,28.84
0,Line Graph,France,1869.0,27.36
0,Line Graph,France,1870.0,30.03
0,Line Graph,France,1871.0,34.39
0,Line Graph,France,1872.0,25.49
0,Line Graph,France,1873.0,26.7
0,Line Graph,France,1874.0,24.17
0,Line Graph,France,1875.0,24.57
0,Line Graph,France,1876.0,24.04
0,Line Graph,France,1877.0,23.7
0,Line Graph,France,1878.0,24.95
0,Line Graph,France,1879.0,23.54
0,Line Graph,France,1880.0,25.7
0,Line Graph,France,1881.0,24.41
0,Line Graph,France,1882.0,24.84
0,Line Graph,France,1883.0,24.79
0,Line Graph,France,1884.0,26.0
0,Line Graph,France,1885.0,24.02
0,Line Graph,France,1886.0,25.0
0,Line Graph,France,1887.0,24.26
0,Line Graph,France,1888.0,24.18
0,Line Graph,France,1889.0,22.95
0,Line Graph,France,1890.0,25.06
0,Line Graph,France,1891.0,23.55
0,Line Graph,France,1892.0,25.02
0,Line Graph,France,1893.0,24.9
0,Line Graph,France,1894.0,22.63
0,Line Graph,France,1895.0,22.82
0,Line Graph,France,1896.0,20.32
0,Line Graph,France,1897.0,20.7
0,Line Graph,France,1898.0,22.85
0,Line Graph,France,1899.0,23.42
0,Line Graph,France,1900.0,22.4
0,Line Graph,France,1901.0,20.66
0,Line Graph,France,1902.0,19.66
0,Line Graph,France,1903.0,19.44
0,Line Graph,France,1904.0,20.17
0,Line Graph,France,1905.0,19.06
0,Line Graph,France,1906.0,20.0
0,Line Graph,France,1907.0,18.4
0,Line Graph,France,1908.0,18.16
0,Line Graph,France,1909.0,16.75
0,Line Graph,France,1910.0,16.01
0,Line Graph,France,1911.0,20.43
0,Line Graph,France,1912.0,15.7
0,Line Graph,France,1913.0,16.3
0,Line Graph,France,1914.0,15.51
