layer_idx,layer_type,series,x,y
0,Line Graph,Canada,1790.0,0.00448715
0,Line Graph,Canada,1800.0,0.007328
0,Line Graph,Canada,1801.0,0.0071507194
0,Line Graph,Canada,1802.0,0.0069777183
0,Line Graph,Canada,1803.0,0.006808903
0,Line Graph,Canada,1804.0,0.006644181
0,Line Graph,Canada,1805.0,0.006483441
0,Line Graph,Canada,1806.0,0.0063265893
0,Line Graph,Canada,1807.0,0.006173526
0,Line Graph,Canada,1808.0,0.006024176
0,Line Graph,Canada,1809.0,0.005878427
0,Line Graph,Canada,1810.0,0.005732775
0,Line Graph,Canada,1811.0,0.0055940812
0,Line Graph,Canada,1812.0,0.0054587494
0,Line Graph,Canada,1813.0,0.005326681
0,Line Graph,Canada,1814.0,0.0051978193
0,Line Graph,Canada,1815.0,0.0050720666
0,Line Graph,Canada,1816.0,0.0049493583
0,Line Graph,Canada,1817.0,0.004829619
0,Line Graph,Canada,1818.0,0.0047127767
0,Line Graph,Canada,1819.0,0.0045876615
0,Line Graph,Canada,1820.0,0.004455307
0,Line Graph,Canada,1821.0,0.0043168045
0,Line Graph,Canada,1822.0,0.0041732965
0,Line Graph,Canada,1823.0,0.0040259357
0,Line Graph,Canada,1824.0,0.0038837793
0,Line Graph,Canada,1825.0,0.0037466397
0,Line Graph,Canada,1826.0,0.003614346
0,Line Graph,Canada,1827.0,0.003486721
0,Line Graph,Canada,1828.0,0.0033636033
0,Line Graph,Canada,1829.0,0.0032439104
0,Line Graph,Canada,1830.0,0.0031276222
0,Line Graph,Canada,1831.0,0.0030147023
0,Line Graph,Canada,1832.0,0.0029051213
0,Line Graph,Canada,1833.0,0.0027988374
0,Line Graph,Canada,1834.0,0.0026964413
0,Line Graph,Canada,1835.0,0.0025977911
0,Line Graph,Canada,1836.0,0.0025027494
0,Line Graph,Canada,1837.0,0.0024111862
0,Line Graph,Canada,1838.0,0.0023229716
0,Line Graph,Canada,1839.0,0.0022375667
0,Line Graph,Canada,1840.0,0.0021549126
0,Line Graph,Canada,1841.0,0.0020749497
0,Line Graph,Canada,1842.0,0.0019976208
0,Line Graph,Canada,1843.0,0.001922864
0,Line Graph,Canada,1844.0,0.0018509051
0,Line Graph,Canada,1845.0,0.0017816393
0,Line Graph,Canada,1846.0,0.012004754
0,Line Graph,Canada,1847.0,0.014857079
0,Line Graph,Canada,1848.0,0.017479105
0,Line Graph,Canada,1849.0,0.019917024
0,Line Graph,Canada,1850.0,0.023672614
0,Line Graph,Canada,1851.0,0.027198797
0,Line Graph,Canada,1852.0,0.03190351
0,Line Graph,Canada,1853.0,0.037688646
0,Line Graph,Canada,1854.0,0.044409256
0,Line Graph,Canada,1855.0,0.05196615
0,Line Graph,Canada,1856.0,0.060266335
0,Line Graph,Canada,1857.0,0.07041626
0,Line Graph,Canada,1858.0,0.08338649
0,Line Graph,Canada,1859.0,0.0970362
0,Line Graph,Canada,1860.0,0.11476422
0,Line Graph,Canada,1861.0,0.13540761
0,Line Graph,Canada,1862.0,0.16329855
0,Line Graph,Canada,1863.0,0.20264763
0,Line Graph,Canada,1864.0,0.24005882
0,Line Graph,Canada,1865.0,0.28693542
0,Line Graph,Canada,1866.0,0.34601
0,Line Graph,Canada,1867.0,0.43906397
0,Line Graph,Canada,1868.0,0.2575183
0,Line Graph,Canada,1869.0,0.18445463
0,Line Graph,Canada,1870.0,0.32536218
0,Line Graph,Canada,1871.0,0.46724626
0,Line Graph,Canada,1872.0,0.47791365
0,Line Graph,Canada,1873.0,0.41031522
0,Line Graph,Canada,1874.0,0.408123
0,Line Graph,Canada,1875.0,0.4649344
0,Line Graph,Canada,1876.0,0.45379946
0,Line Graph,Canada,1877.0,0.48700067
0,Line Graph,Canada,1878.0,0.45915452
0,Line Graph,Canada,1879.0,0.5112118
0,Line Graph,Canada,1880.0,1.208935
0,Line Graph,Canada,1881.0,1.2759558
0,Line Graph,Canada,1882.0,1.4924102
0,Line Graph,Canada,1883.0,1.6573254
0,Line Graph,Canada,1884.0,1.8968037
0,Line Graph,Canada,1885.0,1.7982968
0,Line Graph,Canada,1886.0,1.8977568
0,Line Graph,Canada,1887.0,2.1651986
0,Line Graph,Canada,1888.0,2.8083618
0,Line Graph,Canada,1889.0,2.3566074
0,Line Graph,Canada,1890.0,2.5630736
0,Line Graph,Canada,1891.0,2.8485932
0,Line Graph,Canada,1892.0,2.8091936
0,Line Graph,Canada,1893.0,2.9741094
0,Line Graph,Canada,1894.0,2.8107967
0,Line Graph,Canada,1895.0,2.6554804
0,Line Graph,Canada,1896.0,2.8461123
0,Line Graph,Canada,1897.0,2.8466144
0,Line Graph,Canada,1898.0,2.9912574
0,Line Graph,Canada,1899.0,3.601491
0,Line Graph,Canada,1900.0,3.809882
0,Line Graph,Canada,1901.0,4.314541
0,Line Graph,Canada,1902.0,4.5310693
0,Line Graph,Canada,1903.0,4.807077
0,Line Graph,Canada,1904.0,5.5376906
0,Line Graph,Canada,1905.0,5.762103
0,Line Graph,Canada,1906.0,5.924632
0,Line Graph,Canada,1907.0,7.2467875
0,Line Graph,Canada,1908.0,7.115185
0,Line Graph,Canada,1909.0,6.639268
0,Line Graph,Canada,1910.0,7.371467
0,Line Graph,Canada,1911.0,8.413321
0,Line Graph,Canada,1912.0,9.193391
0,Line Graph,Canada,1913.0,10.621982
0,Line Graph,Canada,1914.0,8.981634
0,Line Graph,Canada,1915.0,7.869652
0,Line Graph,Canada,1916.0,9.651729
0,Line Graph,Canada,1917.0,10.549546
0,Line Graph,Canada,1918.0,10.857058
0,Line Graph,Canada,1919.0,9.048733
0,Line Graph,Canada,1920.0,9.844267
0,Line Graph,Canada,1921.0,9.216849
0,Line Graph,Canada,1922.0,7.783743
0,Line Graph,Canada,1923.0,10.275167
0,Line Graph,Canada,1924.0,8.402561
0,Line Graph,Canada,1925.0,8.028306
0,Line Graph,Canada,1926.0,8.8852415
0,Line Graph,Canada,1927.0,9.4766445
0,Line Graph,Canada,1928.0,9.49147
0,Line Graph,Canada,1929.0,9.862325
0,Line Graph,Canada,1930.0,9.257836
0,Line Graph,Canada,1931.0,7.343073
0,Line Graph,Canada,1932.0,6.7147307
0,Line Graph,Canada,1933.0,6.573879
0,Line Graph,Canada,1934.0,7.4792857
0,Line Graph,Canada,1935.0,7.2952337
0,Line Graph,Canada,1936.0,7.8913813
0,Line Graph,Canada,1937.0,8.469536
0,Line Graph,Canada,1938.0,7.6667156
0,Line Graph,Canada,1939.0,8.410252
0,Line Graph,Canada,1940.0,9.483877
0,Line Graph,Canada,1941.0,10.331519
0,Line Graph,Canada,1942.0,11.084097
0,Line Graph,Canada,1943.0,11.464969
0,Line Graph,Canada,1944.0,11.450211
0,Line Graph,Canada,1945.0,10.452736
0,Line Graph,Canada,1946.0,10.886324
0,Line Graph,Canada,1947.0,11.086596
0,Line Graph,Canada,1948.0,12.02194
0,Line Graph,Canada,1949.0,10.782731
0,Line Graph,Canada,1950.0,11.216469
0,Line Graph,Canada,1951.0,11.551389
0,Line Graph,Canada,1952.0,11.006766
0,Line Graph,Canada,1953.0,10.780851
0,Line Graph,Canada,1954.0,10.638279
0,Line Graph,Canada,1955.0,10.77529
0,Line Graph,Canada,1956.0,11.745476
0,Line Graph,Canada,1957.0,10.985606
0,Line Graph,Canada,1958.0,10.649803
0,Line Graph,Canada,1959.0,10.53245
0,Line Graph,Canada,1960.0,10.766996
0,Line Graph,Canada,1961.0,10.622562
0,Line Graph,Canada,1962.0,11.120407
0,Line Graph,Canada,1963.0,11.121489
0,Line Graph,Canada,1964.0,12.295921
0,Line Graph,Canada,1965.0,12.797076
0,Line Graph,Canada,1966.0,12.919052
0,Line Graph,Canada,1967.0,13.7998
0,Line Graph,Canada,1968.0,14.626161
0,Line Graph,Canada,1969.0,14.598575
0,Line Graph,Canada,1970.0,15.915665
0,Line Graph,Canada,1971.0,16.090685
0,Line Graph,Canada,1972.0,17.129944
0,Line Graph,Canada,1973.0,16.93741
0,Line Graph,Canada,1974.0,17.07107
0,Line Graph,Canada,1975.0,17.14073
0,Line Graph,Canada,1976.0,17.009277
0,Line Graph,Canada,1977.0,17.184351
0,Line Graph,Canada,1978.0,17.329197
0,Line Graph,Canada,1979.0,18.223415
0,Line Graph,Canada,1980.0,18.050346
0,Line Graph,Canada,1981.0,17.292124
0,Line Graph,Canada,1982.0,16.485767
0,Line Graph,Canada,1983.0,16.068201
0,Line Graph,Canada,1984.0,16.56528
0,Line Graph,Canada,1985.0,16.26561
0,Line Graph,Canada,1986.0,15.440642
0,Line Graph,Canada,1987.0,16.238403
0,Line Graph,Canada,1988.0,16.921936
0,Line Graph,Canada,1989.0,16.914713
0,Line Graph,Canada,1990.0,16.481726
0,Line Graph,Canada,1991.0,15.973789
0,Line Graph,Canada,1992.0,16.259357
0,Line Graph,Canada,1993.0,16.096474
0,Line Graph,Canada,1994.0,16.415466
0,Line Graph,Canada,1995.0,16.677519
0,Line Graph,Canada,1996.0,17.058207
0,Line Graph,Canada,1997.0,17.366419
0,Line Graph,Canada,1998.0,17.461765
0,Line Graph,Canada,1999.0,17.773502
0,Line Graph,Canada,2000.0,18.344023
0,Line Graph,Canada,2001.0,17.90825
0,Line Graph,Canada,2002.0,17.892685
0,Line Graph,Canada,2003.0,18.255484
0,Line Graph,Canada,2004.0,17.93459
0,Line Graph,Canada,2005.0,17.583017
0,Line Graph,Canada,2006.0,17.287231
0,Line Graph,Canada,2007.0,17.827667
0,Line Graph,Canada,2008.0,17.166817
0,Line Graph,Canada,2009.0,15.997278
0,Line Graph,Canada,2010.0,16.20929
0,Line Graph,Canada,2011.0,16.287806
0,Line Graph,Canada,2012.0,16.086172
0,Line Graph,Canada,2013.0,16.11036
0,Line Graph,Canada,2014.0,15.853792
0,Line Graph,Canada,2015.0,15.655382
0,Line Graph,Canada,2016.0,15.231254
0,Line Graph,Canada,2017.0,15.394822
0,Line Graph,Canada,2018.0,15.420052
0,Line Graph,Canada,2019.0,15.324565
0,Line Graph,Canada,2020.0,13.732821
0,Line Graph,Canada,2021.0,13.977163
0,Line Graph,Canada,2022.0,14.107159
0,Line Graph,Canada,2023.0,13.880179
0,Line Graph,Canada,2024.0,13.419917
0,Line Graph,China,1907.0,0.04840261
0,Line Graph,China,1908.0,0.055020537
0,Line Graph,China,1909.0,0.058310255
0,Line Graph,China,1910.0,0.059680074
0,Line Graph,China,1911.0,0.05827084
0,Line Graph,China,1912.0,0.039898846
0,Line Graph,China,1913.0,0.056213327
0,Line Graph,China,1914.0,0.061269186
0,Line Graph,China,1915.0,0.057669863
0,Line Graph,China,1916.0,0.0676246
0,Line Graph,China,1917.0,0.071104296
0,Line Graph,China,1918.0,0.07631273
0,Line Graph,China,1919.0,0.08266413
0,Line Graph,China,1920.0,0.08693245
0,Line Graph,China,1921.0,0.083120845
0,Line Graph,China,1922.0,0.08528475
0,Line Graph,China,1923.0,0.09890104
0,Line Graph,China,1924.0,0.103484906
0,Line Graph,China,1925.0,0.09701566
0,Line Graph,China,1926.0,0.09184579
0,Line Graph,China,1927.0,0.09602494
0,Line Graph,China,1928.0,0.09940985
0,Line Graph,China,1929.0,0.10044768
0,Line Graph,China,1930.0,0.102641396
0,Line Graph,China,1931.0,0.10696789
0,Line Graph,China,1932.0,0.10303524
0,Line Graph,China,1933.0,0.110256605
0,Line Graph,China,1934.0,0.12636147
0,Line Graph,China,1935.0,0.1462837
0,Line Graph,China,1936.0,0.15108936
0,Line Graph,China,1937.0,0.141227
0,Line Graph,China,1938.0,0.12139731
0,Line Graph,China,1939.0,0.14638789
0,Line Graph,China,1940.0,0.17756674
0,Line Graph,China,1941.0,0.22169025
0,Line Graph,China,1942.0,0.24687532
0,Line Graph,China,1943.0,0.20974888
0,Line Graph,China,1944.0,0.19717897
0,Line Graph,China,1945.0,0.1064322
0,Line Graph,China,1946.0,0.06839545
0,Line Graph,China,1947.0,0.078831576
0,Line Graph,China,1948.0,0.07197712
0,Line Graph,China,1949.0,0.11541034
0,Line Graph,China,1950.0,0.14490603
0,Line Graph,China,1951.0,0.18440396
0,Line Graph,China,1952.0,0.22650127
0,Line Graph,China,1953.0,0.23164201
0,Line Graph,China,1954.0,0.2726271
0,Line Graph,China,1955.0,0.3156697
0,Line Graph,China,1956.0,0.35005215
0,Line Graph,China,1957.0,0.40578437
0,Line Graph,China,1958.0,0.8143566
0,Line Graph,China,1959.0,1.1033454
0,Line Graph,China,1960.0,1.2199273
0,Line Graph,China,1961.0,0.87018025
0,Line Graph,China,1962.0,0.69108945
0,Line Graph,China,1963.0,0.6672778
0,Line Graph,China,1964.0,0.65358335
0,Line Graph,China,1965.0,0.6915715
0,Line Graph,China,1966.0,0.74011993
0,Line Graph,China,1967.0,0.6047536
0,Line Graph,China,1968.0,0.63445187
0,Line Graph,China,1969.0,0.75759107
0,Line Graph,China,1970.0,0.9813614
0,Line Graph,China,1971.0,1.0771737
0,Line Graph,China,1972.0,1.1215245
0,Line Graph,China,1973.0,1.1424145
0,Line Graph,China,1974.0,1.1419026
0,Line Graph,China,1975.0,1.2914877
0,Line Graph,China,1976.0,1.3181169
0,Line Graph,China,1977.0,1.420932
0,Line Graph,China,1978.0,1.5609471
0,Line Graph,China,1979.0,1.5737503
0,Line Graph,China,1980.0,1.5198873
0,Line Graph,China,1981.0,1.479652
0,Line Graph,China,1982.0,1.5847058
0,Line Graph,China,1983.0,1.6459085
0,Line Graph,China,1984.0,1.7667418
0,Line Graph,China,1985.0,1.8844863
0,Line Graph,China,1986.0,1.9526218
0,Line Graph,China,1987.0,2.0585601
0,Line Graph,China,1988.0,2.1739132
0,Line Graph,China,1989.0,2.1712253
0,Line Graph,China,1990.0,2.1528878
0,Line Graph,China,1991.0,2.2370765
0,Line Graph,China,1992.0,2.3057148
0,Line Graph,China,1993.0,2.4340296
0,Line Graph,China,1994.0,2.559043
0,Line Graph,China,1995.0,2.7465813
0,Line Graph,China,1996.0,2.8427844
0,Line Graph,China,1997.0,2.8299394
0,Line Graph,China,1998.0,2.6824508
0,Line Graph,China,1999.0,2.817025
0,Line Graph,China,2000.0,2.8700879
0,Line Graph,China,2001.0,2.912365
0,Line Graph,China,2002.0,3.184619
0,Line Graph,China,2003.0,3.7351773
0,Line Graph,China,2004.0,4.001966
0,Line Graph,China,2005.0,4.4899764
0,Line Graph,China,2006.0,4.921031
0,Line Graph,China,2007.0,5.2606664
0,Line Graph,China,2008.0,5.6172485
0,Line Graph,China,2009.0,5.8706574
0,Line Graph,China,2010.0,6.370445
0,Line Graph,China,2011.0,6.998823
0,Line Graph,China,2012.0,7.131918
0,Line Graph,China,2013.0,7.2097993
0,Line Graph,China,2014.0,7.187588
0,Line Graph,China,2015.0,7.0609546
0,Line Graph,China,2016.0,6.9428844
0,Line Graph,China,2017.0,7.080384
0,Line Graph,China,2018.0,7.2915606
0,Line Graph,China,2019.0,7.5260706
0,Line Graph,China,2020.0,7.64075
0,Line Graph,China,2021.0,7.910899
0,Line Graph,China,2022.0,8.217776
0,Line Graph,China,2023.0,8.556261
0,Line Graph,China,2024.0,8.65839
0,Line Graph,European Union (27),1800.0,0.009496322
0,Line Graph,European Union (27),1801.0,0.007687109
0,Line Graph,European Union (27),1802.0,0.075323544
0,Line Graph,European Union (27),1803.0,0.0077432757
0,Line Graph,European Union (27),1804.0,0.028136875
0,Line Graph,European Union (27),1805.0,0.012384073
0,Line Graph,European Union (27),1806.0,0.011137889
0,Line Graph,European Union (27),1807.0,0.02456841
0,Line Graph,European Union (27),1808.0,0.010567293
0,Line Graph,European Union (27),1809.0,0.01053345
0,Line Graph,European Union (27),1810.0,0.027361546
0,Line Graph,European Union (27),1811.0,0.026461568
0,Line Graph,European Union (27),1812.0,0.026405927
0,Line Graph,European Union (27),1813.0,0.024308203
0,Line Graph,European Union (27),1814.0,0.025301173
0,Line Graph,European Union (27),1815.0,0.028637664
0,Line Graph,European Union (27),1816.0,0.039958455
0,Line Graph,European Union (27),1817.0,0.048438467
0,Line Graph,European Union (27),1818.0,0.048490986
0,Line Graph,European Union (27),1819.0,0.048217118
0,Line Graph,European Union (27),1820.0,0.051519662
0,Line Graph,European Union (27),1821.0,0.05368985
0,Line Graph,European Union (27),1822.0,0.05565921
0,Line Graph,European Union (27),1823.0,0.05998616
0,Line Graph,European Union (27),1824.0,0.057156302
0,Line Graph,European Union (27),1825.0,0.067487836
0,Line Graph,European Union (27),1826.0,0.066472225
0,Line Graph,European Union (27),1827.0,0.08102235
0,Line Graph,European Union (27),1828.0,0.08177985
0,Line Graph,European Union (27),1829.0,0.07329413
0,Line Graph,European Union (27),1830.0,0.123744555
0,Line Graph,European Union (27),1831.0,0.10568742
0,Line Graph,European Union (27),1832.0,0.10498963
0,Line Graph,European Union (27),1833.0,0.112357475
0,Line Graph,European Union (27),1834.0,0.122855805
0,Line Graph,European Union (27),1835.0,0.13000333
0,Line Graph,European Union (27),1836.0,0.14598058
0,Line Graph,European Union (27),1837.0,0.15728626
0,Line Graph,European Union (27),1838.0,0.1656946
0,Line Graph,European Union (27),1839.0,0.17134991
0,Line Graph,European Union (27),1840.0,0.19290182
0,Line Graph,European Union (27),1841.0,0.20625627
