layer_idx,layer_type,series,x,y
0,Line Graph,Brazil,1990.0,12633.288
0,Line Graph,Brazil,1991.0,12546.561
0,Line Graph,Brazil,1992.0,12271.979
0,Line Graph,Brazil,1993.0,12669.429
0,Line Graph,Brazil,1994.0,13202.931
0,Line Graph,Brazil,1995.0,13550.439
0,Line Graph,Brazil,1996.0,13641.63
0,Line Graph,Brazil,1997.0,13896.625
0,Line Graph,Brazil,1998.0,13737.703
0,Line Graph,Brazil,1999.0,13602.414
0,Line Graph,Brazil,2000.0,14005.348
0,Line Graph,Brazil,2001.0,14016.132
0,Line Graph,Brazil,2002.0,14265.905
0,Line Graph,Brazil,2003.0,14259.366
0,Line Graph,Brazil,2004.0,14911.261
0,Line Graph,Brazil,2005.0,15221.014
0,Line Graph,Brazil,2006.0,15657.4795
0,Line Graph,Brazil,2007.0,16440.584
0,Line Graph,Brazil,2008.0,17113.367
0,Line Graph,Brazil,2009.0,16939.441
0,Line Graph,Brazil,2010.0,18062.158
0,Line Graph,Brazil,2011.0,18627.81
0,Line Graph,Brazil,2012.0,18832.219
0,Line Graph,Brazil,2013.0,19241.506
0,Line Graph,Brazil,2014.0,19183.172
0,Line Graph,Brazil,2015.0,18357.068
0,Line Graph,Brazil,2016.0,17620.928
0,Line Graph,Brazil,2017.0,17724.48
0,Line Graph,Brazil,2018.0,17917.75
0,Line Graph,Brazil,2019.0,18018.621
0,Line Graph,Brazil,2020.0,17327.516
0,Line Graph,Brazil,2021.0,18075.705
0,Line Graph,Brazil,2022.0,18554.047
0,Line Graph,Brazil,2023.0,19079.812
0,Line Graph,Brazil,2024.0,19652.365
0,Line Graph,China,1990.0,1666.9277
0,Line Graph,China,1991.0,1798.2761
0,Line Graph,China,1992.0,2030.3864
0,Line Graph,China,1993.0,2286.7598
0,Line Graph,China,1994.0,2556.6406
0,Line Graph,China,1995.0,2808.034
0,Line Graph,China,1996.0,3055.9697
0,Line Graph,China,1997.0,3305.7905
0,Line Graph,China,1998.0,3533.566
0,Line Graph,China,1999.0,3774.1377
0,Line Graph,China,2000.0,4066.0364
