Entity,Code,Year,GDP per capita,World region according to OWID
Brazil,BRA,1990,12633.288,South America
Brazil,BRA,1991,12546.561,South America
Brazil,BRA,1992,12271.979,South America
Brazil,BRA,1993,12669.429,South America
Brazil,BRA,1994,13202.931,South America
Brazil,BRA,1995,13550.439,South America
Brazil,BRA,1996,13641.63,South America
Brazil,BRA,1997,13896.625,South America
Brazil,BRA,1998,13737.703,South America
Brazil,BRA,1999,13602.414,South America
Brazil,BRA,2000,14005.348,South America
Brazil,BRA,2001,14016.132,South America
Brazil,BRA,2002,14265.905,South America
Brazil,BRA,2003,14259.366,South America
Brazil,BRA,2004,14911.261,South America
Brazil,BRA,2005,15221.014,South America
Brazil,BRA,2006,15657.4795,South America
Brazil,BRA,2007,16440.584,South America
Brazil,BRA,2008,17113.367,South America
Brazil,BRA,2009,16939.441,South America
Brazil,BRA,2010,18062.158,South America
Brazil,BRA,2011,18627.81,South America
Brazil,BRA,2012,18832.219,South America
Brazil,BRA,2013,19241.506,South America
Brazil,BRA,2014,19183.172,South America
Brazil,BRA,2015,18357.068,South America
Brazil,BRA,2016,17620.928,South America
Brazil,BRA,2017,17724.48,South America
Brazil,BRA,2018,17917.75,South America
Brazil,BRA,2019,18018.621,South America
Brazil,BRA,2020,17327.516,South America
Brazil,BRA,2021,18075.705,South America
Brazil,BRA,2022,18554.047,South America
Brazil,BRA,2023,19079.812,South America
Brazil,BRA,2024,19652.365,South America
China,CHN,1990,1666.9277,Asia
China,CHN,1991,1798.2761,Asia
China,CHN,1992,2030.3864,Asia
China,CHN,1993,2286.7598,Asia
China,CHN,1994,2556.6406,Asia
China,CHN,1995,2808.034,Asia
China,CHN,1996,3055.9697,Asia
China,CHN,1997,3305.7905,Asia
China,CHN,1998,3533.566,Asia
China,CHN,1999,3774.1377,Asia
China,CHN,2000,4066.0364,Asia
China,CHN,2001,4372.157,Asia
China,CHN,2002,4744.3984,Asia
China,CHN,2003,5192.006,Asia
China,CHN,2004,5684.169,Asia
China,CHN,2005,6298.323,Asia
China,CHN,2006,7057.1,Asia
China,CHN,2007,8013.716,Asia
China,CHN,2008,8743.745,Asia
China,CHN,2009,9518.433,Asia
China,CHN,2010,10476.3125,Asia
China,CHN,2011,11405.018,Asia
China,CHN,2012,12217.8545,Asia
China,CHN,2013,13080.829,Asia
China,CHN,2014,13968.581,Asia
China,CHN,2015,14856.78,Asia
China,CHN,2016,15772.765,Asia
China,CHN,2017,16757.973,Asia
China,CHN,2018,17806.791,Asia
China,CHN,2019,18820.514,Asia
China,CHN,2020,19215.154,Asia
China,CHN,2021,20843.297,Asia
China,CHN,2022,21499.383,Asia
China,CHN,2023,22687.076,Asia
China,CHN,2024,23845.62,Asia
