layer_idx,layer_type,series,x,y
0,Line Graph,Modern biofuels,1800.0,0.0
0,Line Graph,Other renewables,1800.0,0.0
0,Line Graph,Solar,1800.0,0.0
0,Line Graph,Wind,1800.0,0.0
0,Line Graph,Hydropower,1800.0,0.0
0,Line Graph,Nuclear,1800.0,0.0
0,Line Graph,Gas,1800.0,0.0
0,Line Graph,Oil,1800.0,0.0
0,Line Graph,Coal,1800.0,97.0
0,Line Graph,Traditional biomass,1800.0,5556.0
0,Line Graph,Modern biofuels,1810.0,0.0
0,Line Graph,Other renewables,1810.0,0.0
0,Line Graph,Solar,1810.0,0.0
0,Line Graph,Wind,1810.0,0.0
0,Line Graph,Hydropower,1810.0,0.0
0,Line Graph,Nuclear,1810.0,0.0
0,Line Graph,Gas,1810.0,0.0
0,Line Graph,Oil,1810.0,0.0
0,Line Graph,Coal,1810.0,128.0
0,Line Graph,Traditional biomass,1810.0,5833.0
0,Line Graph,Modern biofuels,1820.0,0.0
0,Line Graph,Other renewables,1820.0,0.0
0,Line Graph,Solar,1820.0,0.0
0,Line Graph,Wind,1820.0,0.0
0,Line Graph,Hydropower,1820.0,0.0
0,Line Graph,Nuclear,1820.0,0.0
0,Line Graph,Gas,1820.0,0.0
0,Line Graph,Oil,1820.0,0.0
0,Line Graph,Coal,1820.0,153.0
0,Line Graph,Traditional biomass,1820.0,6111.0
0,Line Graph,Modern biofuels,1830.0,0.0
0,Line Graph,Other renewables,1830.0,0.0
0,Line Graph,Solar,1830.0,0.0
0,Line Graph,Wind,1830.0,0.0
0,Line Graph,Hydropower,1830.0,0.0
0,Line Graph,Nuclear,1830.0,0.0
0,Line Graph,Gas,1830.0,0.0
0,Line Graph,Oil,1830.0,0.0
0,Line Graph,Coal,1830.0,264.0
0,Line Graph,Traditional biomass,1830.0,6389.0
0,Line Graph,Modern biofuels,1840.0,0.0
0,Line Graph,Other renewables,1840.0,0.0
0,Line Graph,Solar,1840.0,0.0
0,Line Graph,Wind,1840.0,0.0
0,Line Graph,Hydropower,1840.0,0.0
0,Line Graph,Nuclear,1840.0,0.0
0,Line Graph,Gas,1840.0,0.0
0,Line Graph,Oil,1840.0,0.0
0,Line Graph,Coal,1840.0,356.0
0,Line Graph,Traditional biomass,1840.0,6944.0
0,Line Graph,Modern biofuels,1850.0,0.0
0,Line Graph,Other renewables,1850.0,0.0
0,Line Graph,Solar,1850.0,0.0
0,Line Graph,Wind,1850.0,0.0
0,Line Graph,Hydropower,1850.0,0.0
0,Line Graph,Nuclear,1850.0,0.0
0,Line Graph,Gas,1850.0,0.0
0,Line Graph,Oil,1850.0,0.0
0,Line Graph,Coal,1850.0,569.0
0,Line Graph,Traditional biomass,1850.0,7222.0
0,Line Graph,Modern biofuels,1860.0,0.0
0,Line Graph,Other renewables,1860.0,0.0
0,Line Graph,Solar,1860.0,0.0
0,Line Graph,Wind,1860.0,0.0
0,Line Graph,Hydropower,1860.0,0.0
0,Line Graph,Nuclear,1860.0,0.0
0,Line Graph,Gas,1860.0,0.0
0,Line Graph,Oil,1860.0,0.0
0,Line Graph,Coal,1860.0,1061.0
0,Line Graph,Traditional biomass,1860.0,6944.0
0,Line Graph,Modern biofuels,1870.0,0.0
0,Line Graph,Other renewables,1870.0,0.0
0,Line Graph,Solar,1870.0,0.0
0,Line Graph,Wind,1870.0,0.0
0,Line Graph,Hydropower,1870.0,0.0
0,Line Graph,Nuclear,1870.0,0.0
0,Line Graph,Gas,1870.0,0.0
0,Line Graph,Oil,1870.0,6.0
0,Line Graph,Coal,1870.0,1642.0
0,Line Graph,Traditional biomass,1870.0,6944.0
0,Line Graph,Modern biofuels,1880.0,0.0
0,Line Graph,Other renewables,1880.0,0.0
0,Line Graph,Solar,1880.0,0.0
0,Line Graph,Wind,1880.0,0.0
0,Line Graph,Hydropower,1880.0,0.0
0,Line Graph,Nuclear,1880.0,0.0
0,Line Graph,Gas,1880.0,0.0
0,Line Graph,Oil,1880.0,33.0
0,Line Graph,Coal,1880.0,2542.0
0,Line Graph,Traditional biomass,1880.0,6944.0
0,Line Graph,Modern biofuels,1890.0,0.0
0,Line Graph,Other renewables,1890.0,0.0
0,Line Graph,Solar,1890.0,0.0
0,Line Graph,Wind,1890.0,0.0
0,Line Graph,Hydropower,1890.0,14.0
0,Line Graph,Nuclear,1890.0,0.0
0,Line Graph,Gas,1890.0,33.0
0,Line Graph,Oil,1890.0,89.0
0,Line Graph,Coal,1890.0,3856.0
0,Line Graph,Traditional biomass,1890.0,6667.0
0,Line Graph,Modern biofuels,1900.0,0.0
0,Line Graph,Other renewables,1900.0,0.0
0,Line Graph,Solar,1900.0,0.0
0,Line Graph,Wind,1900.0,0.0
0,Line Graph,Hydropower,1900.0,17.0
0,Line Graph,Nuclear,1900.0,0.0
0,Line Graph,Gas,1900.0,64.0
0,Line Graph,Oil,1900.0,181.0
0,Line Graph,Coal,1900.0,5728.0
0,Line Graph,Traditional biomass,1900.0,6111.0
0,Line Graph,Modern biofuels,1910.0,0.0
0,Line Graph,Other renewables,1910.0,0.0
0,Line Graph,Solar,1910.0,0.0
0,Line Graph,Wind,1910.0,0.0
0,Line Graph,Hydropower,1910.0,33.0
