layer_idx,layer_type,series,x,y
0,Scatter Plot,Country,1357.9878,65.617
0,Scatter Plot,Country,12978.101,78.7688
0,Scatter Plot,Country,13506.444,76.1289
0,Scatter Plot,Country,6118.905,64.2455
0,Scatter Plot,Country,18292.318,75.8061
0,Scatter Plot,Country,13837.577,74.6333
0,Scatter Plot,Country,52049.43,82.7662
0,Scatter Plot,Country,43792.855,81.2959
0,Scatter Plot,Country,17682.94,74.125
0,Scatter Plot,Country,38651.6,80.9921
0,Scatter Plot,Country,4925.721,74.2647
0,Scatter Plot,Country,11545.848,75.6761
0,Scatter Plot,Country,18699.799,74.3612
0,Scatter Plot,Country,41872.395,81.1589
0,Scatter Plot,Country,2477.0903,60.4751
0,Scatter Plot,Country,6481.3906,67.4342
0,Scatter Plot,Country,12142.863,76.7772
0,Scatter Plot,Country,16351.91,68.7487
0,Scatter Plot,Country,14640.076,74.8719
0,Scatter Plot,Country,20592.455,74.0342
0,Scatter Plot,Country,1704.966,60.7
0,Scatter Plot,Country,717.22845,62.8819
0,Scatter Plot,Country,3944.2468,70.528
0,Scatter Plot,Country,2812.2148,62.4428
0,Scatter Plot,Country,45529.645,81.2493
0,Scatter Plot,Country,7202.767,75.9068
0,Scatter Plot,Country,596.393,18.8177
0,Scatter Plot,Country,1393.5635,54.5275
0,Scatter Plot,Country,22740.72,79.1762
0,Scatter Plot,Country,19238.18,78.2021
0,Scatter Plot,Country,14468.964,76.5081
0,Scatter Plot,Country,1900.3983,66.4806
0,Scatter Plot,Country,4187.507,65.0003
0,Scatter Plot,Country,15496.82,79.3164
0,Scatter Plot,Country,4011.7122,61.5622
0,Scatter Plot,Country,26986.752,78.2779
0,Scatter Plot,Country,7648.704,77.6291
0,Scatter Plot,Country,31523.498,80.4337
0,Scatter Plot,Country,32247.395,79.1648
0,Scatter Plot,Country,844.172,60.9789
0,Scatter Plot,Country,50689.68,81.2906
0,Scatter Plot,Country,3623.0603,65.5402
0,Scatter Plot,Country,8879.6455,71.0806
0,Scatter Plot,Country,17713.52,74.2108
0,Scatter Plot,Country,10124.076,76.5767
0,Scatter Plot,Country,13205.406,71.0097
0,Scatter Plot,Country,9218.905,71.9695
0,Scatter Plot,Country,22707.22,63.3545
0,Scatter Plot,Country,30067.395,78.1674
0,Scatter Plot,Country,8522.45,63.0283
0,Scatter Plot,Country,2289.409,66.8971
0,Scatter Plot,Country,40701.465,81.2435
0,Scatter Plot,Country,39065.71,82.4753
0,Scatter Plot,Country,15720.901,67.713
0,Scatter Plot,Country,2010.5322,64.859
0,Scatter Plot,Country,14360.359,74.1409
0,Scatter Plot,Country,46647.793,80.5796
0,Scatter Plot,Country,4242.4106,65.246
0,Scatter Plot,Country,25283.906,79.9441
0,Scatter Plot,Country,7969.431,71.2064
0,Scatter Plot,Country,1809.2666,60.4316
0,Scatter Plot,Country,1625.3876,63.6045
0,Scatter Plot,Country,1546.4222,63.9483
0,Scatter Plot,Country,5186.5303,72.7151
0,Scatter Plot,Country,48289.383,83.4853
0,Scatter Plot,Country,29451.855,76.2118
0,Scatter Plot,Country,42145.594,81.5877
0,Scatter Plot,Country,7765.593,71.6984
0,Scatter Plot,Country,12801.671,70.9246
0,Scatter Plot,Country,18473.066,76.7993
0,Scatter Plot,Country,13071.94,72.0371
0,Scatter Plot,Country,60257.082,82.0505
0,Scatter Plot,Country,36648.918,82.8145
0,Scatter Plot,Country,36224.293,82.052
0,Scatter Plot,Country,7481.6685,71.4809
0,Scatter Plot,Country,38268.79,84.0541
0,Scatter Plot,Country,9151.479,77.088
0,Scatter Plot,Country,26491.857,73.5028
0,Scatter Plot,Country,3403.9238,63.5491
0,Scatter Plot,Country,71533.516,78.7881
0,Scatter Plot,Country,5304.841,71.487
0,Scatter Plot,Country,7168.1904,68.7152
0,Scatter Plot,Country,27220.303,74.8706
0,Scatter Plot,Country,10341.159,78.0029
0,Scatter Plot,Country,2312.9583,56.8119
0,Scatter Plot,Country,811.2146,61.9342
0,Scatter Plot,Country,12755.204,74.4615
0,Scatter Plot,Country,30863.32,74.696
0,Scatter Plot,Country,55484.777,82.2007
0,Scatter Plot,Country,1367.0938,63.0677
0,Scatter Plot,Country,1190.0509,66.037
0,Scatter Plot,Country,26628.707,75.4442
0,Scatter Plot,Country,1651.9413,60.0347
0,Scatter Plot,Country,34496.34,82.2496
0,Scatter Plot,Country,3680.3662,68.2807
0,Scatter Plot,Country,20643.094,73.5445
0,Scatter Plot,Country,16235.455,73.9731
0,Scatter Plot,Country,6674.871,71.5465
0,Scatter Plot,Country,13442.906,71.5049
0,Scatter Plot,Country,20941.805,75.9214
0,Scatter Plot,Country,8400.127,75.1614
0,Scatter Plot,Country,1087.836,63.0115
0,Scatter Plot,Country,5177.4326,66.5058
0,Scatter Plot,Country,7979.328,64.1903
0,Scatter Plot,Country,3013.5178,70.0869
0,Scatter Plot,Country,49669.867,81.9121
0,Scatter Plot,Country,38250.12,81.0061
0,Scatter Plot,Country,5092.8413,74.4626
0,Scatter Plot,Country,1007.72095,60.3981
0,Scatter Plot,Country,5070.4927,54.079
0,Scatter Plot,Country,1568.847,73.6411
0,Scatter Plot,Country,14050.995,76.6455
0,Scatter Plot,Country,88366.22,82.6309
0,Scatter Plot,Country,47988.65,77.9106
0,Scatter Plot,Country,5531.723,67.4167
0,Scatter Plot,Country,4775.202,76.6624
0,Scatter Plot,Country,23557.02,79.3241
0,Scatter Plot,Country,8762.771,72.3185
0,Scatter Plot,Country,12762.967,76.834
0,Scatter Plot,Country,8370.666,69.4723
0,Scatter Plot,Country,32468.402,77.9229
0,Scatter Plot,Country,28992.059,81.1936
0,Scatter Plot,Country,35280.668,79.4269
0,Scatter Plot,Country,149171.11,81.8566
0,Scatter Plot,Country,26197.904,75.2614
0,Scatter Plot,Country,25437.107,72.5174
0,Scatter Plot,Country,2198.0662,67.528
0,Scatter Plot,Country,10452.165,72.6699
0,Scatter Plot,Country,3751.6428,69.2368
0,Scatter Plot,Country,53516.91,77.3098
0,Scatter Plot,Country,2660.6816,67.7884
0,Scatter Plot,Country,17097.686,75.4778
0,Scatter Plot,Country,31055.39,71.2481
0,Scatter Plot,Country,1690.4982,61.2748
0,Scatter Plot,Country,80320.086,82.9211
0,Scatter Plot,Country,27519.287,77.0356
0,Scatter Plot,Country,32673.762,80.7933
0,Scatter Plot,Country,11415.887,65.4536
0,Scatter Plot,Country,41320.9,82.727
0,Scatter Plot,Country,34123.387,82.3661
0,Scatter Plot,Country,10705.481,77.2996
0,Scatter Plot,Country,47126.13,83.046
0,Scatter Plot,Country,63323.254,83.2003
0,Scatter Plot,Country,2494.7612,72.7898
0,Scatter Plot,Country,53142.984,80.1569
0,Scatter Plot,Country,5507.5454,71.5624
0,Scatter Plot,Country,3057.3286,66.8786
0,Scatter Plot,Country,16421.072,75.2913
0,Scatter Plot,Country,1586.5889,62.2898
0,Scatter Plot,Country,25773.006,73.3308
0,Scatter Plot,Country,10913.846,76.0505
0,Scatter Plot,Country,27361.988,77.5913
0,Scatter Plot,Country,17234.555,69.9133
0,Scatter Plot,Country,2122.0278,67.6747
0,Scatter Plot,Country,7749.0996,72.6582
0,Scatter Plot,Country,77203.67,80.4868
0,Scatter Plot,Country,38406.53,81.0744
0,Scatter Plot,Country,58487.465,77.9789
0,Scatter Plot,Country,20181.94,76.4682
0,Scatter Plot,Country,12559.401,72.1465
0,Scatter Plot,Country,5267.1753,72.5656
0,Scatter Plot,Country,8050.359,74.5025
0,Scatter Plot,Country,1959.3195,67.9517
0,Scatter Plot,Country,3342.4214,65.2791
0,Scatter Plot,Country,1703.5294,62.3601
