layer_idx,layer_type,series,x,y
0,Line Graph,Africa,1770.0,26.4
0,Line Graph,Africa,1925.0,26.4
0,Line Graph,Africa,1950.0,37.2455
0,Line Graph,Africa,1951.0,37.7751
0,Line Graph,Africa,1952.0,38.2546
0,Line Graph,Africa,1953.0,38.7309
0,Line Graph,Africa,1954.0,39.0876
0,Line Graph,Africa,1955.0,39.5474
0,Line Graph,Africa,1956.0,39.9762
0,Line Graph,Africa,1957.0,39.8561
0,Line Graph,Africa,1958.0,40.2405
0,Line Graph,Africa,1959.0,41.194
0,Line Graph,Africa,1960.0,41.3961
0,Line Graph,Africa,1961.0,41.7756
0,Line Graph,Africa,1962.0,42.2531
0,Line Graph,Africa,1963.0,42.7175
0,Line Graph,Africa,1964.0,43.0898
0,Line Graph,Africa,1965.0,43.3551
0,Line Graph,Africa,1966.0,43.4601
0,Line Graph,Africa,1967.0,43.7471
0,Line Graph,Africa,1968.0,44.2523
0,Line Graph,Africa,1969.0,44.5077
0,Line Graph,Africa,1970.0,44.9859
0,Line Graph,Africa,1971.0,45.3999
0,Line Graph,Africa,1972.0,45.4595
0,Line Graph,Africa,1973.0,46.101
0,Line Graph,Africa,1974.0,46.4118
0,Line Graph,Africa,1975.0,46.807
0,Line Graph,Africa,1976.0,47.5487
0,Line Graph,Africa,1977.0,48.0406
0,Line Graph,Africa,1978.0,48.4287
0,Line Graph,Africa,1979.0,48.9562
0,Line Graph,Africa,1980.0,49.4094
0,Line Graph,Africa,1981.0,49.8226
0,Line Graph,Africa,1982.0,50.2133
0,Line Graph,Africa,1983.0,49.5464
0,Line Graph,Africa,1984.0,49.7402
0,Line Graph,Africa,1985.0,50.1332
0,Line Graph,Africa,1986.0,50.5889
0,Line Graph,Africa,1987.0,51.1887
0,Line Graph,Africa,1988.0,51.0598
0,Line Graph,Africa,1989.0,51.7063
0,Line Graph,Africa,1990.0,51.6566
0,Line Graph,Africa,1991.0,51.4937
0,Line Graph,Africa,1992.0,51.4261
0,Line Graph,Africa,1993.0,51.8296
0,Line Graph,Africa,1994.0,49.9595
0,Line Graph,Africa,1995.0,52.3426
0,Line Graph,Africa,1996.0,52.3704
0,Line Graph,Africa,1997.0,52.5837
0,Line Graph,Africa,1998.0,52.3988
0,Line Graph,Africa,1999.0,53.0619
0,Line Graph,Africa,2000.0,53.667
0,Line Graph,Africa,2001.0,54.006
0,Line Graph,Africa,2002.0,54.3921
0,Line Graph,Africa,2003.0,54.8416
0,Line Graph,Africa,2004.0,55.3428
0,Line Graph,Africa,2005.0,55.8494
0,Line Graph,Africa,2006.0,56.4629
0,Line Graph,Africa,2007.0,57.0818
0,Line Graph,Africa,2008.0,57.6655
0,Line Graph,Africa,2009.0,57.7517
0,Line Graph,Africa,2010.0,58.7703
0,Line Graph,Africa,2011.0,58.9598
0,Line Graph,Africa,2012.0,59.8046
0,Line Graph,Africa,2013.0,60.2673
0,Line Graph,Africa,2014.0,60.4728
0,Line Graph,Africa,2015.0,60.8437
0,Line Graph,Africa,2016.0,61.2078
0,Line Graph,Africa,2017.0,61.514
0,Line Graph,Africa,2018.0,62.1674
0,Line Graph,Africa,2019.0,62.449
0,Line Graph,Africa,2020.0,62.2572
0,Line Graph,Africa,2021.0,61.7866
0,Line Graph,Africa,2022.0,62.9205
0,Line Graph,Africa,2023.0,63.8428
0,Line Graph,Americas,1770.0,34.8
