Entity,Code,Year,Life expectancy
Africa,OWID_AFR,1770,26.4
Africa,OWID_AFR,1925,26.4
Africa,OWID_AFR,1950,37.2455
Africa,OWID_AFR,1951,37.7751
Africa,OWID_AFR,1952,38.2546
Africa,OWID_AFR,1953,38.7309
Africa,OWID_AFR,1954,39.0876
Africa,OWID_AFR,1955,39.5474
Africa,OWID_AFR,1956,39.9762
Africa,OWID_AFR,1957,39.8561
Africa,OWID_AFR,1958,40.2405
Africa,OWID_AFR,1959,41.194
Africa,OWID_AFR,1960,41.3961
Africa,OWID_AFR,1961,41.7756
Africa,OWID_AFR,1962,42.2531
Africa,OWID_AFR,1963,42.7175
Africa,OWID_AFR,1964,43.0898
Africa,OWID_AFR,1965,43.3551
Africa,OWID_AFR,1966,43.4601
Africa,OWID_AFR,1967,43.7471
Africa,OWID_AFR,1968,44.2523
Africa,OWID_AFR,1969,44.5077
Africa,OWID_AFR,1970,44.9859
Africa,OWID_AFR,1971,45.3999
Africa,OWID_AFR,1972,45.4595
Africa,OWID_AFR,1973,46.101
Africa,OWID_AFR,1974,46.4118
Africa,OWID_AFR,1975,46.807
Africa,OWID_AFR,1976,47.5487
Africa,OWID_AFR,1977,48.0406
Africa,OWID_AFR,1978,48.4287
Africa,OWID_AFR,1979,48.9562
Africa,OWID_AFR,1980,49.4094
Africa,OWID_AFR,1981,49.8226
Africa,OWID_AFR,1982,50.2133
Africa,OWID_AFR,1983,49.5464
Africa,OWID_AFR,1984,49.7402
Africa,OWID_AFR,1985,50.1332
Africa,OWID_AFR,1986,50.5889
Africa,OWID_AFR,1987,51.1887
Africa,OWID_AFR,1988,51.0598
Africa,OWID_AFR,1989,51.7063
Africa,OWID_AFR,1990,51.6566
Africa,OWID_AFR,1991,51.4937
Africa,OWID_AFR,1992,51.4261
Africa,OWID_AFR,1993,51.8296
Africa,OWID_AFR,1994,49.9595
Africa,OWID_AFR,1995,52.3426
Africa,OWID_AFR,1996,52.3704
Africa,OWID_AFR,1997,52.5837
Africa,OWID_AFR,1998,52.3988
Africa,OWID_AFR,1999,53.0619
Africa,OWID_AFR,2000,53.667
Africa,OWID_AFR,2001,54.006
Africa,OWID_AFR,2002,54.3921
Africa,OWID_AFR,2003,54.8416
Africa,OWID_AFR,2004,55.3428
Africa,OWID_AFR,2005,55.8494
Africa,OWID_AFR,2006,56.4629
Africa,OWID_AFR,2007,57.0818
Africa,OWID_AFR,2008,57.6655
Africa,OWID_AFR,2009,57.7517
Africa,OWID_AFR,2010,58.7703
Africa,OWID_AFR,2011,58.9598
Africa,OWID_AFR,2012,59.8046
Africa,OWID_AFR,2013,60.2673
Africa,OWID_AFR,2014,60.4728
Africa,OWID_AFR,2015,60.8437
Africa,OWID_AFR,2016,61.2078
Africa,OWID_AFR,2017,61.514
Africa,OWID_AFR,2018,62.1674
Africa,OWID_AFR,2019,62.449
Africa,OWID_AFR,2020,62.2572
Africa,OWID_AFR,2021,61.7866
Africa,OWID_AFR,2022,62.9205
Africa,OWID_AFR,2023,63.8428
Americas,,1770,34.8
Americas,,1830,34.8
Americas,,1850,35.1
Americas,,1870,35.1
Americas,,1900,41
Americas,,1913,45.1
Americas,,1950,56.5028
Americas,,1951,56.9204
Americas,,1952,57.402
Americas,,1953,57.906
Americas,,1954,58.6525
Americas,,1955,58.9932
Americas,,1956,59.3801
Americas,,1957,59.6062
Americas,,1958,60.0883
Americas,,1959,60.5007
Americas,,1960,60.7932
Americas,,1961,61.2684
Americas,,1962,61.4211
Americas,,1963,61.5399
Americas,,1964,61.9124
Americas,,1965,62.1123
Americas,,1966,62.3322
Americas,,1967,62.67
Americas,,1968,62.7056
Americas,,1969,63.0295
Americas,,1970,63.1495
Americas,,1971,63.8157
Americas,,1972,64.0001
Americas,,1973,64.3473
Americas,,1974,64.8219
Americas,,1975,65.4098
Americas,,1976,65.7058
Americas,,1977,66.2896
Americas,,1978,66.6343
Americas,,1979,67.0668
Americas,,1980,67.247
Americas,,1981,67.6911
Americas,,1982,68.0177
Americas,,1983,68.4306
Americas,,1984,68.7457
Americas,,1985,68.8882
Americas,,1986,69.3281
Americas,,1987,69.6289
Americas,,1988,69.8726
Americas,,1989,70.2467
Americas,,1990,70.5909
Americas,,1991,70.8608
Americas,,1992,71.146
