layer_idx,layer_type,series,x,y
0,Line Graph,Africa,-10000.0,228973.0
0,Line Graph,Africa,-9000.0,325004.0
0,Line Graph,Africa,-8000.0,465827.0
0,Line Graph,Africa,-7000.0,674187.0
0,Line Graph,Africa,-6000.0,985195.0
0,Line Graph,Africa,-5000.0,1453426.0
0,Line Graph,Africa,-4000.0,2264223.0
0,Line Graph,Africa,-3000.0,4026815.0
0,Line Graph,Africa,-2000.0,6093084.0
0,Line Graph,Africa,-1000.0,9034441.0
0,Line Graph,Africa,0.0,14870035.0
0,Line Graph,Africa,100.0,16254022.0
0,Line Graph,Africa,200.0,17830592.0
0,Line Graph,Africa,300.0,18797924.0
0,Line Graph,Africa,400.0,20068212.0
0,Line Graph,Africa,500.0,21592260.0
0,Line Graph,Africa,600.0,23605838.0
0,Line Graph,Africa,700.0,27198624.0
0,Line Graph,Africa,800.0,31757168.0
0,Line Graph,Africa,900.0,35767436.0
0,Line Graph,Africa,1000.0,39869508.0
0,Line Graph,Africa,1100.0,42444488.0
0,Line Graph,Africa,1200.0,45540064.0
0,Line Graph,Africa,1300.0,50940648.0
0,Line Graph,Africa,1400.0,54830016.0
0,Line Graph,Africa,1500.0,58613540.0
0,Line Graph,Africa,1600.0,68577456.0
0,Line Graph,Africa,1700.0,78557832.0
0,Line Graph,Africa,1710.0,78025176.0
0,Line Graph,Africa,1720.0,78267664.0
0,Line Graph,Africa,1730.0,78574008.0
0,Line Graph,Africa,1740.0,78944912.0
0,Line Graph,Africa,1750.0,79382032.0
0,Line Graph,Africa,1760.0,79888176.0
0,Line Graph,Africa,1770.0,80467736.0
0,Line Graph,Africa,1780.0,81127312.0
0,Line Graph,Africa,1790.0,81860944.0
0,Line Graph,Africa,1800.0,81273172.0
0,Line Graph,Africa,1801.0,81378197.0
0,Line Graph,Africa,1802.0,81484588.0
0,Line Graph,Africa,1803.0,81592351.0
0,Line Graph,Africa,1804.0,81701503.0
0,Line Graph,Africa,1805.0,81812061.0
0,Line Graph,Africa,1806.0,81924029.0
0,Line Graph,Africa,1807.0,82037425.0
0,Line Graph,Africa,1808.0,82152271.0
0,Line Graph,Africa,1809.0,82268577.0
0,Line Graph,Africa,1810.0,82387585.0
0,Line Graph,Africa,1811.0,82515959.0
0,Line Graph,Africa,1812.0,82655601.0
0,Line Graph,Africa,1813.0,82806647.0
0,Line Graph,Africa,1814.0,82969493.0
0,Line Graph,Africa,1815.0,83144278.0
0,Line Graph,Africa,1816.0,83331163.0
0,Line Graph,Africa,1817.0,83530303.0
0,Line Graph,Africa,1818.0,83741849.0
0,Line Graph,Africa,1819.0,84037482.0
0,Line Graph,Africa,1820.0,84418699.0
0,Line Graph,Africa,1821.0,84896601.0
0,Line Graph,Africa,1822.0,85462636.0
0,Line Graph,Africa,1823.0,86142885.0
0,Line Graph,Africa,1824.0,86843609.0
0,Line Graph,Africa,1825.0,87565137.0
0,Line Graph,Africa,1826.0,88307785.0
0,Line Graph,Africa,1827.0,89071893.0
0,Line Graph,Africa,1828.0,89857801.0
0,Line Graph,Africa,1829.0,90666142.0
0,Line Graph,Africa,1830.0,91497291.0
0,Line Graph,Africa,1831.0,92352331.0
0,Line Graph,Africa,1832.0,93221742.0
0,Line Graph,Africa,1833.0,94105808.0
0,Line Graph,Africa,1834.0,95004472.0
0,Line Graph,Africa,1835.0,95918027.0
0,Line Graph,Africa,1836.0,96846733.0
0,Line Graph,Africa,1837.0,97790863.0
0,Line Graph,Africa,1838.0,98750710.0
0,Line Graph,Africa,1839.0,99745866.0
0,Line Graph,Africa,1840.0,100777177.0
0,Line Graph,Africa,1841.0,101844538.0
0,Line Graph,Africa,1842.0,102949818.0
0,Line Graph,Africa,1843.0,104093942.0
0,Line Graph,Africa,1844.0,105258529.0
0,Line Graph,Africa,1845.0,106444013.0
0,Line Graph,Africa,1846.0,107650802.0
0,Line Graph,Africa,1847.0,108879329.0
0,Line Graph,Africa,1848.0,110130035.0
0,Line Graph,Africa,1849.0,111271621.0
0,Line Graph,Africa,1850.0,112301163.0
0,Line Graph,Africa,1851.0,112964625.0
0,Line Graph,Africa,1852.0,113506374.0
0,Line Graph,Africa,1853.0,113925748.0
0,Line Graph,Africa,1854.0,114348862.0
0,Line Graph,Africa,1855.0,114775726.0
0,Line Graph,Africa,1856.0,115206465.0
0,Line Graph,Africa,1857.0,115641146.0
0,Line Graph,Africa,1858.0,116079843.0
0,Line Graph,Africa,1859.0,116531294.0
0,Line Graph,Africa,1860.0,116995450.0
0,Line Graph,Africa,1861.0,117468679.0
0,Line Graph,Africa,1862.0,117954363.0
0,Line Graph,Africa,1863.0,118452604.0
0,Line Graph,Africa,1864.0,118954681.0
0,Line Graph,Africa,1865.0,119460616.0
0,Line Graph,Africa,1866.0,119970440.0
0,Line Graph,Africa,1867.0,120484192.0
0,Line Graph,Africa,1868.0,121001894.0
0,Line Graph,Africa,1869.0,121535848.0
0,Line Graph,Africa,1870.0,122086255.0
0,Line Graph,Africa,1871.0,122649582.0
0,Line Graph,Africa,1872.0,123231396.0
0,Line Graph,Africa,1873.0,123830278.0
0,Line Graph,Africa,1874.0,124434132.0
0,Line Graph,Africa,1875.0,125042995.0
0,Line Graph,Africa,1876.0,125656913.0
0,Line Graph,Africa,1877.0,126275921.0
0,Line Graph,Africa,1878.0,126900066.0
0,Line Graph,Africa,1879.0,127539564.0
0,Line Graph,Africa,1880.0,128194527.0
0,Line Graph,Africa,1881.0,128863890.0
0,Line Graph,Africa,1882.0,129548955.0
0,Line Graph,Africa,1883.0,130249836.0
0,Line Graph,Africa,1884.0,130956522.0
0,Line Graph,Africa,1885.0,131669056.0
0,Line Graph,Africa,1886.0,132387485.0
0,Line Graph,Africa,1887.0,133111879.0
0,Line Graph,Africa,1888.0,133842280.0
0,Line Graph,Africa,1889.0,134489847.0
0,Line Graph,Africa,1890.0,135054738.0
0,Line Graph,Africa,1891.0,135539040.0
0,Line Graph,Africa,1892.0,135941070.0
0,Line Graph,Africa,1893.0,136260909.0
0,Line Graph,Africa,1894.0,136587590.0
0,Line Graph,Africa,1895.0,136921163.0
0,Line Graph,Africa,1896.0,137261683.0
0,Line Graph,Africa,1897.0,137609187.0
0,Line Graph,Africa,1898.0,137963724.0
0,Line Graph,Africa,1899.0,138345391.0
0,Line Graph,Africa,1900.0,138755559.0
0,Line Graph,Africa,1901.0,139195205.0
0,Line Graph,Africa,1902.0,139666271.0
0,Line Graph,Africa,1903.0,140170120.0
0,Line Graph,Africa,1904.0,140688001.0
0,Line Graph,Africa,1905.0,141220048.0
0,Line Graph,Africa,1906.0,141766391.0
0,Line Graph,Africa,1907.0,142327180.0
0,Line Graph,Africa,1908.0,142902543.0
0,Line Graph,Africa,1909.0,143483346.0
0,Line Graph,Africa,1910.0,144068383.0
0,Line Graph,Africa,1911.0,144655670.0
0,Line Graph,Africa,1912.0,145245400.0
0,Line Graph,Africa,1913.0,145835662.0
0,Line Graph,Africa,1914.0,146434524.0
0,Line Graph,Africa,1915.0,147042086.0
0,Line Graph,Africa,1916.0,147658424.0
0,Line Graph,Africa,1917.0,148283643.0
0,Line Graph,Africa,1918.0,148892208.0
0,Line Graph,Africa,1919.0,149751440.0
0,Line Graph,Africa,1920.0,150865200.0
0,Line Graph,Africa,1921.0,152239781.0
0,Line Graph,Africa,1922.0,153876862.0
0,Line Graph,Africa,1923.0,155780482.0
0,Line Graph,Africa,1924.0,157712366.0
0,Line Graph,Africa,1925.0,159672951.0
0,Line Graph,Africa,1926.0,161662674.0
0,Line Graph,Africa,1927.0,163681990.0
0,Line Graph,Africa,1928.0,165731367.0
0,Line Graph,Africa,1929.0,167813287.0
0,Line Graph,Africa,1930.0,169928217.0
0,Line Graph,Africa,1931.0,172076932.0
0,Line Graph,Africa,1932.0,174259628.0
0,Line Graph,Africa,1933.0,176476818.0
0,Line Graph,Africa,1934.0,178726971.0
0,Line Graph,Africa,1935.0,181010603.0
0,Line Graph,Africa,1936.0,183328236.0
0,Line Graph,Africa,1937.0,185680386.0
0,Line Graph,Africa,1938.0,188067589.0
0,Line Graph,Africa,1939.0,190609541.0
0,Line Graph,Africa,1940.0,193310936.0
0,Line Graph,Africa,1941.0,196179605.0
0,Line Graph,Africa,1942.0,199217448.0
0,Line Graph,Africa,1943.0,202429522.0
0,Line Graph,Africa,1944.0,205701844.0
0,Line Graph,Africa,1945.0,209035596.0
0,Line Graph,Africa,1946.0,212431972.0
0,Line Graph,Africa,1947.0,215892204.0
0,Line Graph,Africa,1948.0,219417536.0
0,Line Graph,Africa,1949.0,223283534.0
0,Line Graph,Africa,1950.0,227776838.0
0,Line Graph,Africa,1951.0,232557370.0
0,Line Graph,Africa,1952.0,237539910.0
0,Line Graph,Africa,1953.0,242685417.0
0,Line Graph,Africa,1954.0,248006203.0
0,Line Graph,Africa,1955.0,253538234.0
0,Line Graph,Africa,1956.0,259271764.0
0,Line Graph,Africa,1957.0,265129059.0
0,Line Graph,Africa,1958.0,271042090.0
0,Line Graph,Africa,1959.0,277271946.0
0,Line Graph,Africa,1960.0,283922294.0
0,Line Graph,Africa,1961.0,290814089.0
0,Line Graph,Africa,1962.0,297959970.0
0,Line Graph,Africa,1963.0,305371364.0
0,Line Graph,Africa,1964.0,313056695.0
0,Line Graph,Africa,1965.0,320995365.0
0,Line Graph,Africa,1966.0,329207333.0
0,Line Graph,Africa,1967.0,337767952.0
0,Line Graph,Africa,1968.0,346674276.0
0,Line Graph,Africa,1969.0,355911162.0
0,Line Graph,Africa,1970.0,365456903.0
0,Line Graph,Africa,1971.0,375228323.0
0,Line Graph,Africa,1972.0,385211089.0
0,Line Graph,Africa,1973.0,395717739.0
0,Line Graph,Africa,1974.0,406762881.0
0,Line Graph,Africa,1975.0,418322666.0
0,Line Graph,Africa,1976.0,430382650.0
0,Line Graph,Africa,1977.0,442542565.0
0,Line Graph,Africa,1978.0,455417592.0
0,Line Graph,Africa,1979.0,469072946.0
0,Line Graph,Africa,1980.0,482922202.0
0,Line Graph,Africa,1981.0,497487390.0
0,Line Graph,Africa,1982.0,512805436.0
0,Line Graph,Africa,1983.0,528042881.0
0,Line Graph,Africa,1984.0,543411002.0
0,Line Graph,Africa,1985.0,559417482.0
0,Line Graph,Africa,1986.0,575715653.0
0,Line Graph,Africa,1987.0,592341398.0
0,Line Graph,Africa,1988.0,609119477.0
0,Line Graph,Africa,1989.0,626082685.0
0,Line Graph,Africa,1990.0,643490587.0
0,Line Graph,Africa,1991.0,660810865.0
0,Line Graph,Africa,1992.0,678257033.0
0,Line Graph,Africa,1993.0,696302246.0
0,Line Graph,Africa,1994.0,714183914.0
0,Line Graph,Africa,1995.0,732395090.0
0,Line Graph,Africa,1996.0,751187001.0
0,Line Graph,Africa,1997.0,770098458.0
0,Line Graph,Africa,1998.0,789672411.0
0,Line Graph,Africa,1999.0,809745318.0
0,Line Graph,Africa,2000.0,830226481.0
0,Line Graph,Africa,2001.0,851317075.0
0,Line Graph,Africa,2002.0,873025213.0
0,Line Graph,Africa,2003.0,895336412.0
0,Line Graph,Africa,2004.0,918363272.0
0,Line Graph,Africa,2005.0,942115143.0
0,Line Graph,Africa,2006.0,966491337.0
0,Line Graph,Africa,2007.0,991615906.0
0,Line Graph,Africa,2008.0,1017632831.0
0,Line Graph,Africa,2009.0,1044356804.0
0,Line Graph,Africa,2010.0,1071809929.0
0,Line Graph,Africa,2011.0,1099732995.0
0,Line Graph,Africa,2012.0,1128396676.0
0,Line Graph,Africa,2013.0,1158293959.0
0,Line Graph,Africa,2014.0,1188685762.0
0,Line Graph,Africa,2015.0,1219484027.0
0,Line Graph,Africa,2016.0,1250551239.0
0,Line Graph,Africa,2017.0,1282169538.0
0,Line Graph,Africa,2018.0,1314609397.0
0,Line Graph,Africa,2019.0,1347162538.0
0,Line Graph,Africa,2020.0,1379939686.0
0,Line Graph,Africa,2021.0,1412811077.0
0,Line Graph,Africa,2022.0,1445862695.0
0,Line Graph,Africa,2023.0,1479690254.0
0,Line Graph,Asia,-10000.0,1183783.0
0,Line Graph,Asia,-9000.0,1673231.0
0,Line Graph,Asia,-8000.0,2405903.0
0,Line Graph,Asia,-7000.0,3580818.0
0,Line Graph,Asia,-6000.0,5643078.0
0,Line Graph,Asia,-5000.0,9452731.0
0,Line Graph,Asia,-4000.0,16076769.0
0,Line Graph,Asia,-3000.0,26806386.0
0,Line Graph,Asia,-2000.0,46901344.0
0,Line Graph,Asia,-1000.0,72722528.0
0,Line Graph,Asia,0.0,165488624.0
0,Line Graph,Asia,100.0,166200944.0
0,Line Graph,Asia,200.0,165630128.0
0,Line Graph,Asia,300.0,151598544.0
0,Line Graph,Asia,400.0,164215360.0
0,Line Graph,Asia,500.0,176609472.0
0,Line Graph,Asia,600.0,195090976.0
0,Line Graph,Asia,700.0,194108480.0
0,Line Graph,Asia,800.0,192532960.0
0,Line Graph,Asia,900.0,207417104.0
0,Line Graph,Asia,1000.0,209186032.0
0,Line Graph,Asia,1100.0,268491680.0
0,Line Graph,Asia,1200.0,290535296.0
0,Line Graph,Asia,1300.0,270833824.0
0,Line Graph,Asia,1400.0,270937184.0
0,Line Graph,Asia,1500.0,303879520.0
0,Line Graph,Asia,1600.0,334114560.0
0,Line Graph,Asia,1700.0,386909664.0
0,Line Graph,Asia,1710.0,399588352.0
0,Line Graph,Asia,1720.0,421137728.0
0,Line Graph,Asia,1730.0,434861600.0
0,Line Graph,Asia,1740.0,457025792.0
0,Line Graph,Asia,1750.0,498699232.0
0,Line Graph,Asia,1760.0,524020960.0
0,Line Graph,Asia,1770.0,553793728.0
0,Line Graph,Asia,1780.0,616125696.0
0,Line Graph,Asia,1790.0,646046464.0
0,Line Graph,Asia,1800.0,683181540.0
0,Line Graph,Asia,1801.0,685331004.0
0,Line Graph,Asia,1802.0,687499996.0
0,Line Graph,Asia,1803.0,689688487.0
0,Line Graph,Asia,1804.0,691896457.0
0,Line Graph,Asia,1805.0,694123893.0
0,Line Graph,Asia,1806.0,696370781.0
0,Line Graph,Asia,1807.0,698637130.0
0,Line Graph,Asia,1808.0,700922938.0
0,Line Graph,Asia,1809.0,703228216.0
0,Line Graph,Asia,1810.0,706697247.0
0,Line Graph,Asia,1811.0,710184970.0
0,Line Graph,Asia,1812.0,714101589.0
0,Line Graph,Asia,1813.0,718452410.0
0,Line Graph,Asia,1814.0,722875649.0
0,Line Graph,Asia,1815.0,727371867.0
0,Line Graph,Asia,1816.0,731941628.0
0,Line Graph,Asia,1817.0,736585517.0
0,Line Graph,Asia,1818.0,741304115.0
0,Line Graph,Asia,1819.0,745877888.0
0,Line Graph,Asia,1820.0,750302436.0
0,Line Graph,Asia,1821.0,754333381.0
0,Line Graph,Asia,1822.0,758182933.0
0,Line Graph,Asia,1823.0,762351061.0
0,Line Graph,Asia,1824.0,766551242.0
0,Line Graph,Asia,1825.0,770783722.0
0,Line Graph,Asia,1826.0,775048757.0
0,Line Graph,Asia,1827.0,779346599.0
0,Line Graph,Asia,1828.0,783677502.0
0,Line Graph,Asia,1829.0,787519369.0
0,Line Graph,Asia,1830.0,790868367.0
0,Line Graph,Asia,1831.0,793720630.0
0,Line Graph,Asia,1832.0,796067340.0
0,Line Graph,Asia,1833.0,797904515.0
0,Line Graph,Asia,1834.0,799750516.0
0,Line Graph,Asia,1835.0,801605412.0
0,Line Graph,Asia,1836.0,803463258.0
0,Line Graph,Asia,1837.0,805330136.0
0,Line Graph,Asia,1838.0,807206121.0
0,Line Graph,Asia,1839.0,809029646.0
0,Line Graph,Asia,1840.0,810809627.0
0,Line Graph,Asia,1841.0,812540636.0
0,Line Graph,Asia,1842.0,814222743.0
0,Line Graph,Asia,1843.0,815855997.0
0,Line Graph,Asia,1844.0,817502099.0
0,Line Graph,Asia,1845.0,819161198.0
0,Line Graph,Asia,1846.0,820833452.0
0,Line Graph,Asia,1847.0,822519006.0
0,Line Graph,Asia,1848.0,824218038.0
0,Line Graph,Asia,1849.0,825222462.0
0,Line Graph,Asia,1850.0,825539753.0
0,Line Graph,Asia,1851.0,824919179.0
0,Line Graph,Asia,1852.0,823625614.0
0,Line Graph,Asia,1853.0,821666826.0
0,Line Graph,Asia,1854.0,819758194.0
0,Line Graph,Asia,1855.0,817899693.0
0,Line Graph,Asia,1856.0,816091289.0
0,Line Graph,Asia,1857.0,814332986.0
0,Line Graph,Asia,1858.0,812624772.0
0,Line Graph,Asia,1859.0,811269628.0
0,Line Graph,Asia,1860.0,810264188.0
0,Line Graph,Asia,1861.0,809610216.0
0,Line Graph,Asia,1862.0,809307266.0
0,Line Graph,Asia,1863.0,809347406.0
0,Line Graph,Asia,1864.0,809420661.0
0,Line Graph,Asia,1865.0,809519559.0
0,Line Graph,Asia,1866.0,809642614.0
0,Line Graph,Asia,1867.0,809796645.0
0,Line Graph,Asia,1868.0,809979613.0
0,Line Graph,Asia,1869.0,810619596.0
0,Line Graph,Asia,1870.0,811727086.0
0,Line Graph,Asia,1871.0,813281475.0
0,Line Graph,Asia,1872.0,815307566.0
0,Line Graph,Asia,1873.0,817774457.0
0,Line Graph,Asia,1874.0,820245876.0
0,Line Graph,Asia,1875.0,822748807.0
0,Line Graph,Asia,1876.0,825262338.0
0,Line Graph,Asia,1877.0,827756319.0
0,Line Graph,Asia,1878.0,830246401.0
0,Line Graph,Asia,1879.0,833177921.0
0,Line Graph,Asia,1880.0,836588561.0
0,Line Graph,Asia,1881.0,840498338.0
0,Line Graph,Asia,1882.0,844908026.0
0,Line Graph,Asia,1883.0,849808775.0
0,Line Graph,Asia,1884.0,854759869.0
0,Line Graph,Asia,1885.0,859815828.0
0,Line Graph,Asia,1886.0,864895539.0
0,Line Graph,Asia,1887.0,870044849.0
0,Line Graph,Asia,1888.0,875235619.0
0,Line Graph,Asia,1889.0,880253270.0
0,Line Graph,Asia,1890.0,885113714.0
0,Line Graph,Asia,1891.0,889769283.0
0,Line Graph,Asia,1892.0,894234392.0
0,Line Graph,Asia,1893.0,898513802.0
0,Line Graph,Asia,1894.0,902847416.0
0,Line Graph,Asia,1895.0,907247338.0
0,Line Graph,Asia,1896.0,911649066.0
0,Line Graph,Asia,1897.0,916108835.0
0,Line Graph,Asia,1898.0,920604531.0
0,Line Graph,Asia,1899.0,925586618.0
0,Line Graph,Asia,1900.0,931021418.0
0,Line Graph,Asia,1901.0,936902660.0
0,Line Graph,Asia,1902.0,943255046.0
0,Line Graph,Asia,1903.0,950069951.0
0,Line Graph,Asia,1904.0,956950596.0
0,Line Graph,Asia,1905.0,963899803.0
0,Line Graph,Asia,1906.0,970921559.0
0,Line Graph,Asia,1907.0,978034978.0
0,Line Graph,Asia,1908.0,985241824.0
0,Line Graph,Asia,1909.0,992474216.0
0,Line Graph,Asia,1910.0,999734197.0
0,Line Graph,Asia,1911.0,1006983059.0
0,Line Graph,Asia,1912.0,1014336227.0
0,Line Graph,Asia,1913.0,1021733426.0
0,Line Graph,Asia,1914.0,1029237086.0
0,Line Graph,Asia,1915.0,1036849812.0
