Entity,Code,Year,Population
Africa,OWID_AFR,-10000,228973
Africa,OWID_AFR,-9000,325004
Africa,OWID_AFR,-8000,465827
Africa,OWID_AFR,-7000,674187
Africa,OWID_AFR,-6000,985195
Africa,OWID_AFR,-5000,1453426
Africa,OWID_AFR,-4000,2264223
Africa,OWID_AFR,-3000,4026815
Africa,OWID_AFR,-2000,6093084
Africa,OWID_AFR,-1000,9034441
Africa,OWID_AFR,0,14870035
Africa,OWID_AFR,100,16254022
Africa,OWID_AFR,200,17830592
Africa,OWID_AFR,300,18797924
Africa,OWID_AFR,400,20068212
Africa,OWID_AFR,500,21592260
Africa,OWID_AFR,600,23605838
Africa,OWID_AFR,700,27198624
Africa,OWID_AFR,800,31757168
Africa,OWID_AFR,900,35767436
Africa,OWID_AFR,1000,39869508
Africa,OWID_AFR,1100,42444488
Africa,OWID_AFR,1200,45540064
Africa,OWID_AFR,1300,50940648
Africa,OWID_AFR,1400,54830016
Africa,OWID_AFR,1500,58613540
Africa,OWID_AFR,1600,68577456
Africa,OWID_AFR,1700,78557832
Africa,OWID_AFR,1710,78025176
Africa,OWID_AFR,1720,78267664
Africa,OWID_AFR,1730,78574008
Africa,OWID_AFR,1740,78944912
Africa,OWID_AFR,1750,79382032
Africa,OWID_AFR,1760,79888176
Africa,OWID_AFR,1770,80467736
Africa,OWID_AFR,1780,81127312
Africa,OWID_AFR,1790,81860944
Africa,OWID_AFR,1800,81273172
Africa,OWID_AFR,1801,81378197
Africa,OWID_AFR,1802,81484588
Africa,OWID_AFR,1803,81592351
Africa,OWID_AFR,1804,81701503
Africa,OWID_AFR,1805,81812061
Africa,OWID_AFR,1806,81924029
Africa,OWID_AFR,1807,82037425
Africa,OWID_AFR,1808,82152271
Africa,OWID_AFR,1809,82268577
Africa,OWID_AFR,1810,82387585
Africa,OWID_AFR,1811,82515959
Africa,OWID_AFR,1812,82655601
Africa,OWID_AFR,1813,82806647
Africa,OWID_AFR,1814,82969493
Africa,OWID_AFR,1815,83144278
Africa,OWID_AFR,1816,83331163
Africa,OWID_AFR,1817,83530303
Africa,OWID_AFR,1818,83741849
Africa,OWID_AFR,1819,84037482
Africa,OWID_AFR,1820,84418699
Africa,OWID_AFR,1821,84896601
Africa,OWID_AFR,1822,85462636
Africa,OWID_AFR,1823,86142885
Africa,OWID_AFR,1824,86843609
Africa,OWID_AFR,1825,87565137
Africa,OWID_AFR,1826,88307785
Africa,OWID_AFR,1827,89071893
Africa,OWID_AFR,1828,89857801
Africa,OWID_AFR,1829,90666142
Africa,OWID_AFR,1830,91497291
Africa,OWID_AFR,1831,92352331
Africa,OWID_AFR,1832,93221742
Africa,OWID_AFR,1833,94105808
Africa,OWID_AFR,1834,95004472
Africa,OWID_AFR,1835,95918027
Africa,OWID_AFR,1836,96846733
Africa,OWID_AFR,1837,97790863
Africa,OWID_AFR,1838,98750710
Africa,OWID_AFR,1839,99745866
Africa,OWID_AFR,1840,100777177
Africa,OWID_AFR,1841,101844538
Africa,OWID_AFR,1842,102949818
Africa,OWID_AFR,1843,104093942
Africa,OWID_AFR,1844,105258529
Africa,OWID_AFR,1845,106444013
Africa,OWID_AFR,1846,107650802
Africa,OWID_AFR,1847,108879329
Africa,OWID_AFR,1848,110130035
Africa,OWID_AFR,1849,111271621
Africa,OWID_AFR,1850,112301163
Africa,OWID_AFR,1851,112964625
Africa,OWID_AFR,1852,113506374
Africa,OWID_AFR,1853,113925748
Africa,OWID_AFR,1854,114348862
Africa,OWID_AFR,1855,114775726
Africa,OWID_AFR,1856,115206465
Africa,OWID_AFR,1857,115641146
Africa,OWID_AFR,1858,116079843
Africa,OWID_AFR,1859,116531294
Africa,OWID_AFR,1860,116995450
Africa,OWID_AFR,1861,117468679
Africa,OWID_AFR,1862,117954363
Africa,OWID_AFR,1863,118452604
Africa,OWID_AFR,1864,118954681
Africa,OWID_AFR,1865,119460616
Africa,OWID_AFR,1866,119970440
Africa,OWID_AFR,1867,120484192
Africa,OWID_AFR,1868,121001894
Africa,OWID_AFR,1869,121535848
Africa,OWID_AFR,1870,122086255
Africa,OWID_AFR,1871,122649582
Africa,OWID_AFR,1872,123231396
Africa,OWID_AFR,1873,123830278
Africa,OWID_AFR,1874,124434132
Africa,OWID_AFR,1875,125042995
Africa,OWID_AFR,1876,125656913
Africa,OWID_AFR,1877,126275921
Africa,OWID_AFR,1878,126900066
Africa,OWID_AFR,1879,127539564
Africa,OWID_AFR,1880,128194527
Africa,OWID_AFR,1881,128863890
Africa,OWID_AFR,1882,129548955
Africa,OWID_AFR,1883,130249836
Africa,OWID_AFR,1884,130956522
Africa,OWID_AFR,1885,131669056
Africa,OWID_AFR,1886,132387485
Africa,OWID_AFR,1887,133111879
Africa,OWID_AFR,1888,133842280
Africa,OWID_AFR,1889,134489847
Africa,OWID_AFR,1890,135054738
Africa,OWID_AFR,1891,135539040
Africa,OWID_AFR,1892,135941070
Africa,OWID_AFR,1893,136260909
Africa,OWID_AFR,1894,136587590
Africa,OWID_AFR,1895,136921163
Africa,OWID_AFR,1896,137261683
Africa,OWID_AFR,1897,137609187
Africa,OWID_AFR,1898,137963724
Africa,OWID_AFR,1899,138345391
Africa,OWID_AFR,1900,138755559
Africa,OWID_AFR,1901,139195205
Africa,OWID_AFR,1902,139666271
Africa,OWID_AFR,1903,140170120
Africa,OWID_AFR,1904,140688001
Africa,OWID_AFR,1905,141220048
Africa,OWID_AFR,1906,141766391
Africa,OWID_AFR,1907,142327180
Africa,OWID_AFR,1908,142902543
Africa,OWID_AFR,1909,143483346
Africa,OWID_AFR,1910,144068383
Africa,OWID_AFR,1911,144655670
Africa,OWID_AFR,1912,145245400
Africa,OWID_AFR,1913,145835662
Africa,OWID_AFR,1914,146434524
Africa,OWID_AFR,1915,147042086
Africa,OWID_AFR,1916,147658424
Africa,OWID_AFR,1917,148283643
Africa,OWID_AFR,1918,148892208
Africa,OWID_AFR,1919,149751440
Africa,OWID_AFR,1920,150865200
Africa,OWID_AFR,1921,152239781
Africa,OWID_AFR,1922,153876862
Africa,OWID_AFR,1923,155780482
Africa,OWID_AFR,1924,157712366
Africa,OWID_AFR,1925,159672951
Africa,OWID_AFR,1926,161662674
Africa,OWID_AFR,1927,163681990
Africa,OWID_AFR,1928,165731367
Africa,OWID_AFR,1929,167813287
Africa,OWID_AFR,1930,169928217
Africa,OWID_AFR,1931,172076932
Africa,OWID_AFR,1932,174259628
Africa,OWID_AFR,1933,176476818
Africa,OWID_AFR,1934,178726971
Africa,OWID_AFR,1935,181010603
Africa,OWID_AFR,1936,183328236
Africa,OWID_AFR,1937,185680386
Africa,OWID_AFR,1938,188067589
Africa,OWID_AFR,1939,190609541
Africa,OWID_AFR,1940,193310936
Africa,OWID_AFR,1941,196179605
Africa,OWID_AFR,1942,199217448
Africa,OWID_AFR,1943,202429522
Africa,OWID_AFR,1944,205701844
Africa,OWID_AFR,1945,209035596
Africa,OWID_AFR,1946,212431972
Africa,OWID_AFR,1947,215892204
Africa,OWID_AFR,1948,219417536
Africa,OWID_AFR,1949,223283534
Africa,OWID_AFR,1950,227776838
Africa,OWID_AFR,1951,232557370
Africa,OWID_AFR,1952,237539910
Africa,OWID_AFR,1953,242685417
Africa,OWID_AFR,1954,248006203
Africa,OWID_AFR,1955,253538234
Africa,OWID_AFR,1956,259271764
Africa,OWID_AFR,1957,265129059
Africa,OWID_AFR,1958,271042090
Africa,OWID_AFR,1959,277271946
Africa,OWID_AFR,1960,283922294
Africa,OWID_AFR,1961,290814089
Africa,OWID_AFR,1962,297959970
Africa,OWID_AFR,1963,305371364
Africa,OWID_AFR,1964,313056695
Africa,OWID_AFR,1965,320995365
Africa,OWID_AFR,1966,329207333
Africa,OWID_AFR,1967,337767952
Africa,OWID_AFR,1968,346674276
Africa,OWID_AFR,1969,355911162
Africa,OWID_AFR,1970,365456903
Africa,OWID_AFR,1971,375228323
Africa,OWID_AFR,1972,385211089
Africa,OWID_AFR,1973,395717739
Africa,OWID_AFR,1974,406762881
Africa,OWID_AFR,1975,418322666
Africa,OWID_AFR,1976,430382650
Africa,OWID_AFR,1977,442542565
Africa,OWID_AFR,1978,455417592
Africa,OWID_AFR,1979,469072946
Africa,OWID_AFR,1980,482922202
Africa,OWID_AFR,1981,497487390
Africa,OWID_AFR,1982,512805436
Africa,OWID_AFR,1983,528042881
Africa,OWID_AFR,1984,543411002
Africa,OWID_AFR,1985,559417482
Africa,OWID_AFR,1986,575715653
Africa,OWID_AFR,1987,592341398
Africa,OWID_AFR,1988,609119477
Africa,OWID_AFR,1989,626082685
Africa,OWID_AFR,1990,643490587
Africa,OWID_AFR,1991,660810865
Africa,OWID_AFR,1992,678257033
Africa,OWID_AFR,1993,696302246
Africa,OWID_AFR,1994,714183914
Africa,OWID_AFR,1995,732395090
Africa,OWID_AFR,1996,751187001
Africa,OWID_AFR,1997,770098458
Africa,OWID_AFR,1998,789672411
Africa,OWID_AFR,1999,809745318
Africa,OWID_AFR,2000,830226481
Africa,OWID_AFR,2001,851317075
Africa,OWID_AFR,2002,873025213
Africa,OWID_AFR,2003,895336412
Africa,OWID_AFR,2004,918363272
Africa,OWID_AFR,2005,942115143
Africa,OWID_AFR,2006,966491337
Africa,OWID_AFR,2007,991615906
Africa,OWID_AFR,2008,1017632831
Africa,OWID_AFR,2009,1044356804
Africa,OWID_AFR,2010,1071809929
Africa,OWID_AFR,2011,1099732995
Africa,OWID_AFR,2012,1128396676
Africa,OWID_AFR,2013,1158293959
Africa,OWID_AFR,2014,1188685762
Africa,OWID_AFR,2015,1219484027
Africa,OWID_AFR,2016,1250551239
Africa,OWID_AFR,2017,1282169538
Africa,OWID_AFR,2018,1314609397
Africa,OWID_AFR,2019,1347162538
Africa,OWID_AFR,2020,1379939686
Africa,OWID_AFR,2021,1412811077
Africa,OWID_AFR,2022,1445862695
Africa,OWID_AFR,2023,1479690254
Asia,OWID_ASI,-10000,1183783
Asia,OWID_ASI,-9000,1673231
Asia,OWID_ASI,-8000,2405903
Asia,OWID_ASI,-7000,3580818
Asia,OWID_ASI,-6000,5643078
Asia,OWID_ASI,-5000,9452731
Asia,OWID_ASI,-4000,16076769
Asia,OWID_ASI,-3000,26806386
Asia,OWID_ASI,-2000,46901344
Asia,OWID_ASI,-1000,72722528
Asia,OWID_ASI,0,165488624
Asia,OWID_ASI,100,166200944
Asia,OWID_ASI,200,165630128
Asia,OWID_ASI,300,151598544
Asia,OWID_ASI,400,164215360
Asia,OWID_ASI,500,176609472
Asia,OWID_ASI,600,195090976
Asia,OWID_ASI,700,194108480
Asia,OWID_ASI,800,192532960
Asia,OWID_ASI,900,207417104
Asia,OWID_ASI,1000,209186032
Asia,OWID_ASI,1100,268491680
Asia,OWID_ASI,1200,290535296
Asia,OWID_ASI,1300,270833824
Asia,OWID_ASI,1400,270937184
Asia,OWID_ASI,1500,303879520
Asia,OWID_ASI,1600,334114560
Asia,OWID_ASI,1700,386909664
Asia,OWID_ASI,1710,399588352
Asia,OWID_ASI,1720,421137728
Asia,OWID_ASI,1730,434861600
Asia,OWID_ASI,1740,457025792
Asia,OWID_ASI,1750,498699232
Asia,OWID_ASI,1760,524020960
Asia,OWID_ASI,1770,553793728
Asia,OWID_ASI,1780,616125696
Asia,OWID_ASI,1790,646046464
Asia,OWID_ASI,1800,683181540
Asia,OWID_ASI,1801,685331004
Asia,OWID_ASI,1802,687499996
Asia,OWID_ASI,1803,689688487
Asia,OWID_ASI,1804,691896457
Asia,OWID_ASI,1805,694123893
Asia,OWID_ASI,1806,696370781
Asia,OWID_ASI,1807,698637130
Asia,OWID_ASI,1808,700922938
Asia,OWID_ASI,1809,703228216
Asia,OWID_ASI,1810,706697247
Asia,OWID_ASI,1811,710184970
Asia,OWID_ASI,1812,714101589
Asia,OWID_ASI,1813,718452410
Asia,OWID_ASI,1814,722875649
Asia,OWID_ASI,1815,727371867
Asia,OWID_ASI,1816,731941628
Asia,OWID_ASI,1817,736585517
Asia,OWID_ASI,1818,741304115
Asia,OWID_ASI,1819,745877888
Asia,OWID_ASI,1820,750302436
Asia,OWID_ASI,1821,754333381
Asia,OWID_ASI,1822,758182933
Asia,OWID_ASI,1823,762351061
Asia,OWID_ASI,1824,766551242
Asia,OWID_ASI,1825,770783722
Asia,OWID_ASI,1826,775048757
Asia,OWID_ASI,1827,779346599
Asia,OWID_ASI,1828,783677502
Asia,OWID_ASI,1829,787519369
Asia,OWID_ASI,1830,790868367
Asia,OWID_ASI,1831,793720630
Asia,OWID_ASI,1832,796067340
Asia,OWID_ASI,1833,797904515
Asia,OWID_ASI,1834,799750516
Asia,OWID_ASI,1835,801605412
Asia,OWID_ASI,1836,803463258
Asia,OWID_ASI,1837,805330136
Asia,OWID_ASI,1838,807206121
Asia,OWID_ASI,1839,809029646
Asia,OWID_ASI,1840,810809627
Asia,OWID_ASI,1841,812540636
Asia,OWID_ASI,1842,814222743
Asia,OWID_ASI,1843,815855997
Asia,OWID_ASI,1844,817502099
Asia,OWID_ASI,1845,819161198
Asia,OWID_ASI,1846,820833452
Asia,OWID_ASI,1847,822519006
Asia,OWID_ASI,1848,824218038
Asia,OWID_ASI,1849,825222462
Asia,OWID_ASI,1850,825539753
Asia,OWID_ASI,1851,824919179
Asia,OWID_ASI,1852,823625614
Asia,OWID_ASI,1853,821666826
Asia,OWID_ASI,1854,819758194
Asia,OWID_ASI,1855,817899693
Asia,OWID_ASI,1856,816091289
Asia,OWID_ASI,1857,814332986
Asia,OWID_ASI,1858,812624772
Asia,OWID_ASI,1859,811269628
Asia,OWID_ASI,1860,810264188
Asia,OWID_ASI,1861,809610216
Asia,OWID_ASI,1862,809307266
Asia,OWID_ASI,1863,809347406
Asia,OWID_ASI,1864,809420661
Asia,OWID_ASI,1865,809519559
