layer_idx,layer_type,series,x,y
0,Line Graph,China,1985.0,22.495691
0,Line Graph,China,1986.0,21.032778
0,Line Graph,China,1987.0,20.114803
0,Line Graph,China,1988.0,20.023113
0,Line Graph,China,1989.0,20.247427
0,Line Graph,China,1990.0,20.414036
0,Line Graph,China,1991.0,18.413998
0,Line Graph,China,1992.0,17.366554
0,Line Graph,China,1993.0,18.948395
0,Line Graph,China,1994.0,19.727722
0,Line Graph,China,1995.0,20.560476
0,Line Graph,China,1996.0,18.860819
0,Line Graph,China,1997.0,18.7864
0,Line Graph,China,1998.0,18.495249
0,Line Graph,China,1999.0,17.311363
0,Line Graph,China,2000.0,17.874004
0,Line Graph,China,2001.0,20.1379
0,Line Graph,China,2002.0,19.137732
0,Line Graph,China,2003.0,17.304693
0,Line Graph,China,2004.0,18.513054
0,Line Graph,China,2005.0,18.296497
0,Line Graph,China,2006.0,17.502058
0,Line Graph,China,2007.0,17.151703
0,Line Graph,China,2008.0,20.981703
0,Line Graph,China,2009.0,19.7715
0,Line Graph,China,2010.0,20.467964
0,Line Graph,China,2011.0,18.66277
0,Line Graph,China,2012.0,22.012455
0,Line Graph,China,2013.0,22.182476
0,Line Graph,China,2014.0,24.548489
0,Line Graph,China,2015.0,26.915789
0,Line Graph,China,2016.0,28.304657
0,Line Graph,China,2017.0,28.998068
0,Line Graph,China,2018.0,29.728556
0,Line Graph,China,2019.0,31.496796
0,Line Graph,China,2020.0,32.795822
0,Line Graph,China,2021.0,33.46863
0,Line Graph,China,2022.0,34.902714
0,Line Graph,China,2023.0,35.20285
0,Line Graph,China,2024.0,38.165222
0,Line Graph,China,2025.0,41.651043
0,Line Graph,France,1985.0,83.511475
0,Line Graph,France,1986.0,87.687256
0,Line Graph,France,1987.0,89.24195
0,Line Graph,France,1988.0,90.23917
0,Line Graph,France,1989.0,87.04691
0,Line Graph,France,1990.0,88.621284
0,Line Graph,France,1991.0,86.55016
0,Line Graph,France,1992.0,88.993324
0,Line Graph,France,1993.0,92.605804
0,Line Graph,France,1994.0,92.8792
0,Line Graph,France,1995.0,92.1293
0,Line Graph,France,1996.0,91.463005
0,Line Graph,France,1997.0,92.181206
0,Line Graph,France,1998.0,89.22776
0,Line Graph,France,1999.0,90.07007
0,Line Graph,France,2000.0,90.69212
0,Line Graph,France,2001.0,91.62736
0,Line Graph,France,2002.0,90.60482
0,Line Graph,France,2003.0,89.87892
0,Line Graph,France,2004.0,90.17482
