Entity,Code,Year,Share of electricity from low-carbon sources
China,CHN,1985,22.495691
China,CHN,1986,21.032778
China,CHN,1987,20.114803
China,CHN,1988,20.023113
China,CHN,1989,20.247427
China,CHN,1990,20.414036
China,CHN,1991,18.413998
China,CHN,1992,17.366554
China,CHN,1993,18.948395
China,CHN,1994,19.727722
China,CHN,1995,20.560476
China,CHN,1996,18.860819
China,CHN,1997,18.7864
China,CHN,1998,18.495249
China,CHN,1999,17.311363
China,CHN,2000,17.874004
China,CHN,2001,20.1379
China,CHN,2002,19.137732
China,CHN,2003,17.304693
China,CHN,2004,18.513054
China,CHN,2005,18.296497
China,CHN,2006,17.502058
China,CHN,2007,17.151703
China,CHN,2008,20.981703
China,CHN,2009,19.7715
China,CHN,2010,20.467964
China,CHN,2011,18.66277
China,CHN,2012,22.012455
China,CHN,2013,22.182476
China,CHN,2014,24.548489
China,CHN,2015,26.915789
China,CHN,2016,28.304657
China,CHN,2017,28.998068
China,CHN,2018,29.728556
China,CHN,2019,31.496796
China,CHN,2020,32.795822
China,CHN,2021,33.46863
China,CHN,2022,34.902714
China,CHN,2023,35.20285
China,CHN,2024,38.165222
China,CHN,2025,41.651043
France,FRA,1985,83.511475
France,FRA,1986,87.687256
France,FRA,1987,89.24195
France,FRA,1988,90.23917
France,FRA,1989,87.04691
France,FRA,1990,88.621284
France,FRA,1991,86.55016
France,FRA,1992,88.993324
France,FRA,1993,92.605804
France,FRA,1994,92.8792
France,FRA,1995,92.1293
France,FRA,1996,91.463005
France,FRA,1997,92.181206
France,FRA,1998,89.22776
France,FRA,1999,90.07007
France,FRA,2000,90.69212
France,FRA,2001,91.62736
France,FRA,2002,90.60482
France,FRA,2003,89.87892
France,FRA,2004,90.17482
France,FRA,2005,88.995674
France,FRA,2006,90.09343
France,FRA,2007,89.71059
France,FRA,2008,90.264206
France,FRA,2009,90.36058
France,FRA,2010,89.83569
France,FRA,2011,89.56399
France,FRA,2012,89.97146
France,FRA,2013,90.69961
France,FRA,2014,93.678375
France,FRA,2015,92.18484
France,FRA,2016,89.864716
France,FRA,2017,88.219315
France,FRA,2018,91.4185
France,FRA,2019,90.520226
France,FRA,2020,90.82219
France,FRA,2021,91.123184
France,FRA,2022,87.11709
France,FRA,2023,92.084816
France,FRA,2024,94.89835
France,FRA,2025,94.8507
Germany,DEU,1985,30.177114
Germany,DEU,1986,28.775768
Germany,DEU,1987,30.71054
Germany,DEU,1988,32.49279
Germany,DEU,1989,32.452003
Germany,DEU,1990,31.639805
Germany,DEU,1991,30.635052
Germany,DEU,1992,33.446987
Germany,DEU,1993,33.376865
Germany,DEU,1994,33.41906
Germany,DEU,1995,33.729652
Germany,DEU,1996,34.03134
Germany,DEU,1997,35.3936
