layer_idx,layer_type,series,x,y
0,Line Graph,East Asia and Pacific (WB),2005.0,14.7
0,Line Graph,East Asia and Pacific (WB),2006.0,16.6
0,Line Graph,East Asia and Pacific (WB),2007.0,20.8
0,Line Graph,East Asia and Pacific (WB),2008.0,25.2
0,Line Graph,East Asia and Pacific (WB),2009.0,29.5
0,Line Graph,East Asia and Pacific (WB),2010.0,34.2
0,Line Graph,East Asia and Pacific (WB),2011.0,37.3
0,Line Graph,East Asia and Pacific (WB),2012.0,40.4
0,Line Graph,East Asia and Pacific (WB),2013.0,43.2
0,Line Graph,East Asia and Pacific (WB),2014.0,45.5
0,Line Graph,East Asia and Pacific (WB),2015.0,48.3
0,Line Graph,East Asia and Pacific (WB),2016.0,53.9
0,Line Graph,East Asia and Pacific (WB),2017.0,57.8
0,Line Graph,East Asia and Pacific (WB),2018.0,62.5
0,Line Graph,East Asia and Pacific (WB),2019.0,67.1
0,Line Graph,East Asia and Pacific (WB),2020.0,73.9
0,Line Graph,East Asia and Pacific (WB),2021.0,78.8
0,Line Graph,East Asia and Pacific (WB),2022.0,82.4
0,Line Graph,East Asia and Pacific (WB),2023.0,84.9
0,Line Graph,East Asia and Pacific (WB),2024.0,86.6
0,Line Graph,East Asia and Pacific (WB),2025.0,88.4
0,Line Graph,Europe and Central Asia (WB),2005.0,34.7
0,Line Graph,Europe and Central Asia (WB),2006.0,38.0
0,Line Graph,Europe and Central Asia (WB),2007.0,43.6
0,Line Graph,Europe and Central Asia (WB),2008.0,48.1
0,Line Graph,Europe and Central Asia (WB),2009.0,52.7
0,Line Graph,Europe and Central Asia (WB),2010.0,57.0
0,Line Graph,Europe and Central Asia (WB),2011.0,60.2
0,Line Graph,Europe and Central Asia (WB),2012.0,63.8
0,Line Graph,Europe and Central Asia (WB),2013.0,66.1
0,Line Graph,Europe and Central Asia (WB),2014.0,68.9
0,Line Graph,Europe and Central Asia (WB),2015.0,69.9
0,Line Graph,Europe and Central Asia (WB),2016.0,72.3
0,Line Graph,Europe and Central Asia (WB),2017.0,74.5
0,Line Graph,Europe and Central Asia (WB),2018.0,78.1
0,Line Graph,Europe and Central Asia (WB),2019.0,80.3
0,Line Graph,Europe and Central Asia (WB),2020.0,83.4
0,Line Graph,Europe and Central Asia (WB),2021.0,86.3
0,Line Graph,Europe and Central Asia (WB),2022.0,87.9
0,Line Graph,Europe and Central Asia (WB),2023.0,89.6
0,Line Graph,Europe and Central Asia (WB),2024.0,90.9
0,Line Graph,Europe and Central Asia (WB),2025.0,92.4
0,Line Graph,Latin America and Caribbean (WB),2005.0,16.6
0,Line Graph,Latin America and Caribbean (WB),2006.0,20.7
0,Line Graph,Latin America and Caribbean (WB),2007.0,23.7
