layer_idx,layer_type,series,x,y
0,Scatter Plot,A,1.5211,2.7697
0,Scatter Plot,A,1.7946,4.4213
0,Scatter Plot,A,2.3738,4.4073
0,Scatter Plot,A,2.3901,3.7434
0,Scatter Plot,A,3.1143,3.4683
0,Scatter Plot,A,3.4662,4.9811
0,Scatter Plot,A,4.4426,4.9232
0,Scatter Plot,A,5.1188,6.175
0,Scatter Plot,A,5.4356,6.2278
0,Scatter Plot,A,5.7528,7.0147
0,Scatter Plot,A,6.5716,7.1674
0,Scatter Plot,A,6.7149,7.6955
0,Scatter Plot,A,7.6028,8.4051
0,Scatter Plot,A,7.8225,8.7403
0,Scatter Plot,A,9.1771,9.029
0,Scatter Plot,B,1.4209,4.8187
0,Scatter Plot,B,1.8352,4.2144
0,Scatter Plot,B,1.8388,4.954
0,Scatter Plot,B,2.7743,4.1031
0,Scatter Plot,B,3.542,5.6402
0,Scatter Plot,B,3.9579,4.4932
0,Scatter Plot,B,4.2292,5.3567
0,Scatter Plot,B,5.0075,5.593
0,Scatter Plot,B,5.9559,5.0818
0,Scatter Plot,B,7.1824,6.9516
0,Scatter Plot,B,9.1701,7.4837
0,Scatter Plot,B,9.6772,7.9155
0,Scatter Plot,C,2.3756,5.8611
0,Scatter Plot,C,2.461,5.7438
0,Scatter Plot,C,2.6235,6.2627
0,Scatter Plot,C,2.964,4.9503
0,Scatter Plot,C,3.6387,4.6889
0,Scatter Plot,C,6.4492,4.3968
0,Scatter Plot,C,7.1284,5.0769
0,Scatter Plot,C,7.1773,4.3609
0,Scatter Plot,C,7.8305,4.1165
0,Scatter Plot,C,8.1706,4.4564
