layer_idx,layer_type,series,x,y
0,Scatter Plot,Measurement,0.5,4.954600819950352
0,Scatter Plot,Measurement,1.3181818181818183,6.917767032489952
0,Scatter Plot,Measurement,2.1363636363636367,7.376152299469215
0,Scatter Plot,Measurement,2.9545454545454546,8.493347787035082
0,Scatter Plot,Measurement,3.772727272727273,11.093958058582677
0,Scatter Plot,Measurement,4.590909090909091,12.094239166248544
0,Scatter Plot,Measurement,5.409090909090909,14.229186537341057
0,Scatter Plot,Measurement,6.2272727272727275,14.521402144365453
0,Scatter Plot,Measurement,7.045454545454546,15.83762430906261
0,Scatter Plot,Measurement,7.863636363636364,17.521848167826228
0,Scatter Plot,Measurement,8.681818181818182,19.206941984500972
0,Scatter Plot,Measurement,9.5,21.446829462780293
1,Line Graph,Linear fit,0.0,4.000653383447408
1,Line Graph,Linear fit,0.5025125628140704,4.885796240803217
1,Line Graph,Linear fit,1.0050251256281408,5.770939098159026
1,Line Graph,Linear fit,1.5075376884422111,6.656081955514836
1,Line Graph,Linear fit,2.0100502512562817,7.541224812870645
1,Line Graph,Linear fit,2.512562814070352,8.426367670226455
1,Line Graph,Linear fit,3.0150753768844223,9.311510527582262
1,Line Graph,Linear fit,3.5175879396984926,10.196653384938072
1,Line Graph,Linear fit,4.020100502512563,11.081796242293882
1,Line Graph,Linear fit,4.522613065326634,11.96693909964969
1,Line Graph,Linear fit,5.025125628140704,12.852081957005499
1,Line Graph,Linear fit,5.527638190954774,13.737224814361308
1,Line Graph,Linear fit,6.030150753768845,14.622367671717118
1,Line Graph,Linear fit,6.532663316582915,15.507510529072928
1,Line Graph,Linear fit,7.035175879396985,16.392653386428737
1,Line Graph,Linear fit,7.5376884422110555,17.277796243784543
1,Line Graph,Linear fit,8.040201005025127,18.162939101140356
1,Line Graph,Linear fit,8.542713567839197,19.048081958496166
1,Line Graph,Linear fit,9.045226130653267,19.933224815851972
1,Line Graph,Linear fit,9.547738693467338,20.81836767320778
