layer_idx,layer_type,series,x,y
0,Line Graph,rising,0.0,1.5
0,Line Graph,rising,0.1266,1.5386
0,Line Graph,rising,0.2532,1.5785
0,Line Graph,rising,0.3797,1.6197
0,Line Graph,rising,0.5063,1.6622
0,Line Graph,rising,0.6329,1.7059
0,Line Graph,rising,0.7595,1.7509
0,Line Graph,rising,0.8861,1.7972
0,Line Graph,rising,1.0127,1.8448
0,Line Graph,rising,1.1392,1.8937
0,Line Graph,rising,1.2658,1.9438
0,Line Graph,rising,1.3924,1.9953
0,Line Graph,rising,1.519,2.048
0,Line Graph,rising,1.6456,2.102
0,Line Graph,rising,1.7722,2.1573
0,Line Graph,rising,1.8987,2.2138
0,Line Graph,rising,2.0253,2.2717
0,Line Graph,rising,2.1519,2.3308
0,Line Graph,rising,2.2785,2.3912
0,Line Graph,rising,2.4051,2.4529
0,Line Graph,rising,2.5316,2.5159
0,Line Graph,rising,2.6582,2.5801
0,Line Graph,rising,2.7848,2.6456
0,Line Graph,rising,2.9114,2.7125
0,Line Graph,rising,3.038,2.7806
0,Line Graph,rising,3.1646,2.8499
0,Line Graph,rising,3.2911,2.9206
0,Line Graph,rising,3.4177,2.9925
0,Line Graph,rising,3.5443,3.0658
0,Line Graph,rising,3.6709,3.1403
0,Line Graph,rising,3.7975,3.2161
0,Line Graph,rising,3.9241,3.2931
0,Line Graph,rising,4.0506,3.3715
0,Line Graph,rising,4.1772,3.4511
0,Line Graph,rising,4.3038,3.532
0,Line Graph,rising,4.4304,3.6142
0,Line Graph,rising,4.557,3.6977
0,Line Graph,rising,4.6835,3.7825
0,Line Graph,rising,4.8101,3.8685
0,Line Graph,rising,4.9367,3.9559
0,Line Graph,rising,5.0633,4.0445
0,Line Graph,rising,5.1899,4.1344
0,Line Graph,rising,5.3165,4.2255
0,Line Graph,rising,5.443,4.318
0,Line Graph,rising,5.5696,4.4117
0,Line Graph,rising,5.6962,4.5067
0,Line Graph,rising,5.8228,4.603
0,Line Graph,rising,5.9494,4.7006
0,Line Graph,rising,6.0759,4.7995
0,Line Graph,rising,6.2025,4.8996
0,Line Graph,rising,6.3291,5.001
0,Line Graph,rising,6.4557,5.1037
