layer_idx,layer_type,series,x,y
0,Scatter Plot,A,8.82809,11.33812
0,Scatter Plot,A,9.162756,9.026052
0,Scatter Plot,A,7.806478,8.720043
0,Scatter Plot,A,7.59511,8.414034
0,Scatter Plot,A,6.71441,7.700013
0,Scatter Plot,A,6.555884,7.155997
0,Scatter Plot,A,5.74564,6.985992
0,Scatter Plot,A,5.111536,6.169968
0,Scatter Plot,A,5.428588,6.203969
0,Scatter Plot,A,3.473434,4.945932
0,Scatter Plot,A,4.442204,4.911931
0,Scatter Plot,A,1.798147,4.453862
0,Scatter Plot,A,2.381366,4.367915
0,Scatter Plot,A,2.39898,3.721896
0,Scatter Plot,A,3.121154,3.449888
0,Scatter Plot,A,1.51828,2.735867
0,Scatter Plot,B,8.82809,10.624099
0,Scatter Plot,B,9.655948,7.904019
0,Scatter Plot,B,9.162756,7.462006
0,Scatter Plot,B,7.172374,6.951991
0,Scatter Plot,B,3.54389,5.625952
0,Scatter Plot,B,5.005852,5.55795
0,Scatter Plot,B,4.230836,5.319943
0,Scatter Plot,B,5.957008,5.047935
0,Scatter Plot,B,1.835332,4.945932
0,Scatter Plot,B,1.43021,4.809928
0,Scatter Plot,B,3.949012,4.469918
0,Scatter Plot,B,1.835332,4.19791
0,Scatter Plot,B,2.768874,4.061906
0,Scatter Plot,C,8.82809,9.910078
0,Scatter Plot,C,2.627962,6.23797
0,Scatter Plot,C,2.428116,5.780107
0,Scatter Plot,C,7.119532,5.047935
0,Scatter Plot,C,2.962628,4.911931
0,Scatter Plot,C,3.63196,4.673924
0,Scatter Plot,C,8.158758,4.435917
0,Scatter Plot,C,6.4502,4.367915
0,Scatter Plot,C,7.172374,4.333914
0,Scatter Plot,C,7.824092,4.095907
