layer_idx,layer_type,series,x,y
1,Line Graph,Exponential,0.470694,80.407952
1,Line Graph,Exponential,0.53993,77.303205
1,Line Graph,Exponential,0.609166,75.300264
1,Line Graph,Exponential,0.678402,73.34922
1,Line Graph,Exponential,0.747638,69.597478
1,Line Graph,Exponential,0.816874,67.794194
1,Line Graph,Exponential,0.88611,66.037633
1,Line Graph,Exponential,0.955346,62.659872
1,Line Graph,Exponential,1.024582,61.036342
1,Line Graph,Exponential,1.093818,59.454879
1,Line Graph,Exponential,1.163054,56.413819
1,Line Graph,Exponential,1.23229,54.952126
1,Line Graph,Exponential,1.301526,53.528306
1,Line Graph,Exponential,1.370762,50.790384
1,Line Graph,Exponential,1.439998,49.474396
1,Line Graph,Exponential,1.509234,48.192505
1,Line Graph,Exponential,1.57847,45.727504
1,Line Graph,Exponential,1.647706,44.542696
1,Line Graph,Exponential,1.716942,43.388586
1,Line Graph,Exponential,1.786178,41.169302
1,Line Graph,Exponential,1.855414,40.102597
1,Line Graph,Exponential,1.92465,39.063531
1,Line Graph,Exponential,1.993886,37.065469
1,Line Graph,Exponential,2.063122,36.105096
1,Line Graph,Exponential,2.132358,35.169606
1,Line Graph,Exponential,2.201594,33.811622
1,Line Graph,Exponential,2.27083,32.506073
1,Line Graph,Exponential,2.340066,31.663834
1,Line Graph,Exponential,2.409302,30.441216
1,Line Graph,Exponential,2.478538,29.265807
1,Line Graph,Exponential,2.547774,28.507524
1,Line Graph,Exponential,2.61701,27.768889
1,Line Graph,Exponential,2.686246,26.348537
1,Line Graph,Exponential,2.755482,25.665841
1,Line Graph,Exponential,2.824718,25.000834
1,Line Graph,Exponential,2.893954,23.722065
1,Line Graph,Exponential,2.96319,23.107422
1,Line Graph,Exponential,3.032426,22.508705
1,Line Graph,Exponential,3.101662,21.357406
1,Line Graph,Exponential,3.170898,20.804031
1,Line Graph,Exponential,3.240134,20.264995
1,Line Graph,Exponential,3.30937,19.22846
1,Line Graph,Exponential,3.378606,18.730247
1,Line Graph,Exponential,3.447842,18.244943
1,Line Graph,Exponential,3.517078,17.311731
1,Line Graph,Exponential,3.586314,16.863181
1,Line Graph,Exponential,3.65555,16.426253
1,Line Graph,Exponential,3.724786,15.586066
1,Line Graph,Exponential,3.794022,15.182228
1,Line Graph,Exponential,3.863258,14.788853
1,Line Graph,Exponential,3.932494,14.032418
1,Line Graph,Exponential,4.00173,13.668835
1,Line Graph,Exponential,4.070966,13.314673
1,Line Graph,Exponential,4.140202,12.63364
1,Line Graph,Exponential,4.209438,12.3063
1,Line Graph,Exponential,4.278674,11.987441
1,Line Graph,Exponential,4.34791,11.374295
1,Line Graph,Exponential,4.417146,11.079585
1,Line Graph,Exponential,4.486382,10.792511
1,Line Graph,Exponential,4.555618,10.240484
1,Line Graph,Exponential,4.624854,9.975151
1,Line Graph,Exponential,4.69409,9.716693
1,Line Graph,Exponential,4.763326,9.219694
1,Line Graph,Exponential,4.832562,8.98081
1,Line Graph,Exponential,4.901798,8.748115
1,Line Graph,Exponential,4.971034,8.300658
1,Line Graph,Exponential,5.04027,8.085586
1,Line Graph,Exponential,5.109506,7.876087
1,Line Graph,Exponential,5.178742,7.473233
1,Line Graph,Exponential,5.247978,7.2796
1,Line Graph,Exponential,5.317214,7.090984
1,Line Graph,Exponential,5.38645,6.728287
1,Line Graph,Exponential,5.455686,6.553956
1,Line Graph,Exponential,5.524922,6.384141
1,Line Graph,Exponential,5.594158,6.057599
1,Line Graph,Exponential,5.663394,5.900645
1,Line Graph,Exponential,5.73263,5.747758
1,Line Graph,Exponential,5.801866,5.453766
1,Line Graph,Exponential,5.871102,5.312458
1,Line Graph,Exponential,5.940338,5.174811
1,Line Graph,Exponential,6.009574,4.910124
1,Line Graph,Exponential,6.07881,4.782902
1,Line Graph,Exponential,6.148046,4.658976
1,Line Graph,Exponential,6.217282,4.420674
1,Line Graph,Exponential,6.286518,4.306134
1,Line Graph,Exponential,6.355754,22.410437
1,Line Graph,Exponential,6.42499,21.639589
1,Line Graph,Exponential,6.494226,21.264165
1,Line Graph,Exponential,6.563462,20.895255
1,Line Graph,Exponential,6.632698,20.176523
1,Line Graph,Exponential,6.701934,19.826482
1,Line Graph,Exponential,6.77117,19.482514
1,Line Graph,Exponential,6.840406,3.22609
1,Line Graph,Exponential,6.909642,3.142502
1,Line Graph,Exponential,6.978878,3.061079
1,Line Graph,Exponential,7.048114,2.904507
1,Line Graph,Exponential,7.11735,2.829251
1,Line Graph,Exponential,7.186586,2.755945
1,Line Graph,Exponential,7.255822,2.614981
1,Line Graph,Exponential,7.325058,2.547226
1,Line Graph,Exponential,7.394294,2.481227
1,Line Graph,Exponential,7.46353,2.354315
1,Line Graph,Exponential,7.532766,2.293314
1,Line Graph,Exponential,7.602002,2.233894
1,Line Graph,Exponential,7.671238,2.119632
1,Line Graph,Exponential,7.740474,2.064712
1,Line Graph,Exponential,7.80971,2.011215
1,Line Graph,Exponential,7.878946,1.908343
