layer_idx,layer_type,series,x,y
0,Scatter Plot,24C,0.00016852631578948007,6.33160152631579
0,Scatter Plot,24C,0.004692888888888885,6.144394333333334
0,Scatter Plot,24C,0.07462103797468354,7.119505556962025
0,Scatter Plot,24C,0.08336018181818182,6.994122818181818
0,Scatter Plot,24C,0.1856005925925926,7.878554333333334
0,Scatter Plot,24C,0.1886564,7.670237
0,Scatter Plot,24C,0.198146,8.879241
0,Scatter Plot,24C,0.22292440000000002,9.399489000000003
0,Scatter Plot,24C,0.24090777777777778,9.781767666666667
0,Scatter Plot,24C,0.2589058,10.165137000000001
0,Scatter Plot,24C,0.3084186666666667,8.5824706
0,Scatter Plot,24C,0.3084814285714286,9.261363857142857
0,Scatter Plot,24C,0.3131048888888889,8.402074333333335
0,Scatter Plot,24C,0.31329127272727275,9.082253727272729
0,Scatter Plot,24C,0.3214522222222222,11.592274333333332
0,Scatter Plot,24C,0.333241,9.909921
0,Scatter Plot,24C,0.33801875,9.732006000000002
0,Scatter Plot,24C,0.35811605333333335,15.560337800000001
0,Scatter Plot,27C,0.01,18.52
0,Scatter Plot,27C,0.016,18.52
0,Scatter Plot,27C,0.081,19.26
0,Scatter Plot,27C,0.087,19.26
0,Scatter Plot,27C,0.257,19.83
0,Scatter Plot,27C,0.26,20.06
0,Scatter Plot,27C,0.263,19.82
0,Scatter Plot,27C,0.362,20.51
0,Scatter Plot,27C,0.367,20.33
0,Scatter Plot,27C,0.368,20.59
0,Scatter Plot,27C,0.468,20.98
0,Scatter Plot,27C,0.474,20.98
0,Scatter Plot,27C,0.596,22.23
0,Scatter Plot,27C,0.635,23.18
0,Scatter Plot,27C,0.636,23.41
0,Scatter Plot,27C,0.656,23.56
0,Scatter Plot,27C,0.657,23.93
0,Scatter Plot,27C,0.662,23.52
0,Scatter Plot,27C,0.662,23.89
0,Scatter Plot,30C,0.003,7.38
0,Scatter Plot,30C,0.011,8.51
0,Scatter Plot,30C,0.074,9.54
0,Scatter Plot,30C,0.232,10.5
0,Scatter Plot,30C,0.326,11.38
0,Scatter Plot,30C,0.421,12.2
0,Scatter Plot,30C,0.516,12.98
0,Scatter Plot,30C,0.527,13.78
0,Scatter Plot,30C,0.537,15.28
0,Scatter Plot,30C,0.537,14.54
0,Scatter Plot,30C,0.547,15.98
0,Scatter Plot,30C,0.569,16.71
0,Scatter Plot,30C,0.589,18.11
0,Scatter Plot,30C,0.589,17.4
0,Scatter Plot,30C,0.611,19.5
0,Scatter Plot,30C,0.611,20.85
0,Scatter Plot,30C,0.611,18.79
0,Scatter Plot,30C,0.611,20.18
0,Scatter Plot,30C,0.621,21.53
0,Scatter Plot,30C,0.621,22.2
1,Spline Chart,IF_24C,0.018897999999999998,6.130761
1,Spline Chart,IF_24C,0.026805999999999996,6.2534610000000015
1,Spline Chart,IF_24C,0.04262199999999999,6.4497810000000015
1,Spline Chart,IF_24C,0.058438000000000004,6.670641
1,Spline Chart,IF_24C,0.066346,6.793341000000002
1,Spline Chart,IF_24C,0.10193200000000001,7.308681
1,Spline Chart,IF_24C,0.117748,7.554081
1,Spline Chart,IF_24C,0.125656,7.676781000000002
1,Spline Chart,IF_24C,0.141472,7.971261000000002
1,Spline Chart,IF_24C,0.15728799999999998,8.216661000000002
1,Spline Chart,IF_24C,0.165196,8.339361
1,Spline Chart,IF_24C,0.181012,8.609301000000002
1,Spline Chart,IF_24C,0.20869,9.124641
1,Spline Chart,IF_24C,0.278544,10.621580999999999
1,Spline Chart,IF_24C,0.293042,10.916061
1,Spline Chart,IF_24C,0.30095,11.112381
1,Spline Chart,IF_24C,0.308858,11.259621
1,Spline Chart,IF_24C,0.354988,12.511161
1,Spline Chart,IF_24C,0.369486,12.854721
1,Spline Chart,IF_24C,0.385302,13.345521
1,Spline Chart,IF_24C,0.39321,13.492761
1,Spline Chart,IF_24C,0.405072,13.860861
1,Spline Chart,IF_24C,0.418252,14.278041
1,Spline Chart,IF_24C,0.431432,14.744301
1,Spline Chart,IF_24C,0.43934,14.916081
1,Spline Chart,IF_24C,0.45252,15.382341
1,Spline Chart,IF_24C,0.46569999999999995,15.824061
1,Spline Chart,IF_24C,0.47888000000000003,16.265781
1,Spline Chart,IF_24C,0.49337800000000004,16.732041000000002
1,Spline Chart,IF_24C,0.5012859999999999,17.001981
1,Spline Chart,IF_24C,0.514466,17.517321000000003
1,Spline Chart,IF_24C,0.527646,18.057201
1,Spline Chart,IF_24C,0.535554,18.302601000000003
1,Spline Chart,IF_24C,0.5474159999999999,18.817940999999998
1,Spline Chart,IF_24C,0.560596,19.333281
1,Spline Chart,IF_24C,0.573776,19.873161
1,Spline Chart,IF_24C,0.5869559999999999,20.413041
1,Spline Chart,IF_24C,0.598818,20.879300999999998
1,Spline Chart,IF_24C,0.6001359999999999,20.928381
1,Spline Chart,IF_27C,0.007036000000000001,17.640021
1,Spline Chart,IF_27C,0.014943999999999999,17.959041
1,Spline Chart,IF_27C,0.022851999999999997,18.032661
1,Spline Chart,IF_27C,0.030759999999999996,18.106281000000003
1,Spline Chart,IF_27C,0.038667999999999994,18.155361
1,Spline Chart,IF_27C,0.04657599999999999,18.228981
1,Spline Chart,IF_27C,0.05448399999999999,18.302601000000003
1,Spline Chart,IF_27C,0.06239199999999999,18.351681
1,Spline Chart,IF_27C,0.07029999999999999,18.400761000000003
1,Spline Chart,IF_27C,0.07820799999999999,18.474381
1,Spline Chart,IF_27C,0.08611599999999998,18.548001
1,Spline Chart,IF_27C,0.09402399999999998,18.597081
1,Spline Chart,IF_27C,0.10193200000000001,18.670701
1,Spline Chart,IF_27C,0.10984000000000001,18.744321
1,Spline Chart,IF_27C,0.117748,18.793401
1,Spline Chart,IF_27C,0.125656,18.867021
1,Spline Chart,IF_27C,0.13356400000000002,18.940641
1,Spline Chart,IF_27C,0.141472,18.989721
1,Spline Chart,IF_27C,0.14938,19.063341
1,Spline Chart,IF_27C,0.15728799999999998,19.136961
1,Spline Chart,IF_27C,0.165196,19.186041
1,Spline Chart,IF_27C,0.17310399999999998,19.259661
1,Spline Chart,IF_27C,0.181012,19.333281
1,Spline Chart,IF_27C,0.18892000000000003,19.382361
1,Spline Chart,IF_27C,0.196828,19.455981
1,Spline Chart,IF_27C,0.20473600000000003,19.529601
1,Spline Chart,IF_27C,0.212644,19.578681
1,Spline Chart,IF_27C,0.22055200000000003,19.652301
1,Spline Chart,IF_27C,0.22846,19.725921
1,Spline Chart,IF_27C,0.23636800000000002,19.799540999999998
1,Spline Chart,IF_27C,0.244276,19.873161
1,Spline Chart,IF_27C,0.273272,20.118561
1,Spline Chart,IF_27C,0.28118,20.192180999999998
1,Spline Chart,IF_27C,0.289088,20.265801
1,Spline Chart,IF_27C,0.296996,20.339421
1,Spline Chart,IF_27C,0.304904,20.413041
1,Spline Chart,IF_27C,0.312812,20.462121
1,Spline Chart,IF_27C,0.32072,20.560281
