layer_idx,layer_type,series,x,y
0,Line Graph,24°C,7,0.074
0,Line Graph,24°C,8,0.185
0,Line Graph,24°C,9,0.309
0,Line Graph,24°C,11,0.334
0,Line Graph,24°C,12,0.345
0,Line Graph,24°C,21,0.358
1,Line Graph,27°C,3,0.011
1,Line Graph,27°C,4,0.078
1,Line Graph,27°C,5,0.257
1,Line Graph,27°C,6,0.364
1,Line Graph,27°C,7,0.471
1,Line Graph,27°C,8,0.577
1,Line Graph,27°C,9,0.589
1,Line Graph,27°C,10,0.6
1,Line Graph,27°C,12,0.612
1,Line Graph,27°C,13,0.634
1,Line Graph,27°C,14,0.659
1,Line Graph,27°C,16,0.681
1,Line Graph,27°C,20,0.693
1,Line Graph,27°C,22,0.705
2,Line Graph,30°C,4,0.116
2,Line Graph,30°C,5,0.526
2,Line Graph,30°C,6,0.569
2,Line Graph,30°C,7,0.62
2,Line Graph,30°C,8,0.631
2,Line Graph,30°C,10,0.642
