layer_idx,layer_type,series,x,y
0,Line Graph,Sweden,1751,33.011
0,Line Graph,Sweden,1752,34.432
0,Line Graph,Sweden,1753,31.364
0,Line Graph,Sweden,1754,33.125
0,Line Graph,Sweden,1755,34.205
0,Line Graph,Sweden,1756,34.545
0,Line Graph,Sweden,1757,35.114
0,Line Graph,Sweden,1758,31.42
0,Line Graph,Sweden,1759,29.034
0,Line Graph,Sweden,1760,29.432
0,Line Graph,Sweden,1761,33.295
0,Line Graph,Sweden,1762,38.523
0,Line Graph,Sweden,1763,36.648
0,Line Graph,Sweden,1764,31.875
0,Line Graph,Sweden,1765,31.477
0,Line Graph,Sweden,1766,30.966
0,Line Graph,Sweden,1767,32.557
0,Line Graph,Sweden,1768,34.545
0,Line Graph,Sweden,1769,34.261
0,Line Graph,Sweden,1770,32.955
0,Line Graph,Sweden,1771,34.773
0,Line Graph,Sweden,1772,41.193
0,Line Graph,Sweden,1773,38.523
0,Line Graph,Sweden,1774,29.886
0,Line Graph,Sweden,1775,29.489
0,Line Graph,Sweden,1776,27.216
0,Line Graph,Sweden,1777,31.193
0,Line Graph,Sweden,1778,37.159
0,Line Graph,Sweden,1779,35.511
0,Line Graph,Sweden,1780,27.841
0,Line Graph,Sweden,1781,29.659
0,Line Graph,Sweden,1782,32.443
0,Line Graph,Sweden,1783,35.568
0,Line Graph,Sweden,1784,37.159
0,Line Graph,Sweden,1785,32.557
0,Line Graph,Sweden,1786,29.716
0,Line Graph,Sweden,1787,29.602
0,Line Graph,Sweden,1788,32.159
0,Line Graph,Sweden,1789,33.58
0,Line Graph,Sweden,1790,31.25
0,Line Graph,Sweden,1791,29.205
0,Line Graph,Sweden,1792,29.773
0,Line Graph,Sweden,1793,29.432
0,Line Graph,Sweden,1794,29.375
0,Line Graph,Sweden,1795,30.852
0,Line Graph,Sweden,1796,30.568
0,Line Graph,Sweden,1797,28.977
0,Line Graph,Sweden,1798,27.955
0,Line Graph,Sweden,1799,32.443
0,Line Graph,Sweden,1800,35.909
0,Line Graph,Sweden,1801,31.705
0,Line Graph,Sweden,1802,29.261
0,Line Graph,Sweden,1803,27.5
0,Line Graph,Sweden,1804,27.102
0,Line Graph,Sweden,1805,29.773
0,Line Graph,Sweden,1806,31.648
0,Line Graph,Sweden,1807,31.023
0,Line Graph,Sweden,1808,34.545
0,Line Graph,Sweden,1809,36.023
0,Line Graph,Sweden,1810,34.034
0,Line Graph,Sweden,1811,32.443
0,Line Graph,Sweden,1812,30.966
0,Line Graph,Sweden,1813,30.398
0,Line Graph,Sweden,1814,28.75
0,Line Graph,Sweden,1815,27.898
0,Line Graph,Sweden,1816,27.5
0,Line Graph,Sweden,1817,27.5
0,Line Graph,Sweden,1818,27.67
0,Line Graph,Sweden,1819,28.409
