layer_idx,layer_type,series,x,y
0,Line Graph,United States,1830,0.125
0,Line Graph,United States,1831,0.125
0,Line Graph,United States,1832,0.187
0,Line Graph,United States,1833,0.187
0,Line Graph,United States,1834,0.187
0,Line Graph,United States,1835,0.249
0,Line Graph,United States,1836,0.249
0,Line Graph,United States,1837,0.249
0,Line Graph,United States,1838,0.249
0,Line Graph,United States,1839,0.258
0,Line Graph,United States,1840,0.306
0,Line Graph,United States,1841,0.312
0,Line Graph,United States,1842,0.312
0,Line Graph,United States,1843,0.367
0,Line Graph,United States,1844,0.436
0,Line Graph,United States,1845,0.499
0,Line Graph,United States,1846,0.561
0,Line Graph,United States,1847,0.633
0,Line Graph,United States,1848,0.701
0,Line Graph,United States,1849,0.748
0,Line Graph,United States,1850,0.822
0,Line Graph,United States,1851,0.968
0,Line Graph,United States,1852,1.052
0,Line Graph,United States,1853,1.129
0,Line Graph,United States,1854,1.219
0,Line Graph,United States,1855,1.366
0,Line Graph,United States,1856,1.372
0,Line Graph,United States,1857,1.372
0,Line Graph,United States,1858,1.372
0,Line Graph,United States,1859,1.434
0,Line Graph,United States,1860,1.434
0,Line Graph,United States,1861,1.372
0,Line Graph,United States,1862,1.391
0,Line Graph,United States,1863,1.548
0,Line Graph,United States,1864,1.621
0,Line Graph,United States,1865,1.621
0,Line Graph,United States,1866,1.647
0,Line Graph,United States,1867,1.904
0,Line Graph,United States,1868,2.135
0,Line Graph,United States,1869,2.342
0,Line Graph,United States,1870,2.431
0,Line Graph,United States,1871,2.544
0,Line Graph,United States,1872,2.984
0,Line Graph,United States,1873,3.205
0,Line Graph,United States,1874,3.041
0,Line Graph,United States,1875,2.993
0,Line Graph,United States,1876,2.907
0,Line Graph,United States,1877,3.072
0,Line Graph,United States,1878,3.049
0,Line Graph,United States,1879,3.551
0,Line Graph,United States,1880,3.943
0,Line Graph,United States,1881,4.131
0,Line Graph,United States,1882,4.48
0,Line Graph,United States,1883,4.74
0,Line Graph,United States,1884,4.859
0,Line Graph,United States,1885,4.876
0,Line Graph,United States,1886,5.04
0,Line Graph,United States,1887,5.315
0,Line Graph,United States,1888,6.079
0,Line Graph,United States,1889,5.661
0,Line Graph,United States,1890,6.401
0,Line Graph,United States,1891,6.728
0,Line Graph,United States,1892,6.908
0,Line Graph,United States,1893,6.83
0,Line Graph,United States,1894,6.472
0,Line Graph,United States,1895,6.928
0,Line Graph,United States,1896,6.92
0,Line Graph,United States,1897,7.108
0,Line Graph,United States,1898,7.632
0,Line Graph,United States,1899,8.453
0,Line Graph,United States,1900,8.902
0,Line Graph,United States,1901,9.445
0,Line Graph,United States,1902,9.943
0,Line Graph,United States,1903,11.129
0,Line Graph,United States,1904,11.089
0,Line Graph,United States,1905,11.958
0,Line Graph,United States,1906,12.56
0,Line Graph,United States,1907,13.791
0,Line Graph,United States,1908,12.398
0,Line Graph,United States,1909,13.215
0,Line Graph,United States,1910,14.042
0,Line Graph,United States,1911,13.926
0,Line Graph,United States,1912,14.54
0,Line Graph,United States,1913,15.192
0,Line Graph,United States,1914,14.047
0,Line Graph,United States,1915,14.318
0,Line Graph,United States,1916,15.575
0,Line Graph,United States,1917,16.678
0,Line Graph,United States,1918,16.002
0,Line Graph,United States,1919,15.025
0,Line Graph,United States,1920,16.213
0,Line Graph,United States,1921,16.08
0,Line Graph,United States,1922,16.579
0,Line Graph,United States,1923,17.003
0,Line Graph,United States,1924,15.795
0,Line Graph,United States,1925,15.798
0,Line Graph,United States,1926,15.79
0,Line Graph,United States,1927,15.093
0,Line Graph,United States,1928,14.396
0,Line Graph,United States,1929,13.699
0,Line Graph,United States,1930,13.002
0,Line Graph,United States,1931,12.291
0,Line Graph,United States,1932,10.595
0,Line Graph,United States,1933,10.976
0,Line Graph,United States,1934,11.605
0,Line Graph,United States,1935,12.107
0,Line Graph,United States,1936,13.572
0,Line Graph,United States,1937,12.984
0,Line Graph,United States,1938,12.273
0,Line Graph,United States,1939,13.073
0,Line Graph,United States,1940,14.464
0,Line Graph,United States,1941,15.584
0,Line Graph,United States,1942,16.523
0,Line Graph,United States,1943,16.956
0,Line Graph,United States,1944,17.752
0,Line Graph,United States,1945,17.081
0,Line Graph,United States,1946,16.385
0,Line Graph,United States,1947,16.258
0,Line Graph,United States,1948,15.711
0,Line Graph,United States,1949,15.245
0,Line Graph,United States,1950,16.344
0,Line Graph,United States,1951,16.671
0,Line Graph,United States,1952,16.14
0,Line Graph,United States,1953,16.105
0,Line Graph,United States,1954,15.414
0,Line Graph,United States,1955,16.334
0,Line Graph,United States,1956,16.852
0,Line Graph,United States,1957,16.529
0,Line Graph,United States,1958,15.857
0,Line Graph,United States,1959,15.99
0,Line Graph,United States,1960,16.053
0,Line Graph,United States,1961,15.804
0,Line Graph,United States,1962,16.035
0,Line Graph,United States,1963,16.463
0,Line Graph,United States,1964,16.913
0,Line Graph,United States,1965,17.402
0,Line Graph,United States,1966,17.998
0,Line Graph,United States,1967,18.466
0,Line Graph,United States,1968,18.927
0,Line Graph,United States,1969,19.681
0,Line Graph,United States,1970,20.73
0,Line Graph,United States,1971,20.847
0,Line Graph,United States,1972,21.514
0,Line Graph,United States,1973,22.072
0,Line Graph,United States,1974,21.251
0,Line Graph,United States,1975,20.338
0,Line Graph,United States,1976,20.868
0,Line Graph,United States,1977,21.296
0,Line Graph,United States,1978,21.696
0,Line Graph,United States,1979,21.519
0,Line Graph,United States,1980,20.601
0,Line Graph,United States,1981,19.596
0,Line Graph,United States,1982,18.531
0,Line Graph,United States,1983,18.364
0,Line Graph,United States,1984,18.68
0,Line Graph,United States,1985,18.604
0,Line Graph,United States,1986,18.487
0,Line Graph,United States,1987,19.06
0,Line Graph,United States,1988,19.66
0,Line Graph,United States,1989,19.853
0,Line Graph,United States,1990,20.181
0,Line Graph,United States,1991,19.89
0,Line Graph,United States,1992,19.95
0,Line Graph,United States,1993,20.096
