layer_idx,layer_type,series,x,y
0,Stacked Area,Traditional biomass,1800,5813.9
0,Stacked Area,Traditional biomass,1801,5813.9
0,Stacked Area,Traditional biomass,1802,5813.9
0,Stacked Area,Traditional biomass,1803,5813.9
0,Stacked Area,Traditional biomass,1804,5813.9
0,Stacked Area,Traditional biomass,1805,6261.1
0,Stacked Area,Traditional biomass,1806,5366.7
0,Stacked Area,Traditional biomass,1807,5366.7
0,Stacked Area,Traditional biomass,1808,5366.7
0,Stacked Area,Traditional biomass,1809,5366.7
0,Stacked Area,Traditional biomass,1810,5366.7
0,Stacked Area,Traditional biomass,1811,5366.7
0,Stacked Area,Traditional biomass,1812,6261.1
0,Stacked Area,Traditional biomass,1813,6261.1
0,Stacked Area,Traditional biomass,1814,6261.1
0,Stacked Area,Traditional biomass,1815,6261.1
0,Stacked Area,Traditional biomass,1816,6261.1
0,Stacked Area,Traditional biomass,1817,6261.1
0,Stacked Area,Traditional biomass,1818,6261.1
0,Stacked Area,Traditional biomass,1819,6261.1
0,Stacked Area,Traditional biomass,1820,5813.9
0,Stacked Area,Traditional biomass,1821,5813.9
0,Stacked Area,Traditional biomass,1822,5813.9
0,Stacked Area,Traditional biomass,1823,5813.9
0,Stacked Area,Traditional biomass,1824,5813.9
0,Stacked Area,Traditional biomass,1825,6708.4
0,Stacked Area,Traditional biomass,1826,6708.4
0,Stacked Area,Traditional biomass,1827,6708.4
0,Stacked Area,Traditional biomass,1828,6708.4
0,Stacked Area,Traditional biomass,1829,6708.4
0,Stacked Area,Traditional biomass,1830,6708.4
0,Stacked Area,Traditional biomass,1831,6261.1
0,Stacked Area,Traditional biomass,1832,6261.1
0,Stacked Area,Traditional biomass,1833,6261.1
0,Stacked Area,Traditional biomass,1834,6261.1
0,Stacked Area,Traditional biomass,1835,7155.6
0,Stacked Area,Traditional biomass,1836,7155.6
0,Stacked Area,Traditional biomass,1837,7155.6
0,Stacked Area,Traditional biomass,1838,6708.4
0,Stacked Area,Traditional biomass,1839,6708.4
0,Stacked Area,Traditional biomass,1840,6708.4
0,Stacked Area,Traditional biomass,1841,6708.4
0,Stacked Area,Traditional biomass,1842,6708.4
0,Stacked Area,Traditional biomass,1843,6708.4
0,Stacked Area,Traditional biomass,1844,7602.8
0,Stacked Area,Traditional biomass,1845,7602.8
0,Stacked Area,Traditional biomass,1846,6708.4
0,Stacked Area,Traditional biomass,1847,6708.4
0,Stacked Area,Traditional biomass,1848,7155.6
0,Stacked Area,Traditional biomass,1849,7155.6
0,Stacked Area,Traditional biomass,1850,7155.6
0,Stacked Area,Traditional biomass,1851,7155.6
