layer_idx,layer_type,series,x,y
0,Line Graph,Oceania,1869,34.74
0,Line Graph,Oceania,1870,34.74
0,Line Graph,Oceania,1873,36.25
0,Line Graph,Oceania,1874,36.63
0,Line Graph,Oceania,1875,37.01
0,Line Graph,Oceania,1879,38.91
0,Line Graph,Oceania,1880,39.28
0,Line Graph,Oceania,1881,39.66
0,Line Graph,Oceania,1882,40.23
0,Line Graph,Oceania,1883,40.42
0,Line Graph,Oceania,1884,40.99
0,Line Graph,Oceania,1885,41.37
0,Line Graph,Oceania,1886,41.75
0,Line Graph,Oceania,1887,42.32
0,Line Graph,Oceania,1888,42.69
0,Line Graph,Oceania,1889,43.07
0,Line Graph,Oceania,1890,43.45
0,Line Graph,Oceania,1891,44.02
0,Line Graph,Oceania,1892,44.4
0,Line Graph,Oceania,1893,44.78
0,Line Graph,Oceania,1894,45.35
0,Line Graph,Oceania,1895,45.73
0,Line Graph,Oceania,1896,46.1
0,Line Graph,Oceania,1897,46.48
0,Line Graph,Oceania,1898,47.05
0,Line Graph,Oceania,1899,47.43
0,Line Graph,Oceania,1900,47.71
0,Line Graph,Oceania,1901,48.0
0,Line Graph,Oceania,1902,48.38
0,Line Graph,Oceania,1903,48.57
0,Line Graph,Oceania,1904,48.76
0,Line Graph,Oceania,1905,49.14
0,Line Graph,Oceania,1906,49.33
0,Line Graph,Oceania,1907,49.7
0,Line Graph,Oceania,1908,49.89
0,Line Graph,Oceania,1909,50.08
0,Line Graph,Oceania,1910,50.46
0,Line Graph,Oceania,1911,50.65
0,Line Graph,Oceania,1912,50.84
0,Line Graph,Oceania,1913,51.13
0,Line Graph,Oceania,1914,51.41
0,Line Graph,Oceania,1915,51.79
0,Line Graph,Oceania,1916,51.98
0,Line Graph,Oceania,1917,52.36
0,Line Graph,Oceania,1918,52.74
0,Line Graph,Oceania,1919,52.92
0,Line Graph,Oceania,1920,53.11
0,Line Graph,Oceania,1921,53.49
0,Line Graph,Oceania,1922,53.68
0,Line Graph,Oceania,1923,54.06
0,Line Graph,Oceania,1924,54.44
0,Line Graph,Oceania,1925,54.63
0,Line Graph,Oceania,1926,54.82
0,Line Graph,Oceania,1927,55.2
0,Line Graph,Oceania,1928,55.58
0,Line Graph,Oceania,1929,55.77
0,Line Graph,Oceania,1930,55.96
0,Line Graph,Oceania,1931,56.34
0,Line Graph,Oceania,1932,56.52
0,Line Graph,Oceania,1933,56.9
0,Line Graph,Oceania,1934,57.28
0,Line Graph,Oceania,1935,57.47
0,Line Graph,Oceania,1936,57.66
0,Line Graph,Oceania,1937,58.04
0,Line Graph,Oceania,1938,58.42
0,Line Graph,Oceania,1939,58.61
0,Line Graph,Oceania,1940,58.99
0,Line Graph,Oceania,1941,59.18
0,Line Graph,Oceania,1942,59.37
0,Line Graph,Oceania,1943,59.75
0,Line Graph,Oceania,1949,61.45
0,Line Graph,Oceania,1950,61.36
0,Line Graph,Oceania,1951,61.36
0,Line Graph,Oceania,1952,62.21
0,Line Graph,Oceania,1953,62.97
0,Line Graph,Oceania,1954,63.34
0,Line Graph,Oceania,1955,63.63
0,Line Graph,Oceania,1956,63.72
0,Line Graph,Oceania,1957,64.29
0,Line Graph,Oceania,1958,64.58
0,Line Graph,Oceania,1959,64.67
0,Line Graph,Oceania,1960,65.14
0,Line Graph,Oceania,1961,65.52
0,Line Graph,Oceania,1962,65.43
0,Line Graph,Oceania,1963,65.71
0,Line Graph,Oceania,1964,65.62
0,Line Graph,Oceania,1965,65.9
0,Line Graph,Oceania,1966,66.0
0,Line Graph,Oceania,1967,66.47
0,Line Graph,Oceania,1968,66.38
0,Line Graph,Oceania,1969,66.85
0,Line Graph,Oceania,1970,66.75
0,Line Graph,Oceania,1971,67.61
0,Line Graph,Oceania,1972,67.89
0,Line Graph,Oceania,1973,68.08
0,Line Graph,Oceania,1974,68.27
0,Line Graph,Oceania,1975,68.84
0,Line Graph,Oceania,1976,69.03
0,Line Graph,Oceania,1977,69.6
0,Line Graph,Oceania,1978,69.88
0,Line Graph,Oceania,1979,70.35
0,Line Graph,Oceania,1980,70.54
0,Line Graph,Oceania,1981,70.83
0,Line Graph,Oceania,1982,70.92
0,Line Graph,Oceania,1983,71.49
0,Line Graph,Oceania,1984,71.68
0,Line Graph,Oceania,1985,71.68
0,Line Graph,Oceania,1986,72.15
0,Line Graph,Oceania,1987,72.25
0,Line Graph,Oceania,1988,72.53
0,Line Graph,Oceania,1989,72.63
0,Line Graph,Oceania,1990,73.58
0,Line Graph,Oceania,1991,73.67
0,Line Graph,Oceania,1992,73.67
0,Line Graph,Oceania,1993,74.05
0,Line Graph,Oceania,1994,74.14
0,Line Graph,Oceania,1995,74.24
0,Line Graph,Oceania,1996,74.33
0,Line Graph,Oceania,1997,74.62
0,Line Graph,Oceania,1998,74.71
0,Line Graph,Oceania,1999,75.09
0,Line Graph,Oceania,2000,75.38
0,Line Graph,Oceania,2001,75.47
0,Line Graph,Oceania,2002,75.47
0,Line Graph,Oceania,2003,75.85
0,Line Graph,Oceania,2004,76.13
0,Line Graph,Oceania,2005,76.32
0,Line Graph,Oceania,2006,76.51
0,Line Graph,Oceania,2007,76.61
0,Line Graph,Oceania,2008,76.8
0,Line Graph,Oceania,2009,76.99
0,Line Graph,Oceania,2010,77.36
0,Line Graph,Oceania,2011,77.46
0,Line Graph,Oceania,2012,77.74
0,Line Graph,Oceania,2013,78.03
0,Line Graph,Oceania,2016,78.12
0,Line Graph,Oceania,2017,78.12
0,Line Graph,Oceania,2019,79.07
0,Line Graph,Oceania,2020,78.88
0,Line Graph,Oceania,2021,78.5
1,Line Graph,Europe,1769,34.36
1,Line Graph,Europe,1770,34.36
1,Line Graph,Europe,1771,34.36
1,Line Graph,Europe,1772,34.36
1,Line Graph,Europe,1773,34.26
