layer_idx,layer_type,series,x,y
0,Line Graph,World,-3587,60795873
0,Line Graph,World,-3532,60795873
0,Line Graph,World,-3477,60795873
0,Line Graph,World,-3422,60795873
0,Line Graph,World,-3367,60795873
0,Line Graph,World,-3312,60795873
0,Line Graph,World,-3257,60795873
0,Line Graph,World,-3202,60795873
0,Line Graph,World,-3147,60795873
0,Line Graph,World,-3092,60795873
0,Line Graph,World,-3037,60795873
0,Line Graph,World,-2982,60795873
0,Line Graph,World,-2927,60795873
0,Line Graph,World,-2872,60795873
0,Line Graph,World,-2651,79218865
0,Line Graph,World,-2596,79218865
0,Line Graph,World,-2541,79218865
0,Line Graph,World,-2486,79218865
0,Line Graph,World,-2431,79218865
0,Line Graph,World,-2376,79218865
0,Line Graph,World,-2321,79218865
0,Line Graph,World,-2266,79218865
0,Line Graph,World,-2211,79218865
0,Line Graph,World,-2156,79218865
0,Line Graph,World,-2101,79218865
0,Line Graph,World,-2046,79218865
0,Line Graph,World,-1991,88430361
0,Line Graph,World,-1936,88430361
0,Line Graph,World,-1881,88430361
0,Line Graph,World,-1826,97641857
0,Line Graph,World,-1771,97641857
0,Line Graph,World,-1716,97641857
0,Line Graph,World,-1661,97641857
0,Line Graph,World,-1606,97641857
0,Line Graph,World,-1550,97641857
0,Line Graph,World,-1495,106853353
0,Line Graph,World,-1440,106853353
0,Line Graph,World,-1385,106853353
0,Line Graph,World,-1330,106853353
0,Line Graph,World,-1275,116064849
0,Line Graph,World,-1220,116064849
0,Line Graph,World,-1165,116064849
0,Line Graph,World,-1110,116064849
0,Line Graph,World,-1055,116064849
0,Line Graph,World,-1000,125276345
0,Line Graph,World,-945,125276345
0,Line Graph,World,-890,134487841
0,Line Graph,World,-835,143699337
0,Line Graph,World,-780,143699337
0,Line Graph,World,-725,152910833
0,Line Graph,World,-670,162122329
0,Line Graph,World,-615,162122329
0,Line Graph,World,-560,180545321
0,Line Graph,World,-505,180545321
0,Line Graph,World,-450,180545321
0,Line Graph,World,-394,198968312
0,Line Graph,World,-339,198968312
0,Line Graph,World,-284,208179808
0,Line Graph,World,-229,217391304
0,Line Graph,World,-174,217391304
0,Line Graph,World,-119,226602800
0,Line Graph,World,-64,235814296
0,Line Graph,World,-9,235814296
0,Line Graph,World,46,245025792
0,Line Graph,World,101,245025792
0,Line Graph,World,156,254237288
0,Line Graph,World,211,254237288
0,Line Graph,World,266,235814296
0,Line Graph,World,321,235814296
0,Line Graph,World,376,254237288
0,Line Graph,World,431,254237288
0,Line Graph,World,486,254237288
0,Line Graph,World,541,272660280
0,Line Graph,World,596,272660280
0,Line Graph,World,651,291083272
0,Line Graph,World,706,291083272
0,Line Graph,World,761,291083272
0,Line Graph,World,817,309506264
0,Line Graph,World,872,309506264
0,Line Graph,World,927,327929256
0,Line Graph,World,982,327929256
0,Line Graph,World,1037,364775239
0,Line Graph,World,1092,401621223
0,Line Graph,World,1147,438467207
0,Line Graph,World,1202,456890199
0,Line Graph,World,1257,456890199
0,Line Graph,World,1312,456890199
0,Line Graph,World,1367,456890199
0,Line Graph,World,1422,475313191
0,Line Graph,World,1477,502947679
0,Line Graph,World,1532,512159175
0,Line Graph,World,1587,530582167
0,Line Graph,World,1642,567428150
0,Line Graph,World,1697,622697126
0,Line Graph,World,1752,816138541
0,Line Graph,World,1807,1083271923
0,Line Graph,World,1862,1396462786
0,Line Graph,World,1917,2050478998
0,Line Graph,World,1972,4933677229
0,Line Graph,World,2023,8074797347
1,Line Graph,Asia,-3550,42372881
1,Line Graph,Asia,-3495,42372881
1,Line Graph,Asia,-3440,42372881
1,Line Graph,Asia,-3385,42372881
1,Line Graph,Asia,-3330,42372881
1,Line Graph,Asia,-3275,42372881
1,Line Graph,Asia,-3220,42372881
1,Line Graph,Asia,-3165,42372881
1,Line Graph,Asia,-3110,42372881
1,Line Graph,Asia,-3055,42372881
1,Line Graph,Asia,-3000,42372881
1,Line Graph,Asia,-2945,42372881
1,Line Graph,Asia,-2890,42372881
1,Line Graph,Asia,-2835,42372881
1,Line Graph,Asia,-2780,42372881
1,Line Graph,Asia,-2725,42372881
1,Line Graph,Asia,-2670,42372881
1,Line Graph,Asia,-2615,42372881
1,Line Graph,Asia,-2560,51584377
1,Line Graph,Asia,-2505,51584377
1,Line Graph,Asia,-2450,51584377
1,Line Graph,Asia,-2394,51584377
1,Line Graph,Asia,-2339,51584377
1,Line Graph,Asia,-2284,51584377
1,Line Graph,Asia,-2229,51584377
1,Line Graph,Asia,-2174,51584377
1,Line Graph,Asia,-2119,51584377
1,Line Graph,Asia,-2064,60795873
1,Line Graph,Asia,-2009,60795873
1,Line Graph,Asia,-1954,60795873
1,Line Graph,Asia,-1899,60795873
1,Line Graph,Asia,-1844,60795873
1,Line Graph,Asia,-1789,60795873
1,Line Graph,Asia,-1734,70007369
1,Line Graph,Asia,-1679,70007369
1,Line Graph,Asia,-1624,70007369
1,Line Graph,Asia,-1569,70007369
1,Line Graph,Asia,-1514,70007369
1,Line Graph,Asia,-1459,70007369
1,Line Graph,Asia,-1404,70007369
1,Line Graph,Asia,-1349,70007369
1,Line Graph,Asia,-1294,70007369
1,Line Graph,Asia,-1239,70007369
1,Line Graph,Asia,-1183,70007369
1,Line Graph,Asia,-1128,88430361
1,Line Graph,Asia,-1073,88430361
1,Line Graph,Asia,-1018,79218865
1,Line Graph,Asia,-963,88430361
1,Line Graph,Asia,-908,88430361
1,Line Graph,Asia,-853,88430361
1,Line Graph,Asia,-798,106853353
1,Line Graph,Asia,-743,106853353
1,Line Graph,Asia,-688,106853353
1,Line Graph,Asia,-633,116064849
1,Line Graph,Asia,-578,125276345
1,Line Graph,Asia,-523,125276345
1,Line Graph,Asia,-468,125276345
1,Line Graph,Asia,-413,143699337
1,Line Graph,Asia,-358,143699337
1,Line Graph,Asia,-303,143699337
1,Line Graph,Asia,-248,152910833
1,Line Graph,Asia,-193,162122329
1,Line Graph,Asia,-138,162122329
1,Line Graph,Asia,-83,162122329
1,Line Graph,Asia,-28,180545321
1,Line Graph,Asia,28,180545321
1,Line Graph,Asia,83,180545321
1,Line Graph,Asia,138,180545321
1,Line Graph,Asia,193,180545321
1,Line Graph,Asia,248,162122329
1,Line Graph,Asia,303,162122329
1,Line Graph,Asia,358,162122329
1,Line Graph,Asia,413,180545321
1,Line Graph,Asia,468,180545321
1,Line Graph,Asia,523,198968312
1,Line Graph,Asia,578,198968312
1,Line Graph,Asia,633,198968312
1,Line Graph,Asia,688,198968312
1,Line Graph,Asia,743,198968312
1,Line Graph,Asia,798,198968312
1,Line Graph,Asia,853,217391304
1,Line Graph,Asia,908,217391304
1,Line Graph,Asia,963,217391304
1,Line Graph,Asia,1018,235814296
1,Line Graph,Asia,1073,272660280
1,Line Graph,Asia,1128,291083272
1,Line Graph,Asia,1183,291083272
1,Line Graph,Asia,1239,291083272
1,Line Graph,Asia,1294,281871776
1,Line Graph,Asia,1349,281871776
1,Line Graph,Asia,1404,291083272
1,Line Graph,Asia,1459,309506264
1,Line Graph,Asia,1514,327929256
1,Line Graph,Asia,1569,327929256
1,Line Graph,Asia,1624,364775239
1,Line Graph,Asia,1679,383198231
1,Line Graph,Asia,1734,484524687
1,Line Graph,Asia,1789,677966102
1,Line Graph,Asia,1844,825350037
1,Line Graph,Asia,1899,1009579956
1,Line Graph,Asia,1954,1958364038
1,Line Graph,Asia,2023,4777081798
2,Line Graph,Africa,1275,60795873
2,Line Graph,Africa,1312,60795873
2,Line Graph,Africa,1532,60795873
2,Line Graph,Africa,1569,70007369
2,Line Graph,Africa,1606,79218865
2,Line Graph,Africa,1642,79218865
2,Line Graph,Africa,1679,88430361
2,Line Graph,Africa,1716,88430361
2,Line Graph,Africa,1752,88430361
2,Line Graph,Africa,1789,88430361
2,Line Graph,Africa,1826,106853353
2,Line Graph,Africa,1862,125276345
2,Line Graph,Africa,1954,438467207
2,Line Graph,Africa,1991,972733972
2,Line Graph,Africa,2009,1184598379
2,Line Graph,Africa,2023,1479366249
3,Line Graph,Europe,908,60795873
3,Line Graph,Europe,945,60795873
3,Line Graph,Europe,982,60795873
3,Line Graph,Europe,1018,60795873
3,Line Graph,Europe,1055,60795873
3,Line Graph,Europe,1092,60795873
3,Line Graph,Europe,1128,60795873
3,Line Graph,Europe,1165,70007369
3,Line Graph,Europe,1202,70007369
3,Line Graph,Europe,1239,88430361
3,Line Graph,Europe,1275,88430361
3,Line Graph,Europe,1312,88430361
3,Line Graph,Europe,1349,79218865
3,Line Graph,Europe,1385,79218865
3,Line Graph,Europe,1422,79218865
3,Line Graph,Europe,1459,88430361
3,Line Graph,Europe,1495,88430361
3,Line Graph,Europe,1532,88430361
3,Line Graph,Europe,1569,106853353
3,Line Graph,Europe,1606,106853353
3,Line Graph,Europe,1642,125276345
3,Line Graph,Europe,1679,125276345
3,Line Graph,Europe,1716,143699337
3,Line Graph,Europe,1752,171333825
3,Line Graph,Europe,1789,198968312
3,Line Graph,Europe,1826,254237288
3,Line Graph,Europe,1862,337140752
3,Line Graph,Europe,1899,438467207
3,Line Graph,Europe,1936,558216654
3,Line Graph,Europe,1972,687177598
3,Line Graph,Europe,2009,751658069
3,Line Graph,Europe,2023,760869565
4,Line Graph,North America,927,33161385
4,Line Graph,North America,963,33161385
4,Line Graph,North America,1000,33161385
4,Line Graph,North America,1037,33161385
4,Line Graph,North America,1073,33161385
4,Line Graph,North America,1110,33161385
4,Line Graph,North America,1147,33161385
4,Line Graph,North America,1183,33161385
4,Line Graph,North America,1220,33161385
4,Line Graph,North America,1257,33161385
4,Line Graph,North America,1294,33161385
4,Line Graph,North America,1330,33161385
4,Line Graph,North America,1367,33161385
4,Line Graph,North America,1404,33161385
4,Line Graph,North America,1440,33161385
4,Line Graph,North America,1477,33161385
4,Line Graph,North America,1514,33161385
4,Line Graph,North America,1807,33161385
4,Line Graph,North America,1844,51584377
4,Line Graph,North America,1881,97641857
4,Line Graph,North America,1917,171333825
4,Line Graph,North America,1954,291083272
4,Line Graph,North America,1991,493736183
4,Line Graph,North America,2009,558216654
4,Line Graph,North America,2023,613485630
5,Line Graph,South America,1881,42372881
5,Line Graph,South America,1917,79218865
5,Line Graph,South America,1954,162122329
5,Line Graph,South America,1991,318717760
5,Line Graph,South America,2009,401621223
5,Line Graph,South America,2023,429255711
6,Line Graph,Oceania,1954,33161385
6,Line Graph,Oceania,1991,33161385
6,Line Graph,Oceania,2009,51584377
6,Line Graph,Oceania,2023,60795873
