layer_idx,layer_type,series,x,y
0,Line Graph,Sweden,1985,95.57
0,Line Graph,Sweden,1986,95.83
0,Line Graph,Sweden,1987,96.35
0,Line Graph,Sweden,1988,96.61
0,Line Graph,Sweden,1989,97.4
0,Line Graph,Sweden,1990,97.4
0,Line Graph,Sweden,1991,96.35
0,Line Graph,Sweden,1992,95.57
0,Line Graph,Sweden,1993,95.05
0,Line Graph,Sweden,1994,94.27
0,Line Graph,Sweden,1995,94.53
0,Line Graph,Sweden,1996,91.41
0,Line Graph,Sweden,1997,95.05
0,Line Graph,Sweden,1998,95.31
0,Line Graph,Sweden,1999,95.57
0,Line Graph,Sweden,2000,96.48
0,Line Graph,Sweden,2001,96.09
0,Line Graph,Sweden,2002,94.66
0,Line Graph,Sweden,2003,93.23
0,Line Graph,Sweden,2004,95.83
0,Line Graph,Sweden,2005,96.74
0,Line Graph,Sweden,2006,96.35
0,Line Graph,Sweden,2007,96.88
0,Line Graph,Sweden,2008,96.88
0,Line Graph,Sweden,2009,96.48
0,Line Graph,Sweden,2010,94.27
0,Line Graph,Sweden,2011,95.96
0,Line Graph,Sweden,2012,97.4
0,Line Graph,Sweden,2013,97.4
0,Line Graph,Sweden,2014,97.92
0,Line Graph,Sweden,2015,97.92
0,Line Graph,Sweden,2016,97.66
0,Line Graph,Sweden,2017,97.66
0,Line Graph,Sweden,2018,97.66
0,Line Graph,Sweden,2019,97.92
0,Line Graph,Sweden,2020,98.31
0,Line Graph,Sweden,2021,98.18
0,Line Graph,Sweden,2022,98.18
0,Line Graph,Sweden,2023,98.44
0,Line Graph,Sweden,2024,98.7
0,Line Graph,Sweden,2025,98.7
0,Line Graph,France,1985,84.11
0,Line Graph,France,1986,87.76
0,Line Graph,France,1987,89.06
0,Line Graph,France,1988,89.84
0,Line Graph,France,1989,87.24
0,Line Graph,France,1990,88.28
0,Line Graph,France,1991,86.72
0,Line Graph,France,1992,88.8
0,Line Graph,France,1993,92.45
0,Line Graph,France,1994,92.71
0,Line Graph,France,1995,91.93
0,Line Graph,France,1996,91.93
0,Line Graph,France,1997,91.93
0,Line Graph,France,1998,89.32
0,Line Graph,France,1999,90.1
0,Line Graph,France,2000,90.63
0,Line Graph,France,2001,91.41
0,Line Graph,France,2002,90.36
0,Line Graph,France,2003,89.84
0,Line Graph,France,2004,89.84
0,Line Graph,France,2005,89.06
0,Line Graph,France,2006,89.84
0,Line Graph,France,2007,89.58
0,Line Graph,France,2008,90.1
0,Line Graph,France,2009,90.1
0,Line Graph,France,2010,89.58
0,Line Graph,France,2011,89.58
0,Line Graph,France,2012,89.84
0,Line Graph,France,2013,90.63
0,Line Graph,France,2014,93.23
0,Line Graph,France,2015,92.19
0,Line Graph,France,2016,89.84
0,Line Graph,France,2017,88.28
0,Line Graph,France,2018,91.15
0,Line Graph,France,2019,90.36
0,Line Graph,France,2020,90.63
0,Line Graph,France,2021,90.89
0,Line Graph,France,2022,87.5
0,Line Graph,France,2023,91.67
0,Line Graph,France,2024,94.79
0,Line Graph,France,2025,94.79
0,Line Graph,Germany,1985,21.61
0,Line Graph,Germany,1986,29.17
0,Line Graph,Germany,1987,30.6
0,Line Graph,Germany,1988,32.29
0,Line Graph,Germany,1989,32.29
0,Line Graph,Germany,1990,31.25
0,Line Graph,Germany,1991,30.99
0,Line Graph,Germany,1992,33.33
0,Line Graph,Germany,1993,33.33
0,Line Graph,Germany,1994,33.33
0,Line Graph,Germany,1995,33.59
0,Line Graph,Germany,1996,33.98
0,Line Graph,Germany,1997,34.9
0,Line Graph,Germany,1998,34.11
0,Line Graph,Germany,1999,35.94
0,Line Graph,Germany,2000,35.94
0,Line Graph,Germany,2001,35.94
0,Line Graph,Germany,2002,35.68
0,Line Graph,Germany,2003,35.16
0,Line Graph,Germany,2004,36.72
0,Line Graph,Germany,2005,36.72
0,Line Graph,Germany,2006,37.76
0,Line Graph,Germany,2007,36.46
0,Line Graph,Germany,2008,38.15
0,Line Graph,Germany,2009,39.06
0,Line Graph,Germany,2010,39.06
0,Line Graph,Germany,2011,38.41
0,Line Graph,Germany,2012,39.06
0,Line Graph,Germany,2013,39.32
0,Line Graph,Germany,2014,41.67
0,Line Graph,Germany,2015,43.75
0,Line Graph,Germany,2016,42.71
0,Line Graph,Germany,2017,45.31
0,Line Graph,Germany,2018,47.4
0,Line Graph,Germany,2019,52.6
0,Line Graph,Germany,2020,55.47
0,Line Graph,Germany,2021,52.6
0,Line Graph,Germany,2022,50.91
0,Line Graph,Germany,2023,55.99
