layer_idx,layer_type,series,x,y
0,Scatter Plot,Series A,1.517,2.772
0,Scatter Plot,Series A,1.797,4.48
0,Scatter Plot,Series A,2.381,4.394
0,Scatter Plot,Series A,2.399,3.752
0,Scatter Plot,Series A,3.122,3.482
0,Scatter Plot,Series A,3.474,4.969
0,Scatter Plot,Series A,4.444,4.935
0,Scatter Plot,Series A,5.115,6.186
0,Scatter Plot,Series A,5.432,6.22
0,Scatter Plot,Series A,5.75,6.997
0,Scatter Plot,Series A,6.561,7.166
0,Scatter Plot,Series A,6.72,7.707
0,Scatter Plot,Series A,7.601,8.417
0,Scatter Plot,Series A,7.813,8.721
0,Scatter Plot,Series A,9.171,9.025
1,Scatter Plot,Series B,1.429,4.834
1,Scatter Plot,Series B,1.834,4.969
1,Scatter Plot,Series B,1.834,4.225
1,Scatter Plot,Series B,2.769,4.124
1,Scatter Plot,Series B,3.545,5.645
1,Scatter Plot,Series B,3.933,4.496
1,Scatter Plot,Series B,4.233,5.341
1,Scatter Plot,Series B,5.009,5.577
1,Scatter Plot,Series B,5.935,5.07
1,Scatter Plot,Series B,7.178,6.963
1,Scatter Plot,Series B,9.171,7.47
1,Scatter Plot,Series B,9.665,7.876
2,Scatter Plot,Series C,2.35,5.874
2,Scatter Plot,Series C,2.469,5.746
2,Scatter Plot,Series C,2.628,6.254
2,Scatter Plot,Series C,2.963,4.935
2,Scatter Plot,Series C,3.633,4.699
2,Scatter Plot,Series C,6.455,4.394
2,Scatter Plot,Series C,7.125,5.07
2,Scatter Plot,Series C,7.178,4.361
2,Scatter Plot,Series C,7.831,4.14
2,Scatter Plot,Series C,8.166,4.462
