layer_idx,layer_type,series,x,y,y_lo,y_hi
0,Bar Chart,Baseline,-0.25,41.93,39.13,44.72
0,Bar Chart,Baseline,0.75,44.72,41.93,47.83
0,Bar Chart,Baseline,1.75,48.76,45.65,52.17
0,Bar Chart,Baseline,2.75,50.93,47.52,54.35
0,Bar Chart,Baseline,3.75,53.73,50.0,57.76
1,Bar Chart,Tuned,0.0,57.76,53.73,61.49
1,Bar Chart,Tuned,1.0,62.73,58.39,66.77
1,Bar Chart,Tuned,2.0,66.77,62.11,71.12
1,Bar Chart,Tuned,3.0,69.88,64.91,74.22
1,Bar Chart,Tuned,4.0,73.91,68.63,78.57
2,Bar Chart,Tuned+JIT,0.25,70.81,65.53,75.16
2,Bar Chart,Tuned+JIT,1.25,77.95,72.36,82.3
2,Bar Chart,Tuned+JIT,2.25,81.68,76.09,86.65
2,Bar Chart,Tuned+JIT,3.25,84.78,78.88,90.06
2,Bar Chart,Tuned+JIT,4.25,88.82,82.61,94.1
