layer_idx,layer_type,series,x,y
0,Line Graph,Exponential,0.5354,77.6499
0,Line Graph,Exponential,0.7081,69.9955
0,Line Graph,Exponential,0.8808,64.7541
0,Line Graph,Exponential,1.0535,59.9052
0,Line Graph,Exponential,1.2263,54.7051
0,Line Graph,Exponential,1.399,49.9564
0,Line Graph,Exponential,1.5717,46.2156
0,Line Graph,Exponential,1.7444,42.2039
0,Line Graph,Exponential,1.9171,38.5403
0,Line Graph,Exponential,2.0898,35.6544
0,Line Graph,Exponential,2.2625,32.5594
0,Line Graph,Exponential,2.4352,29.733
0,Line Graph,Exponential,2.6079,27.5066
0,Line Graph,Exponential,2.7807,25.1189
0,Line Graph,Exponential,2.9534,22.9384
0,Line Graph,Exponential,3.1261,21.2207
0,Line Graph,Exponential,3.2988,19.3787
0,Line Graph,Exponential,3.4715,17.6965
0,Line Graph,Exponential,3.6442,16.3714
0,Line Graph,Exponential,3.8169,15.1454
0,Line Graph,Exponential,3.9896,13.6525
0,Line Graph,Exponential,4.1623,12.6301
0,Line Graph,Exponential,4.3351,11.6844
0,Line Graph,Exponential,4.5078,10.5326
0,Line Graph,Exponential,4.6805,9.7439
0,Line Graph,Exponential,4.8532,9.0142
0,Line Graph,Exponential,5.0259,8.1257
0,Line Graph,Exponential,5.1986,7.5172
0,Line Graph,Exponential,5.3713,6.9543
0,Line Graph,Exponential,5.544,6.2688
0,Line Graph,Exponential,5.7168,5.7994
0,Line Graph,Exponential,5.8895,5.3651
0,Line Graph,Exponential,6.0622,4.8362
0,Line Graph,Exponential,6.2349,4.4741
0,Line Graph,Exponential,6.4076,4.1391
0,Line Graph,Exponential,6.5803,3.731
0,Line Graph,Exponential,6.753,3.4517
0,Line Graph,Exponential,6.9257,3.1932
0,Line Graph,Exponential,7.0984,2.8784
0,Line Graph,Exponential,7.2712,2.6629
0,Line Graph,Exponential,7.4439,2.4635
0,Line Graph,Exponential,7.6166,2.2206
0,Line Graph,Exponential,7.7893,2.0544
0,Line Graph,Exponential,7.962,1.9005
0,Line Graph,Exponential,8.1347,1.7355
0,Line Graph,Exponential,8.3074,1.5849
0,Line Graph,Exponential,8.4801,1.4662
0,Line Graph,Exponential,8.6528,1.3389
0,Line Graph,Exponential,8.8256,1.2227
0,Line Graph,Exponential,8.9983,1.1312
0,Line Graph,Exponential,9.171,1.033
0,Line Graph,Exponential,9.3437,0.9433
0,Line Graph,Exponential,9.5164,0.8727
0,Line Graph,Exponential,9.6891,0.7969
0,Line Graph,Exponential,9.8618,0.7277
1,Line Graph,Power law,0.8808,610.8232
1,Line Graph,Power law,1.0535,459.1682
1,Line Graph,Power law,1.2263,363.5494
1,Line Graph,Power law,1.399,295.4082
1,Line Graph,Power law,1.5717,243.1731
1,Line Graph,Power law,1.7444,205.4358
1,Line Graph,Power law,2.2625,137.4131
1,Line Graph,Power law,2.4352,120.6952
1,Line Graph,Power law,2.6079,108.7977
1,Line Graph,Power law,2.7807,98.073
1,Line Graph,Power law,3.2988,74.686
1,Line Graph,Power law,3.4715,68.2029
1,Line Graph,Power law,3.6442,63.0957
1,Line Graph,Power law,3.9896,55.4194
1,Line Graph,Power law,4.1623,51.2695
1,Line Graph,Power law,4.3351,48.677
1,Line Graph,Power law,4.8532,40.593
1,Line Graph,Power law,5.0259,38.5403
1,Line Graph,Power law,5.1986,35.6544
1,Line Graph,Power law,5.544,32.5594
1,Line Graph,Power law,5.7168,31.3166
1,Line Graph,Power law,5.8895,29.733
1,Line Graph,Power law,6.4076,26.1157
1,Line Graph,Power law,6.5803,24.7951
1,Line Graph,Power law,7.0984,21.7785
1,Line Graph,Power law,7.2712,21.2207
1,Line Graph,Power law,7.4439,20.1477
1,Line Graph,Power law,7.7893,19.1289
1,Line Graph,Power law,7.962,18.1616
1,Line Graph,Power law,8.1347,17.6965
1,Line Graph,Power law,8.4801,16.3714
1,Line Graph,Power law,8.6528,15.9521
1,Line Graph,Power law,8.8256,15.5435
1,Line Graph,Power law,9.171,14.7575
1,Line Graph,Power law,9.3437,14.0113
1,Line Graph,Power law,9.5164,13.6525
1,Line Graph,Power law,9.8618,13.1314
