layer_idx,layer_type,series,x,y
0,Line Graph,Drive current (A),0.023,0.4194
0,Line Graph,Drive current (A),0.419,0.4412
0,Line Graph,Drive current (A),0.852,0.4665
0,Line Graph,Drive current (A),1.297,0.5069
0,Line Graph,Drive current (A),1.742,0.5199
0,Line Graph,Drive current (A),2.176,0.557
0,Line Graph,Drive current (A),2.611,0.5553
0,Line Graph,Drive current (A),3.047,0.5831
0,Line Graph,Drive current (A),3.485,0.5909
0,Line Graph,Drive current (A),3.923,0.6391
0,Line Graph,Drive current (A),4.352,0.6953
0,Line Graph,Drive current (A),4.79,0.6948
0,Line Graph,Drive current (A),5.221,0.7274
0,Line Graph,Drive current (A),5.653,0.7121
0,Line Graph,Drive current (A),6.098,0.7607
0,Line Graph,Drive current (A),6.539,0.7937
0,Line Graph,Drive current (A),6.961,0.8414
0,Line Graph,Drive current (A),7.398,0.8426
0,Line Graph,Drive current (A),7.84,0.8645
0,Line Graph,Drive current (A),8.281,0.9002
0,Line Graph,Drive current (A),8.71,0.9478
0,Line Graph,Drive current (A),9.132,0.9355
0,Line Graph,Drive current (A),9.584,0.9636
0,Line Graph,Drive current (A),9.982,1.0043
1,Line Graph,Cell voltage (V),0.023,12.1634
1,Line Graph,Cell voltage (V),0.419,11.8338
1,Line Graph,Cell voltage (V),0.852,11.3927
1,Line Graph,Cell voltage (V),1.297,11.4975
1,Line Graph,Cell voltage (V),1.742,11.5127
1,Line Graph,Cell voltage (V),2.176,11.1256
1,Line Graph,Cell voltage (V),2.611,10.862
1,Line Graph,Cell voltage (V),3.047,10.8704
1,Line Graph,Cell voltage (V),3.485,10.7825
1,Line Graph,Cell voltage (V),3.923,10.2451
1,Line Graph,Cell voltage (V),4.352,10.1386
1,Line Graph,Cell voltage (V),4.79,10.3549
1,Line Graph,Cell voltage (V),5.221,10.0811
1,Line Graph,Cell voltage (V),5.653,9.8394
1,Line Graph,Cell voltage (V),6.098,9.329
1,Line Graph,Cell voltage (V),6.539,9.4423
1,Line Graph,Cell voltage (V),6.961,9.1245
1,Line Graph,Cell voltage (V),7.398,9.3037
1,Line Graph,Cell voltage (V),7.84,8.7865
1,Line Graph,Cell voltage (V),8.281,8.8963
1,Line Graph,Cell voltage (V),8.71,8.4535
1,Line Graph,Cell voltage (V),9.132,8.3251
1,Line Graph,Cell voltage (V),9.584,8.2017
1,Line Graph,Cell voltage (V),9.982,8.0986
