layer_idx,layer_type,series,x,y
0,Line Graph,Series A (rising),0.0,1.535
0,Line Graph,Series A (rising),0.25,1.535
0,Line Graph,Series A (rising),0.501,1.676
0,Line Graph,Series A (rising),0.751,1.761
0,Line Graph,Series A (rising),1.002,1.873
0,Line Graph,Series A (rising),1.252,1.958
0,Line Graph,Series A (rising),1.503,2.07
0,Line Graph,Series A (rising),1.753,2.183
0,Line Graph,Series A (rising),2.003,2.296
0,Line Graph,Series A (rising),2.254,2.408
0,Line Graph,Series A (rising),2.504,2.521
0,Line Graph,Series A (rising),2.755,2.662
0,Line Graph,Series A (rising),3.005,2.775
0,Line Graph,Series A (rising),3.255,2.915
0,Line Graph,Series A (rising),3.506,3.056
0,Line Graph,Series A (rising),3.756,3.225
0,Line Graph,Series A (rising),4.007,3.366
0,Line Graph,Series A (rising),4.257,3.535
0,Line Graph,Series A (rising),4.508,3.676
0,Line Graph,Series A (rising),4.758,3.845
0,Line Graph,Series A (rising),5.008,4.028
0,Line Graph,Series A (rising),5.259,4.211
0,Line Graph,Series A (rising),5.509,4.38
0,Line Graph,Series A (rising),5.76,4.577
0,Line Graph,Series A (rising),6.01,4.775
0,Line Graph,Series A (rising),6.26,4.974
0,Line Graph,Series A (rising),6.511,5.169
0,Line Graph,Series A (rising),6.761,5.366
0,Line Graph,Series A (rising),7.012,5.592
0,Line Graph,Series A (rising),7.262,5.817
0,Line Graph,Series A (rising),7.513,6.028
0,Line Graph,Series A (rising),7.763,6.268
0,Line Graph,Series A (rising),8.013,6.493
0,Line Graph,Series A (rising),8.264,6.732
0,Line Graph,Series A (rising),8.514,6.972
0,Line Graph,Series A (rising),8.765,7.225
0,Line Graph,Series A (rising),9.015,7.479
0,Line Graph,Series A (rising),9.265,7.732
0,Line Graph,Series A (rising),9.516,7.986
0,Line Graph,Series A (rising),9.766,8.268
0,Line Graph,Series A (rising),10.0,8.521
1,Line Graph,Series B (falling),0.0,8.014
1,Line Graph,Series B (falling),0.25,8.014
1,Line Graph,Series B (falling),0.501,7.761
1,Line Graph,Series B (falling),0.751,7.62
1,Line Graph,Series B (falling),1.002,7.507
1,Line Graph,Series B (falling),1.252,7.366
1,Line Graph,Series B (falling),1.503,7.254
1,Line Graph,Series B (falling),1.753,7.141
1,Line Graph,Series B (falling),2.003,7.0
1,Line Graph,Series B (falling),2.254,6.887
1,Line Graph,Series B (falling),2.504,6.746
1,Line Graph,Series B (falling),2.755,6.634
1,Line Graph,Series B (falling),3.005,6.493
1,Line Graph,Series B (falling),3.255,6.38
1,Line Graph,Series B (falling),3.506,6.254
1,Line Graph,Series B (falling),3.756,6.127
1,Line Graph,Series B (falling),4.007,6.014
1,Line Graph,Series B (falling),4.257,5.873
1,Line Graph,Series B (falling),4.508,5.761
1,Line Graph,Series B (falling),4.758,5.62
1,Line Graph,Series B (falling),5.008,5.507
1,Line Graph,Series B (falling),5.259,5.366
1,Line Graph,Series B (falling),5.509,5.254
1,Line Graph,Series B (falling),5.76,5.141
1,Line Graph,Series B (falling),6.01,5.0
1,Line Graph,Series B (falling),6.26,4.895
1,Line Graph,Series B (falling),6.511,4.746
1,Line Graph,Series B (falling),6.761,4.634
1,Line Graph,Series B (falling),7.012,4.493
1,Line Graph,Series B (falling),7.262,4.38
1,Line Graph,Series B (falling),7.513,4.268
1,Line Graph,Series B (falling),7.763,4.127
1,Line Graph,Series B (falling),8.013,4.014
1,Line Graph,Series B (falling),8.264,3.873
1,Line Graph,Series B (falling),8.514,3.761
1,Line Graph,Series B (falling),8.765,3.62
1,Line Graph,Series B (falling),9.015,3.507
1,Line Graph,Series B (falling),9.265,3.366
1,Line Graph,Series B (falling),9.516,3.254
1,Line Graph,Series B (falling),9.766,3.141
1,Line Graph,Series B (falling),10.0,3.0
