series,x,y
24C,0.00016852631578948007,6.33160152631579
24C,0.004692888888888885,6.144394333333334
24C,0.07462103797468354,7.119505556962025
24C,0.08336018181818182,6.994122818181818
24C,0.1856005925925926,7.878554333333334
24C,0.1886564,7.670237
24C,0.198146,8.879241
24C,0.22292440000000002,9.399489000000003
24C,0.24090777777777778,9.781767666666667
24C,0.2589058,10.165137000000001
24C,0.3084186666666667,8.5824706
24C,0.3084814285714286,9.261363857142857
24C,0.3131048888888889,8.402074333333335
24C,0.31329127272727275,9.082253727272729
24C,0.3214522222222222,11.592274333333332
24C,0.333241,9.909921
24C,0.33801875,9.732006000000002
24C,0.35811605333333335,15.560337800000001
27C,0.01,18.52
27C,0.016,18.52
27C,0.081,19.26
27C,0.087,19.26
27C,0.257,19.83
27C,0.26,20.06
27C,0.263,19.82
27C,0.362,20.51
27C,0.367,20.33
27C,0.368,20.59
27C,0.468,20.98
27C,0.474,20.98
27C,0.596,22.23
27C,0.635,23.18
27C,0.636,23.41
27C,0.656,23.56
27C,0.657,23.93
27C,0.662,23.52
27C,0.662,23.89
30C,0.003,7.38
30C,0.011,8.51
30C,0.074,9.54
30C,0.232,10.5
30C,0.326,11.38
30C,0.421,12.2
30C,0.516,12.98
30C,0.527,13.78
30C,0.537,15.28
30C,0.537,14.54
30C,0.547,15.98
30C,0.569,16.71
30C,0.589,18.11
30C,0.589,17.4
30C,0.611,19.5
30C,0.611,20.85
30C,0.611,18.79
30C,0.611,20.18
30C,0.621,21.53
30C,0.621,22.2
