series,x,y,area,density
27C,14.35,0.9699,135,0.94
27C,15.4,0.9706,109,0.91
27C,16.33,0.9719,56,0.89
27C,17.35,0.9716,111,0.71
27C,18.4,0.9724,70,0.88
27C,19.4,0.9722,78,0.65
27C,20.36,0.972,77,0.88
27C,21.41,0.9722,66,0.92
27C,22.32,0.9726,111,0.85
27C,23.36,0.9724,98,0.89
27C,24.37,0.9725,115,0.95
27C,25.37,0.9725,132,0.85
27C,26.37,0.9729,102,0.85
27C,27.37,0.9734,111,0.78
27C,28.35,0.9733,107,0.69
27C,29.32,0.9734,88,0.62
27C,30.41,0.9737,110,0.56
27C,31.29,0.9735,97,0.58
27C,32.39,0.9734,126,0.64
27C,33.4,0.9738,81,0.74
27C,34.28,0.9738,69,0.77
27C,35.29,0.9739,82,0.62
27C,36.34,0.974,84,0.69
27C,37.35,0.9741,120,0.83
27C,38.35,0.9741,116,0.88
