series,x,y
p_curve_p curve for 24°C,1.9711,0.942013
p_curve_p curve for 24°C,2.1407,0.942789
p_curve_p curve for 24°C,2.3103,0.944147
p_curve_p curve for 24°C,2.48,0.944341
p_curve_p curve for 24°C,2.6496,0.945117
p_curve_p curve for 24°C,2.8193,0.945311
p_curve_p curve for 24°C,2.9889,0.94599
p_curve_p curve for 24°C,3.1586,0.946766
p_curve_p curve for 24°C,3.3282,0.947542
p_curve_p curve for 24°C,3.4978,0.948318
p_curve_p curve for 24°C,3.6675,0.948415
p_curve_p curve for 24°C,3.8371,0.949191
p_curve_p curve for 24°C,4.0068,0.950161
p_curve_p curve for 24°C,4.1764,0.950452
p_curve_p curve for 24°C,4.346,0.950937
p_curve_p curve for 24°C,4.5157,0.951519
p_curve_p curve for 24°C,4.6853,0.951713
p_curve_p curve for 24°C,4.855,0.951907
p_curve_p curve for 24°C,5.0246,0.952392
p_curve_p curve for 24°C,5.1942,0.952974
p_curve_p curve for 24°C,5.3639,0.953168
p_curve_p curve for 24°C,5.5335,0.95375
p_curve_p curve for 24°C,5.7032,0.953847
p_curve_p curve for 24°C,5.8728,0.954429
p_curve_p curve for 24°C,6.0425,0.954623
p_curve_p curve for 24°C,6.2121,0.954817
p_curve_p curve for 24°C,6.3817,0.955302
p_curve_p curve for 24°C,6.5514,0.955399
p_curve_p curve for 24°C,6.721,0.955787
p_curve_p curve for 24°C,6.8907,0.955981
p_curve_p curve for 24°C,7.0603,0.956369
p_curve_p curve for 24°C,7.2299,0.956563
p_curve_p curve for 24°C,7.3996,0.95666
p_curve_p curve for 24°C,7.5692,0.957145
p_curve_p curve for 24°C,7.7389,0.957242
p_curve_p curve for 24°C,7.9085,0.957727
p_curve_p curve for 24°C,8.0781,0.957921
p_curve_p curve for 24°C,8.2478,0.958018
p_curve_p curve for 24°C,8.4174,0.958309
p_curve_p curve for 24°C,8.5871,0.958503
p_curve_p curve for 24°C,8.7567,0.958794
p_curve_p curve for 24°C,8.9263,0.958988
p_curve_p curve for 24°C,9.096,0.959085
p_curve_p curve for 24°C,9.2656,0.959376
p_curve_p curve for 24°C,9.4353,0.959473
p_curve_p curve for 24°C,9.6049,0.959861
p_curve_p curve for 24°C,9.7746,0.959958
p_curve_p curve for 24°C,9.9442,0.960152
p_curve_p curve for 24°C,10.1138,0.960346
p_curve_p curve for 24°C,10.2835,0.960443
p_curve_p curve for 24°C,10.4531,0.960734
p_curve_p curve for 24°C,10.6228,0.960831
p_curve_p curve for 24°C,10.7924,0.961122
p_curve_p curve for 24°C,10.962,0.961219
p_curve_p curve for 24°C,11.1317,0.961316
p_curve_p curve for 24°C,11.3013,0.961607
p_curve_p curve for 24°C,11.471,0.961704
p_curve_p curve for 24°C,11.6406,0.961704
p_curve_p curve for 24°C,12.1495,0.962383
p_curve_p curve for 24°C,12.3192,0.96248
p_curve_p curve for 24°C,12.4888,0.962674
p_curve_p curve for 24°C,12.6585,0.962771
p_curve_p curve for 24°C,12.8281,0.962965
p_curve_p curve for 24°C,12.9977,0.963062
p_curve_p curve for 24°C,13.1674,0.963159
p_curve_p curve for 24°C,13.337,0.96345
p_curve_p curve for 24°C,13.5067,0.963547
p_curve_p curve for 24°C,13.6763,0.963644
p_curve_p curve for 24°C,13.8459,0.963838
p_curve_p curve for 24°C,14.0156,0.963935
p_curve_p curve for 24°C,14.1852,0.964032
p_curve_p curve for 24°C,14.3549,0.964226
p_curve_p curve for 24°C,14.5245,0.964323
p_curve_p curve for 24°C,14.6941,0.96442
p_curve_p curve for 24°C,14.9203,0.964614
p_curve_p curve for 24°C,15.09,0.964711
p_curve_p curve for 24°C,15.2596,0.964808
p_curve_p curve for 24°C,15.4293,0.965002
p_curve_p curve for 24°C,15.5989,0.965099
p_curve_p curve for 24°C,15.7685,0.965293
p_curve_p curve for 24°C,15.9382,0.96539
p_curve_p curve for 24°C,16.1078,0.965487
p_curve_p curve for 24°C,16.2775,0.965584
p_curve_p curve for 24°C,16.5036,0.965681
p_curve_p curve for 24°C,16.6733,0.965778
p_curve_p curve for 24°C,16.8429,0.965972
p_curve_p curve for 24°C,17.0126,0.966069
p_curve_p curve for 24°C,17.1822,0.966166
p_curve_p curve for 24°C,17.4084,0.96636
p_curve_p curve for 24°C,17.578,0.96636
p_curve_p curve for 24°C,17.7477,0.966457
p_curve_p curve for 24°C,17.9173,0.966651
p_curve_p curve for 24°C,18.087,0.966748
p_curve_p curve for 24°C,18.2566,0.966845
