year,Ghana,India,Brazil,United States,United Kingdom,France,Sweden
1751,,,,,,,33.642
1752,,,,,,,32.279
1753,,,,,,,31.370
1754,,,,,,,33.131
1755,,,,,,,34.096
1756,,,,,,,34.266
1757,,,,,,,34.437
1758,,,,,,,31.597
1759,,,,,,,27.679
1760,,,,,,,28.985
1761,,,,,,,35.459
1762,,,,,,,38.469
1763,,,,,,,37.219
1764,,,,,,,31.654
1765,,,,,,,31.427
1766,,,,,,,30.405
1767,,,,,,,31.938
1768,,,,,,,32.818
1769,,,,,,,33.698
1770,,,,,,,32.392
1771,,,,,,,34.266
1772,,,,,,,40.059
1773,,,,,,,38.355
1774,,,,,,,29.780
1775,,,,,,,27.792
1776,,,,,,,27.168
1777,,,,,,,33.131
1778,,,,,,,36.879
1779,,,,,,,36.538
1780,,,,,,,27.849
1781,,,,,,,30.007
1782,,,,,,,32.222
1783,,,,,,,35.573
1784,,,,,,,36.140
1785,,,,,,,32.563
1786,,,,,,,27.735
1787,,,,,,,29.212
1788,,,,,,,32.903
1789,,,,,,,33.471
1790,,,,,,,31.484
1791,,,,,,,29.155
1792,,,,,,,29.723
1793,,,,,,,28.871
1794,,,,,,,29.212
1795,,,,,,,31.370
1796,,,,,,,30.632
1797,,,,,,,28.871
1798,,,,,,,27.849
1799,,,,,,,31.200
1800,,,,,,,35.516
1801,,,,,,,31.484
1802,,,,,,,27.849
1803,,,,,,,27.338
1804,,,,,,,26.997
1805,,,,,,,29.212
1806,,,,,,,31.881
1807,,,,,,,30.916
1808,,,,,,,35.289
1809,,,,,,,35.573
1810,,,,,,,33.869
1811,,,,,,,31.768
1812,,,,,,,30.859
1813,,,,,,,30.064
1814,,,,,,,28.871
1815,,,,,,,27.395
1816,,,,,,27.934,27.395
1817,,,,,,28.587,27.395
1818,,,,,,30.177,28.076
1819,,,,,,30.348,28.360
1820,,,,,,30.377,28.303
1821,,,,,,30.405,28.417
1822,,,,,,29.723,22.908
1823,,,,,,29.439,21.943
1824,,,,,,30.461,22.454
1825,,,,,,30.405,23.363
1826,,,,,,29.837,23.760
1827,,,,,,29.723,25.237
1828,,,,,,30.632,28.758
1829,,,,,,29.453,27.735
1830,,,,,,28.275,26.145
1831,,,,,,29.098,26.429
1832,,,,,,29.326,25.066
1833,,,,,,29.723,24.612
1834,,,,,,31.143,22.965
1835,,,,,,27.224,20.807
1836,,,,,,26.145,25.066
1837,,,,,,28.190,27.111
1838,,,,,,27.622,25.251
1839,,,,,,26.486,23.391
1840,,,,,25.180,26.088,22.113
1841,,,,,25.407,26.486,22.851
1842,,,,,25.861,26.827,23.760
1843,,,,,25.805,26.259,22.908
1844,,,,,25.577,24.669,22.227
1845,,,,,26.259,24.101,23.022
1846,,,,,28.076,25.351,25.521
1847,,,,,27.906,26.600,23.930
1848,,,,,27.849,27.508,21.829
1849,,,,,26.088,26.571,22.113
1850,,,,,25.237,24.186,22.284
1851,,,,,26.259,25.109,23.533
1852,,,,,26.543,26.032,25.237
1853,,,,,26.827,27.366,24.782
1854,,,,,27.168,28.814,22.170
1855,,,,,25.634,27.565,23.135
1856,,,,,25.407,28.559,27.735
1857,,,,,26.770,29.553,29.411
1858,,,,,27.622,30.547,24.243
1859,,,,,26.259,30.689,21.829
1860,,,,,25.066,27.111,20.353
1861,,,,,25.577,27.679,23.646
1862,,,,,25.918,26.884,24.811
1863,,,,,27.508,27.282,23.533
1864,,,,,26.997,27.679,23.419
1865,,,,,26.713,27.451,22.681
1866,,,,,26.145,27.309,21.772
1867,,,,,25.350,27.168,21.545
1868,,,,,26.259,28.247,25.577
1869,,,,,26.316,27.792,25.748
1870,,,,,26.316,31.824,20.466
1871,,,,,25.407,32.108,18.479
1872,,,,,23.874,26.316,19.103
1873,,,,,23.987,25.918,20.580
1874,,,,,25.123,,23.022
1875,,,,,24.726,,23.249
1876,,,,,23.646,,22.936
1877,,,,,23.419,,22.624
1878,,,,,24.442,,22.113
1879,,,,,23.646,25.407,19.898
1880,,,,,24.101,25.407,20.125
1881,,,,,22.000,24.498,19.955
1882,,,,,22.795,24.782,20.353
1883,,,,,22.624,25.350,19.387
1884,,,,,22.795,25.293,19.274
1885,,,,,22.227,24.498,19.274
1886,,,,,22.851,24.669,17.911
1887,,,,,22.397,24.214,17.059
1888,,,,,21.772,23.646,16.093
1889,,,,,22.795,23.476,16.491
