Year,United States,Canada,China,South Africa,European Union (27),World,United Kingdom,India,Kenya
1750,,,,,,,0.933,,
1751,,,,,,,0.933,,
1752,,,,,,,0.995,,
1753,,,,,,,0.995,,
1754,,,,,,,0.995,,
1755,,,,,,,0.995,,
1756,,,,,,,0.995,,
1757,,,,,,,0.995,,
1758,,,,,,,0.995,,
1759,,,,,,,0.995,,
1760,,,,,,,0.995,,
1761,,,,,,,1.057,,
1762,,,,,,,1.057,,
1763,,,,,,,1.057,,
1764,,,,,,,1.119,,
1765,,,,,,,1.119,,
1766,,,,,,,1.119,,
1767,,,,,,,1.182,,
1768,,,,,,,1.182,,
1769,,,,,,,1.182,,
1770,,,,,,,1.244,,
1771,,,,,,,1.244,,
1772,,,,,,,1.244,,
1773,,,,,,,1.275,,
1774,,,,,,,1.306,,
1775,,,,,,,1.306,,
1776,,,,,,,1.306,,
1777,,,,,,,1.368,,
1778,,,,,,,1.368,,
1779,,,,,,,1.368,,
1780,,,,,,,1.430,,
1781,,,,,,,1.430,,
1782,,,,,,,1.493,,
1783,,,,,,,1.493,,
1784,,,,,,,1.555,,
1785,,,,,,,1.555,,
1786,,,,,,,1.617,,
1787,,,,,,,1.617,,
1788,,,,,,,1.679,,
1789,,,,,,,1.679,,
1790,,,,,,,1.741,,
1791,,,,,,,1.866,,
1792,,,,,,,1.928,,
1793,,,,,,,2.114,,
1794,,,,,,,2.177,,
1795,,,,,,0.000,2.301,,
1796,,,,,,0.000,2.425,,
1797,,,,,,0.000,2.550,,
1798,,,,,,0.000,2.612,,
1799,,,,,,0.000,2.799,,
1800,,,,,,0.000,2.799,,
1801,,,,,,0.000,2.799,,
1802,,,,,,0.000,2.674,,
1803,,,,,,0.000,2.488,,
1804,,,,,,0.000,2.488,,
1805,,,,,,0.000,2.550,,
1806,,,,,,0.000,2.674,,
1807,,,,,,0.000,2.799,,
1808,,,,,,0.000,2.861,,
1809,,,,,,0.000,2.861,,
1810,,,,,,0.000,2.799,,
1811,,,,,,0.000,2.736,,
1812,,,,,,0.000,2.674,,
1813,,,,,,0.000,2.550,,
1814,,,,,,0.000,2.488,,
1815,,,,,,0.000,2.394,,
1816,,,,,,0.000,2.301,,
1817,,,,,,0.000,2.301,,
1818,,,,,,0.000,2.223,,
1819,,,,,,0.000,2.114,,
1820,,,,,,0.000,1.990,,
1821,,,,,,0.000,1.990,,
1822,,,,,,0.000,2.052,,
1823,,,,,,0.000,2.052,,
1824,,,,,,0.000,2.114,,
1825,,,,,,0.000,2.114,,
1826,,,,,,0.000,2.114,,
1827,,,,,,0.000,2.177,,
1828,,,,,,0.000,2.177,,
1829,,,,,,0.000,2.239,,
1830,0.124,,,,,0.000,2.674,,
1831,0.124,,,,,0.000,2.581,,
1832,0.187,,,,,0.000,2.488,,
1833,0.187,,,,,0.000,2.488,,
1834,0.187,,,,,0.000,2.612,,
1835,0.249,,,,,,2.799,,
1836,0.249,,,,,,2.985,,
1837,0.249,,,,,,2.861,,
1838,0.249,,,,,0.062,2.799,,
1839,0.249,,,,,0.062,2.861,,
1840,0.311,,,,,0.062,2.985,,
1841,0.311,,,,0.187,0.062,2.985,,
1842,0.311,,,,0.187,0.062,3.172,,
1843,0.373,,,,0.187,0.062,3.265,,
1844,0.435,,,,0.187,0.062,3.451,,
1845,0.498,,,,0.218,0.062,3.607,,
1846,0.560,,,,0.249,0.062,3.545,,
1847,0.622,,,,0.249,0.062,3.700,,
1848,0.715,,,,0.249,,4.073,,
1849,0.746,,,,0.249,0.124,4.291,,
1850,0.808,,,,0.249,0.124,4.353,,
1851,0.995,0.000,,,0.280,0.124,4.213,,
1852,1.026,0.000,,,0.311,0.124,4.167,,
1853,1.088,0.000,,,0.342,0.124,4.167,,
1854,1.244,0.000,,,0.435,0.124,4.789,,
1855,1.368,0.000,,,0.435,0.187,4.726,,
1856,1.368,0.000,,,0.498,0.187,4.882,,
1857,1.368,0.000,,,0.498,0.187,4.789,,
1858,1.368,0.062,,,0.498,0.187,4.726,,
1859,1.430,0.062,,,0.498,0.187,5.131,,
1860,1.430,0.062,,,0.560,0.187,5.815,,
1861,1.368,0.062,,,0.622,0.218,5.877,,
1862,1.368,0.124,,,0.622,0.249,5.815,,
1863,1.555,0.124,,,0.684,0.249,6.095,,
1864,1.617,,,,0.746,0.249,6.468,,
1865,1.617,,,,0.777,0.249,6.748,,
1866,1.710,,,,0.808,0.311,6.965,,
1867,1.897,0.187,,,0.871,0.311,7.027,,
1868,2.083,0.187,,,0.902,0.311,6.934,,
1869,2.332,0.171,,,0.933,0.311,7.152,,
1870,2.425,0.187,,,0.933,0.373,7.245,,
1871,2.612,,,,0.995,0.373,7.680,,
1872,3.016,,,,1.119,0.435,7.929,,
1873,3.141,,,,1.119,0.435,8.053,,
1874,3.016,,,,1.057,0.435,7.929,,
1875,2.985,,,,1.182,0.435,8.147,,
1876,2.923,,,,1.182,0.435,8.147,,
1877,3.047,,,,1.182,0.435,8.116,,
1878,3.047,,,,1.213,0.498,7.991,,
1879,3.514,0.746,,,1.244,0.498,8.053,,
1880,3.980,1.182,,,1.430,0.560,8.644,,
1881,4.136,1.244,,,1.493,0.560,8.846,,
1882,4.447,1.337,,,1.524,0.622,9.002,,
1883,4.757,1.772,,,1.617,0.622,9.142,,
1884,4.851,1.803,,,1.617,0.622,8.893,,
1885,4.851,1.803,,,1.617,,8.738,,
1886,5.037,1.897,,,1.648,0.684,8.582,,
1887,5.317,2.177,,,1.679,0.684,8.738,,
1888,6.001,2.612,,,1.803,0.746,8.986,,
1889,5.690,2.394,,,1.928,0.746,9.266,,
1890,6.405,2.519,,,1.990,0.808,9.391,,
1891,6.685,2.767,,0.124,2.052,0.808,9.453,,
1892,6.903,2.830,,0.187,2.052,0.808,9.049,,
1893,6.810,2.861,,0.311,2.052,0.808,8.551,,
1894,6.530,2.799,,0.435,2.083,0.871,9.111,,
1895,6.887,2.643,,0.715,2.177,0.902,9.297,,
1896,6.934,2.799,,0.777,2.301,0.933,9.453,0.000,
1897,7.027,2.799,,0.808,2.363,0.964,9.577,0.000,
1898,7.711,3.047,,,2.488,1.026,9.639,0.000,
1899,8.458,3.514,,0.746,2.612,1.119,10.106,0.000,
1900,8.800,3.731,,0.498,2.736,1.150,10.137,0.000,
1901,9.484,4.291,,0.746,2.705,1.182,9.935,0.000,
1902,9.888,4.478,,0.979,2.674,1.213,9.919,0.000,
1903,11.070,4.726,,1.430,2.799,1.306,10.137,0.000,
1904,11.070,5.504,,1.524,2.861,1.306,10.137,0.000,
1905,11.909,5.721,,1.772,2.923,1.368,10.168,0.000,
1906,12.811,6.219,,1.959,3.078,1.493,10.510,0.000,
1907,13.557,7.152,,1.990,3.420,1.617,10.697,0.000,
1908,12.531,7.058,,2.223,3.451,1.555,10.479,,
1909,13.433,6.779,,2.550,3.420,1.617,10.448,,
1910,13.961,7.432,,2.674,3.483,1.679,10.479,,
1911,13.961,8.302,,2.643,3.591,1.679,10.572,0.062,
1912,14.677,9.453,,2.736,3.856,1.803,10.261,0.062,
1913,15.050,9.919,,2.861,3.980,1.866,10.728,0.062,
1914,14.024,9.080,,2.830,3.545,1.741,10.603,0.062,
1915,14.459,8.209,,2.938,3.265,1.679,10.728,0.062,
1916,15.609,9.639,,3.047,3.358,1.772,10.883,0.062,
1917,16.433,10.044,,,3.358,1.866,10.790,0.062,
1918,16.138,10.059,,3.234,3.016,1.726,9.981,0.062,
1919,15.516,9.359,,3.296,2.705,1.679,9.857,0.062,
1920,15.703,9.359,,3.483,2.985,1.741,10.012,0.062,
1921,14.335,9.359,,3.187,3.141,1.617,8.489,0.062,
1922,15.361,8.240,,2.985,3.141,1.679,9.328,0.062,
1923,16.915,9.111,,3.358,3.047,1.835,9.919,0.062,
1924,15.609,8.302,,3.483,3.358,1.866,10.386,0.062,
1925,15.765,8.116,,3.638,3.451,1.835,9.904,0.062,
1926,16.604,,,3.669,3.420,1.803,9.639,0.062,
1927,16.076,9.453,,3.483,3.731,1.928,10.075,0.062,
1928,15.858,9.453,,3.483,3.762,1.928,10.075,0.062,
1929,16.045,9.639,,3.451,3.949,1.990,10.261,0.062,
1930,14.241,8.955,,3.172,3.638,1.835,9.888,0.062,
1931,12.764,7.400,,2.799,3.265,1.648,9.328,0.062,
1932,13.806,6.779,,2.550,2.954,1.493,8.986,0.062,
1933,13.223,6.654,,2.705,2.985,1.555,8.924,0.062,
1934,13.744,7.338,,2.861,3.172,1.617,9.453,0.062,
1935,13.744,7.369,,,3.265,1.679,9.577,0.062,
1936,13.682,7.898,,,3.451,1.866,10.106,0.062,
1937,13.930,8.147,,3.700,3.716,1.928,10.199,0.062,
1938,13.806,7.805,,3.700,3.856,1.866,9.950,0.062,
1939,13.122,8.458,,3.762,3.918,1.959,9.919,0.062,
1940,14.366,9.391,,3.794,4.042,2.052,10.292,0.062,
1941,15.796,10.510,,4.167,4.042,2.114,10.261,,
1942,16.573,11.070,0.187,4.229,4.042,2.114,10.137,0.062,
1943,16.884,11.303,0.187,4.307,4.042,2.114,10.012,0.062,
1944,17.693,11.194,0.187,4.664,3.047,2.021,9.795,0.062,
1945,16.978,10.634,,4.664,3.778,1.803,9.297,0.062,
1946,16.542,10.790,,4.602,2.456,1.866,9.359,,
1947,17.568,11.256,,4.540,3.078,2.083,9.857,,
1948,17.600,11.629,,4.571,3.358,2.146,10.075,0.124,
1949,15.330,10.883,,4.664,3.638,2.114,10.137,0.124,
1950,16.480,11.225,,4.664,3.918,2.363,10.075,0.124,
1951,16.604,11.381,,4.913,4.260,2.456,10.603,0.124,
1952,16.107,11.039,,5.037,4.415,2.488,10.479,0.124,
1953,15.983,10.790,0.249,5.100,4.555,2.488,10.634,0.124,
1954,15.547,10.634,0.249,5.286,4.726,2.488,10.821,0.124,
1955,16.231,10.728,0.311,5.597,5.006,2.643,11.163,0.124,
1956,16.760,11.443,0.311,5.815,5.410,2.799,11.101,0.187,
1957,16.480,11.256,0.373,5.846,5.473,2.799,10.976,0.187,
1958,15.827,,0.715,6.032,5.410,2.861,10.728,0.187,
1959,15.983,,1.057,5.877,5.597,2.954,10.510,0.187,
1960,15.983,10.665,1.119,5.846,5.846,3.047,11.039,0.187,
1961,15.765,10.665,0.902,6.032,6.032,3.047,11.070,0.249,
1962,16.076,10.914,0.622,6.032,6.499,3.109,11.132,0.249,
1963,16.449,11.318,0.622,6.095,6.841,3.172,11.194,0.249,
