series,x,y
United States,1990,44221
United States,1991,43624
United States,1992,44618
United States,1993,45215
United States,1994,46408
United States,1995,47204
United States,1996,48397
United States,1997,49988
United States,1998,51579
United States,1999,53369
United States,2000,54960
United States,2001,54960
United States,2002,55357
United States,2003,56352
United States,2004,58142
United States,2005,59534
United States,2006,60528
United States,2007,61125
United States,2008,60727
United States,2009,58738
United States,2010,59733
United States,2011,60130
United States,2012,61025
United States,2013,61920
United States,2014,62914
United States,2015,64307
United States,2016,64903
United States,2017,66096
United States,2018,67687
United States,2019,68881
United States,2020,67489
United States,2021,71267
United States,2022,72659
United States,2023,74051
United States,2024,75344
Germany,1990,42431
Germany,1991,44221
Germany,1992,44419
Germany,1993,43922
Germany,1994,44817
Germany,1995,45414
Germany,1996,45812
Germany,1997,46607
Germany,1998,47601
Germany,1999,48397
Germany,2000,49789
Germany,2001,50485
Germany,2002,50386
Germany,2003,50087
Germany,2004,50584
Germany,2005,51181
Germany,2006,53170
Germany,2007,54761
Germany,2008,55258
Germany,2009,52573
Germany,2010,54761
Germany,2011,57744
Germany,2012,57943
Germany,2013,57943
Germany,2014,59036
Germany,2015,59534
Germany,2016,60329
Germany,2017,61721
Germany,2018,62318
Germany,2019,62716
Germany,2020,60329
Germany,2021,62517
Germany,2022,63511
Germany,2023,62914
Germany,2024,62517
South Korea,1990,14390
South Korea,1991,15782
South Korea,1992,16577
South Korea,1993,17572
South Korea,1994,18964
South Korea,1995,20555
South Korea,1996,22146
South Korea,1997,23140
South Korea,1998,22046
South Korea,1999,24333
South Korea,2000,26322
South Korea,2001,27316
South Korea,2002,29305
South Korea,2003,30101
South Korea,2004,31493
South Korea,2005,32885
South Korea,2006,34376
South Korea,2007,36067
South Korea,2008,37061
South Korea,2009,37061
South Korea,2010,39448
South Korea,2011,40641
South Korea,2012,41436
South Korea,2013,42630
South Korea,2014,43723
South Korea,2015,44817
South Korea,2016,46010
South Korea,2017,47402
South Korea,2018,48795
South Korea,2019,49690
South Korea,2020,49391
South Korea,2021,51579
South Korea,2022,53369
South Korea,2023,53965
South Korea,2024,54960
United Kingdom,1990,32885
United Kingdom,1991,32487
United Kingdom,1992,32686
United Kingdom,1993,33879
United Kingdom,1994,35470
United Kingdom,1995,36564
United Kingdom,1996,37459
United Kingdom,1997,39050
United Kingdom,1998,40343
United Kingdom,1999,41237
United Kingdom,2000,43027
United Kingdom,2001,43823
United Kingdom,2002,44419
United Kingdom,2003,45613
United Kingdom,2004,46408
United Kingdom,2005,47402
United Kingdom,2006,48198
United Kingdom,2007,49192
United Kingdom,2008,48795
United Kingdom,2009,46209
United Kingdom,2010,46806
United Kingdom,2011,46806
United Kingdom,2012,47204
United Kingdom,2013,47800
United Kingdom,2014,48894
United Kingdom,2015,49590
United Kingdom,2016,50286
United Kingdom,2017,51579
United Kingdom,2018,51977
United Kingdom,2019,52374
United Kingdom,2020,47402
United Kingdom,2021,50982
United Kingdom,2022,52971
United Kingdom,2023,52573
United Kingdom,2024,52573
Japan,1990,35271
Japan,1991,36266
Japan,1992,36465
Japan,1993,36266
Japan,1994,36465
Japan,1995,37459
Japan,1996,38453
Japan,1997,38652
Japan,1998,38055
Japan,1999,37956
Japan,2000,38851
Japan,2001,38950
Japan,2002,38851
Japan,2003,39448
Japan,2004,40243
Japan,2005,41039
Japan,2006,41635
Japan,2007,42033
Japan,2008,41635
Japan,2009,39448
Japan,2010,40840
Japan,2011,41039
Japan,2012,41635
Japan,2013,42232
Japan,2014,42630
Japan,2015,43226
Japan,2016,43624
Japan,2017,44419
Japan,2018,44817
Japan,2019,44618
Japan,2020,43027
Japan,2021,44221
Japan,2022,44817
Japan,2023,45812
Japan,2024,46010
Russia,1990,29405
Russia,1991,27913
Russia,1992,23936
Russia,1993,21748
Russia,1994,19362
Russia,1995,18168
Russia,1996,17572
Russia,1997,17771
Russia,1998,16975
Russia,1999,18168
Russia,2000,19958
Russia,2001,21151
Russia,2002,22345
Russia,2003,23936
Russia,2004,25825
Russia,2005,27714
Russia,2006,30101
Russia,2007,32487
