x,World,Asia,Africa,Europe,North America,South America,Oceania
-9989.7,0,0,0,0,0,0,0
-9971.3,0,0,0,0,0,0,0
-9952.9,0,0,0,0,0,0,0
-9934.5,0,0,0,0,0,0,0
-9916.1,0,0,0,0,0,0,0
-9897.8,0,0,0,0,0,0,0
-9879.4,0,0,0,0,0,0,0
-9861.0,0,0,0,0,0,0,0
-9842.6,0,0,0,0,0,0,0
-9824.2,0,0,0,0,0,0,0
-9805.8,0,0,0,0,0,0,0
-9787.5,0,0,0,0,0,0,0
-9769.1,0,0,0,0,0,0,0
-9750.7,0,0,0,0,0,0,0
-9732.3,0,0,0,0,0,0,0
-9713.9,0,0,0,0,0,0,0
-9695.5,0,0,0,0,0,0,0
-9677.2,0,0,0,0,0,0,0
-9658.8,0,0,0,0,0,0,0
-9640.4,0,0,0,0,0,0,0
-9622.0,0,0,0,0,0,0,0
-9603.6,0,0,0,0,0,0,0
-9585.2,0,0,0,0,0,0,0
-9566.9,0,0,0,0,0,0,0
-9548.5,0,0,0,0,0,0,0
-9530.1,0,0,0,0,0,0,0
-9511.7,0,0,0,0,0,0,0
-9493.3,0,0,0,0,0,0,0
-9474.9,0,0,0,0,0,0,0
-9456.6,0,0,0,0,0,0,0
-9438.2,0,0,0,0,0,0,0
-9419.8,0,0,0,0,0,0,0
-9401.4,0,0,0,0,0,0,0
-9383.0,0,0,0,0,0,0,0
-9364.6,0,0,0,0,0,0,0
-9346.3,0,0,0,0,0,0,0
-9327.9,0,0,0,0,0,0,0
-9309.5,0,0,0,0,0,0,0
-9291.1,0,0,0,0,0,0,0
-9272.7,0,0,0,0,0,0,0
-9254.3,0,0,0,0,0,0,0
-9236.0,0,0,0,0,0,0,0
-9217.6,0,0,0,0,0,0,0
-9199.2,0,0,0,0,0,0,0
-9180.8,16477,0,0,0,0,0,0
-9162.4,181249,0,0,0,0,0,0
-9144.0,346022,0,0,0,0,0,0
-9125.7,510794,0,0,0,0,0,0
-9107.3,675566,0,0,0,0,0,0
-9088.9,840338,0,0,0,0,0,0
-9070.5,1005111,0,0,0,0,0,0
-9052.1,1169883,0,0,0,0,0,0
-9033.7,1334655,0,0,0,0,0,0
-9015.4,1499427,0,0,0,0,0,0
-8997.0,1664200,0,0,0,0,0,0
-8978.6,1828972,0,0,0,0,0,0
-8960.2,1993744,0,0,0,0,0,0
-8941.8,2158516,0,0,0,0,0,0
-8923.4,2323289,0,0,0,0,0,0
-8905.1,2488061,0,0,0,0,0,0
-8886.7,2652833,0,0,0,0,0,0
-8868.3,2817605,0,0,0,0,0,0
-8849.9,2982378,0,0,0,0,0,0
-8831.5,3147150,0,0,0,0,0,0
-8813.1,3311922,0,0,0,0,0,0
-8794.8,3476694,0,0,0,0,0,0
-8776.4,3641467,0,0,0,0,0,0
-8758.0,3806239,0,0,0,0,0,0
-8739.6,3971011,0,0,0,0,0,0
-8721.2,4135783,0,0,0,0,0,0
-8702.8,4300556,0,0,0,0,0,0
-8684.5,4465328,0,0,0,0,0,0
-8666.1,4630100,0,0,0,0,0,0
-8647.7,4794872,0,0,0,0,0,0
-8629.3,4959645,0,0,0,0,0,0
-8610.9,5124417,0,0,0,0,0,0
-8592.5,5289189,0,0,0,0,0,0
-8574.2,5453961,0,0,0,0,0,0
-8555.8,5618734,0,0,0,0,0,0
-8537.4,5783506,0,0,0,0,0,0
-8519.0,5948278,0,0,0,0,0,0
-8500.6,6113050,0,0,0,0,0,0
-8482.2,6277822,0,0,0,0,0,0
-8463.9,6442595,0,0,0,0,0,0
-8445.5,6607367,0,76210,0,0,0,0
-8427.1,6772139,0,164146,0,0,0,0
-8408.7,6936911,68661,252081,0,0,0,0
-8390.3,7101684,154488,340016,0,0,0,0
-8371.9,7266456,240315,427951,0,0,0,0
-8353.6,7431228,326142,515886,0,0,0,0
-8335.2,7596000,411969,603821,0,0,0,0
-8316.8,7760773,497796,691756,0,0,0,0
-8298.4,7925545,583623,779691,0,0,0,0
-8280.0,8090317,669449,867626,0,0,0,0
-8261.6,8255089,755276,955562,0,0,0,0
-8243.3,8419862,841103,1043497,0,0,0,0
-8224.9,8584634,926930,1131432,0,0,0,0
-8206.5,8749406,1012757,1219367,0,0,0,0
-8188.1,8914178,1098584,1307302,0,0,0,0
-8169.7,9078951,1184410,1395237,0,0,0,0
-8151.3,9243723,1270237,1483172,0,0,0,0
-8133.0,9408495,1356064,1571107,0,0,0,0
-8114.6,9573267,1441891,1659042,0,0,0,0
-8096.2,9738040,1527718,1746977,0,0,0,0
-8077.8,9902812,1613545,1834913,0,0,0,0
-8059.4,10067584,1699371,1922848,0,0,0,0
-8041.0,10232356,1785198,2010783,0,0,0,0
-8022.7,10397129,1871025,2098718,0,0,0,0
-8004.3,10561901,1956852,2186653,0,0,0,0
-7985.9,10726673,2042679,2274588,0,0,0,0
-7967.5,10891445,2128506,2362523,0,0,0,0
-7949.1,11056218,2214333,2450458,0,0,0,0
-7930.7,11220990,2300159,2538393,0,0,0,0
-7912.4,11385762,2385986,2626329,0,0,0,0
-7894.0,11550534,2471813,2714264,0,0,0,0
-7875.6,11715307,2557640,2802199,0,0,0,0
-7857.2,11880079,2643467,2890134,0,0,0,0
-7838.8,12044851,2729294,2978069,0,0,0,0
-7820.4,12209623,2815120,3066004,0,0,0,0
-7802.1,12374395,2900947,3153939,0,0,0,0
-7783.7,12539168,2986774,3241874,12249,0,0,0
-7765.3,12703940,3072601,3329809,73493,0,0,0
-7746.9,12868712,3158428,3417745,134737,0,0,0
-7728.5,13033484,3244255,3505680,195981,0,0,0
-7710.1,13198257,3330081,3593615,257225,0,0,0
-7691.8,13363029,3415908,3681550,318469,0,0,0
-7673.4,13527801,3501735,3769485,379713,0,0,0
-7655.0,13692573,3587562,3857420,440957,0,0,0
-7636.6,13857346,3673389,3945355,502201,0,0,0
-7618.2,14022118,3759216,4033290,563445,0,0,0
-7599.8,14186890,3845042,4121225,624689,0,0,0
-7581.5,14351662,3930869,4209160,685933,0,0,0
-7563.1,14516435,4016696,4297096,747177,0,0,0
-7544.7,14681207,4102523,4385031,808421,0,0,0
-7526.3,14845979,4188350,4472966,869665,0,0,0
-7507.9,15010751,4274177,4560901,930909,0,0,0
-7489.5,15175524,4360004,4648836,992153,0,0,0
-7471.2,15340296,4445830,4736771,1053397,0,0,0
-7452.8,15505068,4531657,4824706,1114641,0,0,0
-7434.4,15669840,4617484,4912641,1175885,0,0,0
-7416.0,15834613,4703311,5000576,1237129,0,0,0
-7397.6,15999385,4789138,5088512,1298373,0,0,0
-7379.2,16164157,4874965,5176447,1359617,0,0,0
-7360.9,16328929,4960791,5264382,1420861,0,0,0
-7342.5,16493702,5046618,5352317,1482105,0,0,0
-7324.1,16658474,5132445,5440252,1543348,0,0,0
-7305.7,16823246,5218272,5528187,1604592,0,0,0
-7287.3,16988018,5304099,5616122,1665836,0,0,0
-7268.9,17152791,5389926,5704057,1727080,0,0,0
-7250.6,17317563,5475752,5791992,1788324,0,0,0
-7232.2,17482335,5561579,5879928,1849568,0,0,0
-7213.8,17647107,5647406,5967863,1910812,0,0,0
-7195.4,17811880,5733233,6055798,1972056,0,0,0
-7177.0,17976652,5819060,6143733,2033300,0,0,0
-7158.6,18141424,5904887,6231668,2094544,0,0,0
-7140.3,18306196,5990714,6319603,2155788,0,0,0
-7121.9,18470969,6076540,6407538,2217032,0,0,0
-7103.5,18635741,6162367,6495473,2278276,0,0,0
-7085.1,18800513,6248194,6583408,2339520,0,0,0
-7066.7,18965285,6334021,6671344,2400764,0,0,0
-7048.3,19130057,6419848,6759279,2462008,0,0,0
-7030.0,19294830,6505675,6847214,2523252,0,0,0
-7011.6,19459602,6591501,6935149,2584496,0,0,0
-6993.2,19624374,6677328,7023084,2645740,0,0,0
-6974.8,19789146,6763155,7111019,2706984,0,0,0
-6956.4,19953919,6848982,7198954,2768228,0,0,0
-6938.0,20118691,6934809,7286889,2829472,0,0,0
-6919.7,20283463,7020636,7374824,2890716,0,0,0
-6901.3,20448235,7106462,7462759,2951960,0,0,0
-6882.9,20613008,7192289,7550695,3013204,0,0,0
-6864.5,20777780,7278116,7638630,3074448,0,0,0
-6846.1,20942552,7363943,7726565,3135692,0,0,0
-6827.7,21107324,7449770,7814500,3196936,0,0,0
-6809.4,21272097,7535597,7902435,3258180,0,0,0
-6791.0,21436869,7621424,7990370,3319424,0,0,0
-6772.6,21601641,7707250,8078305,3380668,0,0,0
-6754.2,21766413,7793077,8166240,3441912,0,0,0
-6735.8,21931186,7878904,8254175,3503156,0,0,0
-6717.4,22095958,7964731,8342111,3564400,0,0,0
-6699.1,22260730,8050558,8430046,3625644,0,0,0
-6680.7,22425502,8136385,8517981,3686888,0,0,0
-6662.3,22590275,8222211,8605916,3748132,0,0,0
-6643.9,22755047,8308038,8693851,3809376,0,0,0
-6625.5,22919819,8393865,8781786,3870620,0,0,0
-6607.1,23084591,8479692,8869721,3931864,0,0,0
-6588.8,23249364,8565519,8957656,3993108,0,0,0
-6570.4,23414136,8651346,9045591,4054352,0,0,0
-6552.0,23578908,8737172,9133527,4115596,0,0,0
-6533.6,23743680,8822999,9221462,4176840,0,0,0
-6515.2,23908453,8908826,9309397,4238084,0,0,0
-6496.8,24073225,8994653,9397332,4299328,0,0,0
-6478.5,24237997,9080480,9485267,4360572,0,0,0
-6460.1,24402769,9166307,9573202,4421816,0,0,0
-6441.7,24567542,9252134,9661137,4483060,0,0,0
-6423.3,24732314,9337960,9749072,4544304,0,0,0
-6404.9,24897086,9423787,9837007,4605548,0,0,0
-6386.5,25061858,9509614,9924943,4666792,0,0,0
-6368.2,25226630,9595441,10012878,4728036,0,0,0
-6349.8,25391403,9681268,10100813,4789280,0,0,0
-6331.4,25556175,9767095,10188748,4850524,0,0,0
-6313.0,25720947,9852921,10276683,4911768,0,0,0
-6294.6,25885719,9938748,10364618,4973012,0,0,0
-6276.2,26050492,10024575,10452553,5034256,0,0,0
-6257.9,26215264,10110402,10540488,5095500,0,0,0
-6239.5,26380036,10196229,10628423,5156744,0,0,0
-6221.1,26544808,10282056,10716358,5217988,0,0,0
-6202.7,26709581,10367882,10804294,5279232,0,0,0
-6184.3,26874353,10453709,10892229,5340476,0,0,0
-6165.9,27039125,10539536,10980164,5401720,0,0,0
-6147.6,27203897,10625363,11068099,5462964,0,0,0
-6129.2,27368670,10711190,11156034,5524208,0,0,0
-6110.8,27533442,10797017,11243969,5585452,0,0,0
-6092.4,27698214,10882844,11331904,5646696,0,0,0
-6074.0,27862986,10968670,11419839,5707940,0,0,0
-6055.6,28027759,11054497,11507774,5769184,0,0,0
-6037.3,28192531,11140324,11595710,5830428,0,0,0
-6018.9,28357303,11226151,11683645,5891672,0,0,0
-6000.5,28522075,11311978,11771580,5952916,0,0,0
-5982.1,28686848,11397805,11859515,6014160,0,0,0
-5963.7,28851620,11483631,11947450,6075404,0,0,0
-5945.3,29016392,11569458,12035385,6136648,0,0,0
-5927.0,29181164,11655285,12123320,6197892,0,0,0
-5908.6,29345937,11741112,12211255,6259136,0,0,0
-5890.2,29510709,11826939,12299190,6320380,0,0,0
-5871.8,29675481,11912766,12387126,6381624,0,0,0
-5853.4,29840253,11998592,12475061,6442868,0,0,0
-5835.0,30005026,12084419,12562996,6504112,0,0,0
-5816.7,30169798,12170246,12650931,6565356,0,0,0
-5798.3,30334570,12256073,12738866,6626599,0,0,0
-5779.9,30499342,12341900,12826801,6687843,0,0,0
-5761.5,30664115,12427727,12914736,6749087,0,0,0
-5743.1,30828887,12513553,13002671,6810331,0,0,0
-5724.7,30993659,12599380,13090606,6871575,0,0,0
-5706.4,31158431,12685207,13178541,6932819,0,0,0
-5688.0,31323204,12771034,13266477,6994063,0,0,0
-5669.6,31487976,12856861,13354412,7055307,0,0,0
-5651.2,31652748,12942688,13442347,7116551,0,0,0
-5632.8,31817520,13028515,13530282,7177795,0,0,0
-5614.4,31982292,13114341,13618217,7239039,0,0,0
-5596.1,32147065,13200168,13706152,7300283,0,0,0
-5577.7,32311837,13285995,13794087,7361527,0,0,0
-5559.3,32476609,13371822,13882022,7422771,0,0,0
-5540.9,32641381,13457649,13969957,7484015,0,0,0
-5522.5,32806154,13543476,14057893,7545259,0,0,0
-5504.1,32970926,13629302,14145828,7606503,0,0,0
-5485.8,33135698,13715129,14233763,7667747,0,0,0
-5467.4,33300470,13800956,14321698,7728991,0,0,0
-5449.0,33465243,13886783,14409633,7790235,0,0,0
-5430.6,33630015,13972610,14497568,7851479,0,0,0
-5412.2,33794787,14058437,14585503,7912723,0,0,0
-5393.8,33959559,14144263,14673438,7973967,0,0,0
-5375.5,34124332,14230090,14761373,8035211,0,0,0
-5357.1,34289104,14315917,14849309,8096455,0,0,0
-5338.7,34453876,14401744,14937244,8157699,0,0,0
-5320.3,34618648,14487571,15025179,8218943,0,0,0
-5301.9,34783421,14573398,15113114,8280187,0,0,0
-5283.5,34948193,14659225,15201049,8341431,0,0,0
-5265.2,35112965,14745051,15288984,8402675,0,0,0
-5246.8,35277737,14830878,15376919,8463919,0,0,0
-5228.4,35442510,14916705,15464854,8525163,0,0,0
-5210.0,35607282,15002532,15552789,8586407,0,0,0
-5191.6,35772054,15088359,15640725,8647651,0,0,0
-5173.2,35936826,15174186,15728660,8708895,0,0,0
-5154.9,36101599,15260012,15816595,8770139,0,0,0
-5136.5,36266371,15345839,15904530,8831383,0,0,0
-5118.1,36431143,15431666,15992465,8892627,0,0,0
-5099.7,36595915,15517493,16080400,8953871,0,0,0
-5081.3,36760688,15603320,16168335,9015115,0,0,0
-5062.9,36925460,15689147,16256270,9076359,0,0,0
-5044.6,37090232,15774973,16344205,9137603,0,0,0
-5026.2,37255004,15860800,16432140,9198847,0,0,0
-5007.8,37419777,15946627,16520076,9260091,0,0,0
-4989.4,37584549,16032454,16608011,9321335,0,0,0
-4971.0,37749321,16118281,16695946,9382579,0,0,0
-4952.6,37914093,16204108,16783881,9443823,0,0,0
-4934.3,38078865,16289935,16871816,9505067,0,0,0
-4915.9,38243638,16375761,16959751,9566311,0,0,0
-4897.5,38408410,16461588,17047686,9627555,0,0,0
-4879.1,38573182,16547415,17135621,9688799,0,0,0
-4860.7,38737954,16633242,17223556,9750043,0,0,0
-4842.3,38902727,16719069,17311492,9811287,0,0,0
-4824.0,39067499,16804896,17399427,9872531,0,0,0
-4805.6,39232271,16890722,17487362,9933775,0,0,0
-4787.2,39397043,16976549,17575297,9995019,0,0,0
-4768.8,39561816,17062376,17663232,10056263,0,0,0
-4750.4,39726588,17148203,17751167,10117507,0,0,0
-4732.0,39891360,17234030,17839102,10178751,0,0,0
-4713.7,40056132,17319857,17927037,10239995,0,0,0
