year,Sweden,France,United Kingdom,Germany,United States,World,China,India
1985,95.63,83.66,21.72,,27.45,35.77,22.63,29.92
1986,95.89,87.56,20.94,29.14,28.75,36.03,21.39,27.97
1987,96.28,89.12,19.9,30.57,27.97,36.03,20.16,24.32
1988,96.67,89.9,21.98,32.39,28.23,36.56,19.9,25.11
1989,97.45,87.3,24.06,32.39,27.97,35.51,20.16,24.85
1990,97.58,88.34,22.5,31.61,29.53,35.77,20.29,25.11
1991,96.41,86.78,23.54,30.96,30.31,36.03,18.34,24.85
1992,95.89,88.86,26.02,33.3,29.53,36.03,17.56,22.76
1993,95.11,92.5,29.27,33.3,29.79,36.82,18.86,21.46
1994,94.32,92.76,29.01,33.43,30.05,36.56,19.64,21.98
1995,94.58,91.98,28.23,33.69,30.31,37.08,20.42,19.51
1996,91.46,91.46,28.49,33.95,30.57,36.82,18.86,17.82
1997,95.11,91.98,29.79,35.25,29.01,36.16,18.6,17.56
1998,95.37,89.38,29.79,34.21,28.49,35.77,18.34,19.12
1999,95.63,89.9,28.23,36.03,29.27,35.51,17.3,18.08
2000,96.54,90.68,25.37,36.03,29.01,35.25,17.95,16.78
2001,96.15,91.46,25.63,36.03,28.23,34.73,19.9,16.0
2002,94.84,90.55,25.37,35.77,28.88,34.47,19.12,14.96
2003,93.28,89.9,24.85,35.25,28.75,33.17,17.43,14.7
2004,96.02,89.9,23.93,36.82,28.49,33.43,18.34,18.21
2005,96.67,89.12,24.58,36.82,28.23,32.91,18.21,17.56
2006,96.41,89.9,23.54,37.86,28.75,32.65,17.56,19.38
2007,96.93,89.64,20.68,36.56,27.97,31.61,17.3,19.9
2008,96.93,90.16,19.38,38.38,28.75,32.13,20.68,18.34
2009,96.41,90.16,24.58,39.16,30.57,32.65,19.9,17.04
2010,94.32,89.64,23.28,39.16,30.05,32.39,20.16,17.56
2011,96.15,89.64,27.97,38.38,31.35,31.87,18.86,19.64
2012,97.45,89.9,30.57,39.16,31.74,31.61,21.98,18.08
2013,97.45,90.68,34.47,39.55,32.13,32.13,22.11,18.86
2014,97.97,93.28,37.86,41.76,32.52,32.65,24.58,18.34
2015,97.97,92.24,45.01,43.58,32.91,33.43,26.93,17.56
2016,97.71,89.9,45.66,42.8,34.99,33.95,28.23,17.04
2017,97.71,88.34,49.83,45.14,37.08,34.47,29.01,17.82
2018,97.71,91.2,52.43,47.22,36.82,34.99,29.66,18.73
2019,97.97,90.42,53.73,52.43,37.6,36.29,31.35,20.42
2020,98.49,90.68,58.67,55.29,39.68,37.86,32.65,21.72
2021,98.23,90.94,55.03,52.17,39.42,37.86,33.43,21.46
2022,98.23,87.56,56.33,50.61,40.2,38.64,34.73,22.5
2023,98.49,91.85,60.24,55.94,40.72,39.42,35.25,21.85
2024,98.75,94.58,64.66,58.41,41.76,40.72,38.12,22.5
2025,98.75,94.84,64.4,58.93,43.06,42.28,41.37,26.15
