layer_idx,layer_type,series,x,y
0,Line Graph,Exponential,0.4707,80.4080
0,Line Graph,Exponential,0.5226,79.3594
0,Line Graph,Exponential,0.5745,77.3032
0,Line Graph,Exponential,0.6265,75.3003
0,Line Graph,Exponential,0.6784,73.3492
0,Line Graph,Exponential,0.7303,71.4487
0,Line Graph,Exponential,0.7823,69.5975
0,Line Graph,Exponential,0.8342,67.7942
0,Line Graph,Exponential,0.8861,66.0376
0,Line Graph,Exponential,0.9380,64.3266
0,Line Graph,Exponential,0.9900,62.6599
0,Line Graph,Exponential,1.0419,61.0363
0,Line Graph,Exponential,1.0938,59.4549
0,Line Graph,Exponential,1.1457,57.9144
0,Line Graph,Exponential,1.1977,56.4138
0,Line Graph,Exponential,1.2496,54.9521
0,Line Graph,Exponential,1.3015,53.5283
0,Line Graph,Exponential,1.3535,52.1414
0,Line Graph,Exponential,1.4054,50.7904
0,Line Graph,Exponential,1.4573,49.4744
0,Line Graph,Exponential,1.5092,48.1925
0,Line Graph,Exponential,1.5612,46.9438
0,Line Graph,Exponential,1.6131,45.7275
0,Line Graph,Exponential,1.6650,44.5427
0,Line Graph,Exponential,1.7169,43.3886
0,Line Graph,Exponential,1.7689,42.2644
0,Line Graph,Exponential,1.8208,41.1693
0,Line Graph,Exponential,1.8727,40.1026
0,Line Graph,Exponential,1.9247,39.0635
0,Line Graph,Exponential,1.9766,38.0514
0,Line Graph,Exponential,2.0285,37.0655
0,Line Graph,Exponential,2.0804,36.1051
0,Line Graph,Exponential,2.1324,35.1696
0,Line Graph,Exponential,2.1843,34.2584
0,Line Graph,Exponential,2.2362,33.3707
0,Line Graph,Exponential,2.2881,32.5061
0,Line Graph,Exponential,2.3401,31.6638
0,Line Graph,Exponential,2.3920,30.8434
0,Line Graph,Exponential,2.4439,30.0443
0,Line Graph,Exponential,2.4958,29.2658
0,Line Graph,Exponential,2.5478,28.5075
0,Line Graph,Exponential,2.5997,27.7689
0,Line Graph,Exponential,2.6516,27.0494
0,Line Graph,Exponential,2.7036,26.3485
0,Line Graph,Exponential,2.7555,25.6658
0,Line Graph,Exponential,2.8074,25.0008
0,Line Graph,Exponential,2.8593,24.3531
0,Line Graph,Exponential,2.9113,23.7221
0,Line Graph,Exponential,2.9632,23.1074
0,Line Graph,Exponential,3.0151,22.5087
0,Line Graph,Exponential,3.0670,21.9255
0,Line Graph,Exponential,3.1190,21.3574
0,Line Graph,Exponential,3.1709,20.8040
0,Line Graph,Exponential,3.2228,20.2650
0,Line Graph,Exponential,3.2748,19.7399
0,Line Graph,Exponential,3.3267,19.2285
0,Line Graph,Exponential,3.3786,18.7302
0,Line Graph,Exponential,3.4305,18.2449
0,Line Graph,Exponential,3.4825,17.7722
0,Line Graph,Exponential,3.5344,17.3117
0,Line Graph,Exponential,3.5863,16.8632
0,Line Graph,Exponential,3.6382,16.4263
0,Line Graph,Exponential,3.6902,16.0006
0,Line Graph,Exponential,3.7421,15.5861
0,Line Graph,Exponential,3.7940,15.1822
0,Line Graph,Exponential,3.8459,14.7889
0,Line Graph,Exponential,3.8979,14.4057
0,Line Graph,Exponential,3.9498,14.0324
0,Line Graph,Exponential,4.0017,13.6688
0,Line Graph,Exponential,4.0537,13.3147
0,Line Graph,Exponential,4.1056,12.9697
0,Line Graph,Exponential,4.1575,12.6336
0,Line Graph,Exponential,4.2094,12.3063
0,Line Graph,Exponential,4.2614,11.9874
0,Line Graph,Exponential,4.3133,11.6768
0,Line Graph,Exponential,4.3652,11.3743
0,Line Graph,Exponential,4.4171,11.0796
0,Line Graph,Exponential,4.4691,10.7925
0,Line Graph,Exponential,4.5210,10.5129
0,Line Graph,Exponential,4.5729,10.2405
0,Line Graph,Exponential,4.6249,9.9752
0,Line Graph,Exponential,4.6768,9.7167
0,Line Graph,Exponential,4.7287,9.4649
0,Line Graph,Exponential,4.7806,9.2197
0,Line Graph,Exponential,4.8326,8.9808
0,Line Graph,Exponential,4.8845,8.7481
0,Line Graph,Exponential,4.9364,8.5214
0,Line Graph,Exponential,4.9883,8.3007
0,Line Graph,Exponential,5.0403,8.0856
0,Line Graph,Exponential,5.0922,7.8761
0,Line Graph,Exponential,5.1441,7.6720
0,Line Graph,Exponential,5.1961,7.4732
0,Line Graph,Exponential,5.2480,7.2796
0,Line Graph,Exponential,5.2999,7.0910
0,Line Graph,Exponential,5.3518,6.9073
0,Line Graph,Exponential,5.4038,6.7283
0,Line Graph,Exponential,5.4557,6.5540
0,Line Graph,Exponential,5.5076,6.3841
0,Line Graph,Exponential,5.5595,6.2187
0,Line Graph,Exponential,5.6115,6.0576
0,Line Graph,Exponential,5.6634,5.9006
0,Line Graph,Exponential,5.7153,5.7478
0,Line Graph,Exponential,5.7672,5.5988
0,Line Graph,Exponential,5.8192,5.4538
0,Line Graph,Exponential,5.8711,5.3125
0,Line Graph,Exponential,5.9230,5.1748
0,Line Graph,Exponential,5.9750,5.0407
0,Line Graph,Exponential,6.0269,4.9101
0,Line Graph,Exponential,6.0788,4.7829
0,Line Graph,Exponential,6.1307,4.6590
0,Line Graph,Exponential,6.1827,4.5383
0,Line Graph,Exponential,6.2346,4.4207
0,Line Graph,Exponential,6.2865,4.3061
0,Line Graph,Exponential,6.3384,4.1946
