layer_idx,layer_type,series,category,x,y
0,Grouped Column Chart,CPU_cum_top,Web,1,22
0,Grouped Column Chart,Memory_cum_top,Web,1,37
0,Grouped Column Chart,IO_Wait_cum_top,Web,1,45
0,Grouped Column Chart,CPU_cum_top,API,2,31
0,Grouped Column Chart,Memory_cum_top,API,2,53
0,Grouped Column Chart,IO_Wait_cum_top,API,2,65
0,Grouped Column Chart,CPU_cum_top,Worker,3,45
0,Grouped Column Chart,Memory_cum_top,Worker,3,73
0,Grouped Column Chart,IO_Wait_cum_top,Worker,3,91
0,Grouped Column Chart,CPU_cum_top,Cron,4,18
0,Grouped Column Chart,Memory_cum_top,Cron,4,30
0,Grouped Column Chart,IO_Wait_cum_top,Cron,4,35
0,Grouped Column Chart,CPU_cum_top,DB,5,28
0,Grouped Column Chart,Memory_cum_top,DB,5,63
0,Grouped Column Chart,IO_Wait_cum_top,DB,5,85
1,Grouped Column Chart,CPU_value,Web,1,22
1,Grouped Column Chart,Memory_value,Web,1,15
1,Grouped Column Chart,IO_Wait_value,Web,1,8
1,Grouped Column Chart,CPU_value,API,2,31
1,Grouped Column Chart,Memory_value,API,2,22
1,Grouped Column Chart,IO_Wait_value,API,2,12
1,Grouped Column Chart,CPU_value,Worker,3,45
1,Grouped Column Chart,Memory_value,Worker,3,28
1,Grouped Column Chart,IO_Wait_value,Worker,3,18
1,Grouped Column Chart,CPU_value,Cron,4,18
1,Grouped Column Chart,Memory_value,Cron,4,12
1,Grouped Column Chart,IO_Wait_value,Cron,4,5
1,Grouped Column Chart,CPU_value,DB,5,28
1,Grouped Column Chart,Memory_value,DB,5,35
1,Grouped Column Chart,IO_Wait_value,DB,5,22
