layer_idx,layer_type,series,axis,x,y
0,Line Graph,drive_current,left,0.030,0.4182
0,Line Graph,drive_current,left,0.434,0.4387
0,Line Graph,drive_current,left,0.871,0.4647
0,Line Graph,drive_current,left,1.301,0.5046
0,Line Graph,drive_current,left,1.756,0.5181
0,Line Graph,drive_current,left,2.185,0.5580
0,Line Graph,drive_current,left,2.622,0.5538
0,Line Graph,drive_current,left,3.056,0.5810
0,Line Graph,drive_current,left,3.493,0.5893
0,Line Graph,drive_current,left,3.921,0.6370
0,Line Graph,drive_current,left,4.354,0.6951
0,Line Graph,drive_current,left,4.793,0.6929
0,Line Graph,drive_current,left,5.225,0.7258
0,Line Graph,drive_current,left,5.652,0.7100
0,Line Graph,drive_current,left,6.099,0.7596
0,Line Graph,drive_current,left,6.531,0.7925
0,Line Graph,drive_current,left,6.960,0.8400
0,Line Graph,drive_current,left,7.399,0.8429
0,Line Graph,drive_current,left,7.836,0.8638
0,Line Graph,drive_current,left,8.270,0.8994
0,Line Graph,drive_current,left,8.697,0.9467
0,Line Graph,drive_current,left,9.136,0.9344
0,Line Graph,drive_current,left,9.573,0.9630
0,Line Graph,drive_current,left,9.970,1.0054
1,Line Graph,cell_voltage,right,0.030,12.1610
1,Line Graph,cell_voltage,right,0.432,11.8390
1,Line Graph,cell_voltage,right,0.866,11.3814
1,Line Graph,cell_voltage,right,1.301,11.5000
1,Line Graph,cell_voltage,right,1.751,11.5170
1,Line Graph,cell_voltage,right,2.185,11.1271
1,Line Graph,cell_voltage,right,2.621,10.8566
1,Line Graph,cell_voltage,right,3.052,10.8729
1,Line Graph,cell_voltage,right,3.488,10.7882
1,Line Graph,cell_voltage,right,3.922,10.2458
1,Line Graph,cell_voltage,right,4.356,10.1272
1,Line Graph,cell_voltage,right,4.791,10.3626
1,Line Graph,cell_voltage,right,5.225,10.0763
1,Line Graph,cell_voltage,right,5.659,9.8390
1,Line Graph,cell_voltage,right,6.094,9.3136
1,Line Graph,cell_voltage,right,6.526,9.4492
1,Line Graph,cell_voltage,right,6.964,9.1115
1,Line Graph,cell_voltage,right,7.396,9.3136
1,Line Graph,cell_voltage,right,7.832,8.7725
1,Line Graph,cell_voltage,right,8.265,8.9068
1,Line Graph,cell_voltage,right,8.699,8.4492
1,Line Graph,cell_voltage,right,9.133,8.3136
1,Line Graph,cell_voltage,right,9.568,8.1950
1,Line Graph,cell_voltage,right,9.970,8.0933
