layer_idx,layer_type,series,x,y
0,Scatter Plot,Measurement,0.5028,5.0000
0,Scatter Plot,Measurement,1.3231,6.8329
0,Scatter Plot,Measurement,2.1306,7.4519
0,Scatter Plot,Measurement,2.9478,8.6916
0,Scatter Plot,Measurement,3.7748,11.0456
0,Scatter Plot,Measurement,4.5939,12.0962
0,Scatter Plot,Measurement,5.4090,13.9907
0,Scatter Plot,Measurement,6.2199,14.6343
0,Scatter Plot,Measurement,7.0542,15.9997
0,Scatter Plot,Measurement,7.8682,17.5376
0,Scatter Plot,Measurement,8.6850,19.1933
0,Scatter Plot,Measurement,9.4972,21.2796
1,Line Graph,Linear fit,-0.0023,4.0903
1,Line Graph,Linear fit,0.0466,4.1762
1,Line Graph,Linear fit,0.0954,4.2620
1,Line Graph,Linear fit,0.1443,4.3479
1,Line Graph,Linear fit,0.1932,4.4337
1,Line Graph,Linear fit,0.2421,4.5196
1,Line Graph,Linear fit,0.2910,4.6054
1,Line Graph,Linear fit,0.3399,4.6913
1,Line Graph,Linear fit,0.3887,4.7772
1,Line Graph,Linear fit,0.4376,4.8630
1,Line Graph,Linear fit,0.4865,4.9489
1,Line Graph,Linear fit,0.5354,5.0347
1,Line Graph,Linear fit,0.5843,5.1206
1,Line Graph,Linear fit,0.6332,5.2064
1,Line Graph,Linear fit,0.6820,5.2923
1,Line Graph,Linear fit,0.7309,5.3781
1,Line Graph,Linear fit,0.7798,5.4640
1,Line Graph,Linear fit,0.8287,5.5498
1,Line Graph,Linear fit,0.8776,5.6357
1,Line Graph,Linear fit,0.9264,5.7215
1,Line Graph,Linear fit,0.9753,5.8074
1,Line Graph,Linear fit,1.0242,5.8932
1,Line Graph,Linear fit,1.0731,5.9791
1,Line Graph,Linear fit,1.1220,6.0649
1,Line Graph,Linear fit,1.1709,6.1508
1,Line Graph,Linear fit,1.2197,6.2366
1,Line Graph,Linear fit,1.2686,6.3225
1,Line Graph,Linear fit,1.3175,6.4083
1,Line Graph,Linear fit,1.3664,6.4942
1,Line Graph,Linear fit,1.4153,6.5800
1,Line Graph,Linear fit,1.4642,6.6659
1,Line Graph,Linear fit,1.5130,6.7517
1,Line Graph,Linear fit,1.5619,6.8376
1,Line Graph,Linear fit,1.6108,6.9234
1,Line Graph,Linear fit,1.6597,7.0093
1,Line Graph,Linear fit,1.7086,7.0951
1,Line Graph,Linear fit,1.7575,7.1810
1,Line Graph,Linear fit,1.8063,7.2668
1,Line Graph,Linear fit,1.8552,7.3527
1,Line Graph,Linear fit,1.9041,7.4385
1,Line Graph,Linear fit,1.9530,7.5244
1,Line Graph,Linear fit,2.0019,7.6102
1,Line Graph,Linear fit,2.0507,7.6961
1,Line Graph,Linear fit,2.0996,7.7819
1,Line Graph,Linear fit,2.1485,7.8678
1,Line Graph,Linear fit,2.1974,7.9536
1,Line Graph,Linear fit,2.2463,8.0395
1,Line Graph,Linear fit,2.2952,8.1253
1,Line Graph,Linear fit,2.3440,8.2112
1,Line Graph,Linear fit,2.3929,8.2970
1,Line Graph,Linear fit,2.4418,8.3829
1,Line Graph,Linear fit,2.4907,8.4687
1,Line Graph,Linear fit,2.5396,8.5546
1,Line Graph,Linear fit,2.5885,8.6404
1,Line Graph,Linear fit,2.6373,8.7263
1,Line Graph,Linear fit,2.6862,8.8121
1,Line Graph,Linear fit,2.7351,8.8980
1,Line Graph,Linear fit,2.7840,8.9838
1,Line Graph,Linear fit,2.8329,9.0697
1,Line Graph,Linear fit,2.8818,9.1555
1,Line Graph,Linear fit,2.9306,9.2414
1,Line Graph,Linear fit,2.9795,9.3273
1,Line Graph,Linear fit,3.0284,9.4131
1,Line Graph,Linear fit,3.0773,9.4990
1,Line Graph,Linear fit,3.1262,9.5848
