layer_idx,layer_type,series,x,y,y_lo,y_hi
0,Scatter Plot,datapoints,23.6805,8.2081,5.7137,11.0258
0,Scatter Plot,datapoints,27.0499,7.1502,3.6813,10.4715
0,Scatter Plot,datapoints,29.99,4.8859,3.7737,6.0371
1,Line Graph,Trend Line,1,19.848,,
1,Line Graph,Trend Line,2,19.3483,,
1,Line Graph,Trend Line,3,18.8487,,
1,Line Graph,Trend Line,4,18.349,,
1,Line Graph,Trend Line,5,17.8494,,
1,Line Graph,Trend Line,6,17.3497,,
1,Line Graph,Trend Line,7,16.8501,,
1,Line Graph,Trend Line,8,16.3504,,
1,Line Graph,Trend Line,9,15.8508,,
1,Line Graph,Trend Line,10,15.3512,,
1,Line Graph,Trend Line,11,14.8515,,
1,Line Graph,Trend Line,12,14.3519,,
1,Line Graph,Trend Line,13,13.8522,,
1,Line Graph,Trend Line,14,13.3526,,
1,Line Graph,Trend Line,15,12.8529,,
1,Line Graph,Trend Line,16,12.3533,,
1,Line Graph,Trend Line,17,11.8536,,
1,Line Graph,Trend Line,18,11.354,,
1,Line Graph,Trend Line,19,10.8543,,
1,Line Graph,Trend Line,20,10.3329,,
1,Line Graph,Trend Line,21,9.855,,
1,Line Graph,Trend Line,22,9.3554,,
1,Line Graph,Trend Line,23,8.8548,,
1,Line Graph,Trend Line,24,8.3561,,
1,Line Graph,Trend Line,25,7.8386,,
1,Line Graph,Trend Line,26,7.337,,
1,Line Graph,Trend Line,27,6.8458,,
1,Line Graph,Trend Line,28,6.3546,,
1,Line Graph,Trend Line,29,5.8523,,
1,Line Graph,Trend Line,30,5.3582,,
1,Line Graph,Trend Line,31,4.8586,,
1,Line Graph,Trend Line,32,4.3437,,
1,Line Graph,Trend Line,33,3.8593,,
1,Line Graph,Trend Line,34,3.3579,,
1,Line Graph,Trend Line,35,2.8498,,
2,ErrorBarLayer,x_err_left,23.3413,8.2081,,
2,ErrorBarLayer,x_err_right,24.6983,8.2081,,
2,ErrorBarLayer,x_err_left,26.0069,7.1502,,
2,ErrorBarLayer,x_err_right,27.9939,7.1502,,
2,ErrorBarLayer,x_err_left,29.0117,4.8859,,
2,ErrorBarLayer,x_err_right,30.9988,4.8859,,
