layer_idx,layer_type,series,x,y
0,Line Graph,Traditional biomass,1800,5368.0
0,Line Graph,Coal,1800,447.3
0,Line Graph,Oil,1800,0.0
0,Line Graph,Gas,1800,0.0
0,Line Graph,Nuclear,1800,0.0
0,Line Graph,Hydropower,1800,0.0
0,Line Graph,Wind,1800,0.0
0,Line Graph,Solar,1800,0.0
0,Line Graph,Other renewables,1800,0.0
0,Line Graph,Modern biofuels,1800,447.3
0,Line Graph,Traditional biomass,1805,5368.0
0,Line Graph,Coal,1805,447.3
0,Line Graph,Oil,1805,0.0
0,Line Graph,Gas,1805,0.0
0,Line Graph,Nuclear,1805,0.0
0,Line Graph,Hydropower,1805,447.3
0,Line Graph,Wind,1805,0.0
0,Line Graph,Solar,1805,0.0
0,Line Graph,Other renewables,1805,0.0
0,Line Graph,Modern biofuels,1805,447.3
0,Line Graph,Traditional biomass,1810,5815.3
0,Line Graph,Coal,1810,894.7
0,Line Graph,Oil,1810,0.0
0,Line Graph,Gas,1810,0.0
0,Line Graph,Nuclear,1810,0.0
0,Line Graph,Hydropower,1810,0.0
0,Line Graph,Wind,1810,0.0
0,Line Graph,Solar,1810,0.0
0,Line Graph,Other renewables,1810,0.0
0,Line Graph,Modern biofuels,1810,0.0
0,Line Graph,Traditional biomass,1815,5815.3
0,Line Graph,Coal,1815,447.3
0,Line Graph,Oil,1815,0.0
0,Line Graph,Gas,1815,0.0
0,Line Graph,Nuclear,1815,0.0
0,Line Graph,Hydropower,1815,0.0
0,Line Graph,Wind,1815,0.0
0,Line Graph,Solar,1815,0.0
0,Line Graph,Other renewables,1815,0.0
0,Line Graph,Modern biofuels,1815,0.0
0,Line Graph,Traditional biomass,1820,5815.3
0,Line Graph,Coal,1820,447.3
0,Line Graph,Oil,1820,0.0
0,Line Graph,Gas,1820,0.0
0,Line Graph,Nuclear,1820,0.0
0,Line Graph,Hydropower,1820,447.3
0,Line Graph,Wind,1820,0.0
0,Line Graph,Solar,1820,0.0
0,Line Graph,Other renewables,1820,0.0
0,Line Graph,Modern biofuels,1820,0.0
0,Line Graph,Traditional biomass,1825,6262.7
0,Line Graph,Coal,1825,447.3
0,Line Graph,Oil,1825,0.0
0,Line Graph,Gas,1825,0.0
0,Line Graph,Nuclear,1825,0.0
0,Line Graph,Hydropower,1825,0.0
0,Line Graph,Wind,1825,0.0
0,Line Graph,Solar,1825,0.0
0,Line Graph,Other renewables,1825,0.0
0,Line Graph,Modern biofuels,1825,447.3
0,Line Graph,Traditional biomass,1830,6262.7
0,Line Graph,Coal,1830,447.3
0,Line Graph,Oil,1830,0.0
0,Line Graph,Gas,1830,0.0
0,Line Graph,Nuclear,1830,0.0
0,Line Graph,Hydropower,1830,0.0
0,Line Graph,Wind,1830,0.0
0,Line Graph,Solar,1830,0.0
0,Line Graph,Other renewables,1830,0.0
0,Line Graph,Modern biofuels,1830,447.3
0,Line Graph,Traditional biomass,1835,6710.0
0,Line Graph,Coal,1835,447.3
0,Line Graph,Oil,1835,0.0
0,Line Graph,Gas,1835,0.0
0,Line Graph,Nuclear,1835,0.0
0,Line Graph,Hydropower,1835,0.0
0,Line Graph,Wind,1835,0.0
0,Line Graph,Solar,1835,0.0
0,Line Graph,Other renewables,1835,0.0
0,Line Graph,Modern biofuels,1835,447.3
0,Line Graph,Traditional biomass,1840,6710.0
0,Line Graph,Coal,1840,894.7
0,Line Graph,Oil,1840,0.0
0,Line Graph,Gas,1840,0.0
0,Line Graph,Nuclear,1840,0.0
0,Line Graph,Hydropower,1840,0.0
0,Line Graph,Wind,1840,0.0
0,Line Graph,Solar,1840,0.0
0,Line Graph,Other renewables,1840,0.0
0,Line Graph,Modern biofuels,1840,447.3
0,Line Graph,Traditional biomass,1845,6710.0
0,Line Graph,Coal,1845,447.3
0,Line Graph,Oil,1845,0.0
0,Line Graph,Gas,1845,0.0
0,Line Graph,Nuclear,1845,0.0
0,Line Graph,Hydropower,1845,0.0
0,Line Graph,Wind,1845,0.0
