layer_idx,layer_type,series,x,y
0,Line Graph,United States,1830.66,0.124
0,Line Graph,United States,1831.09,0.124
0,Line Graph,United States,1831.94,0.1862
0,Line Graph,United States,1832.37,0.1862
0,Line Graph,United States,1832.8,0.1862
0,Line Graph,United States,1833.22,0.1862
0,Line Graph,United States,1833.65,0.1862
0,Line Graph,United States,1834.08,0.1862
0,Line Graph,United States,1834.93,0.2484
0,Line Graph,United States,1835.36,0.2484
0,Line Graph,United States,1835.78,0.2484
0,Line Graph,United States,1836.21,0.2484
0,Line Graph,United States,1837.49,0.2484
0,Line Graph,United States,1837.92,0.2484
0,Line Graph,United States,1838.35,0.2484
0,Line Graph,United States,1838.77,0.2484
0,Line Graph,United States,1840.48,0.3106
0,Line Graph,United States,1840.91,0.3106
0,Line Graph,United States,1841.33,0.3106
0,Line Graph,United States,1841.76,0.3106
0,Line Graph,United States,1842.19,0.3106
0,Line Graph,United States,1843.04,0.3728
0,Line Graph,United States,1843.47,0.3728
0,Line Graph,United States,1843.89,0.435
0,Line Graph,United States,1844.32,0.435
0,Line Graph,United States,1844.75,0.4971
0,Line Graph,United States,1845.17,0.4971
0,Line Graph,United States,1845.6,0.5593
0,Line Graph,United States,1846.03,0.5593
0,Line Graph,United States,1846.45,0.6215
0,Line Graph,United States,1846.88,0.6215
0,Line Graph,United States,1847.31,0.6837
0,Line Graph,United States,1847.73,0.6837
0,Line Graph,United States,1848.59,0.7459
0,Line Graph,United States,1849.02,0.7459
0,Line Graph,United States,1849.44,0.7459
0,Line Graph,United States,1849.87,0.8081
0,Line Graph,United States,1850.3,0.8703
0,Line Graph,United States,1850.72,0.9325
0,Line Graph,United States,1851.15,0.9947
0,Line Graph,United States,1851.58,0.9947
0,Line Graph,United States,1852.43,1.0569
0,Line Graph,United States,1852.86,1.119
0,Line Graph,United States,1853.71,1.1812
0,Line Graph,United States,1854.14,1.2434
0,Line Graph,United States,1854.56,1.3056
0,Line Graph,United States,1854.99,1.3678
0,Line Graph,United States,1855.42,1.3678
0,Line Graph,United States,1855.84,1.3678
0,Line Graph,United States,1856.27,1.3678
0,Line Graph,United States,1856.7,1.3678
0,Line Graph,United States,1857.12,1.3678
0,Line Graph,United States,1857.55,1.3678
0,Line Graph,United States,1857.98,1.3678
0,Line Graph,United States,1858.4,1.3678
0,Line Graph,United States,1858.83,1.43
0,Line Graph,United States,1859.26,1.43
0,Line Graph,United States,1859.69,1.43
0,Line Graph,United States,1860.11,1.43
0,Line Graph,United States,1860.97,1.3678
0,Line Graph,United States,1861.39,1.3678
0,Line Graph,United States,1861.82,1.3678
0,Line Graph,United States,1862.25,1.43
0,Line Graph,United States,1862.67,1.5544
0,Line Graph,United States,1863.1,1.5544
0,Line Graph,United States,1863.53,1.6166
0,Line Graph,United States,1863.95,1.6166
0,Line Graph,United States,1864.38,1.6166
0,Line Graph,United States,1864.81,1.6166
0,Line Graph,United States,1865.23,1.6166
0,Line Graph,United States,1866.09,1.6788
0,Line Graph,United States,1866.51,1.8031
0,Line Graph,United States,1866.94,1.9275
0,Line Graph,United States,1867.37,1.9897
0,Line Graph,United States,1867.79,2.1141
0,Line Graph,United States,1868.22,2.1763
0,Line Graph,United States,1868.65,2.3006
0,Line Graph,United States,1869.07,2.3628
0,Line Graph,United States,1869.93,2.425
0,Line Graph,United States,1870.35,2.425
0,Line Graph,United States,1870.78,2.4872
0,Line Graph,United States,1871.21,2.6116
0,Line Graph,United States,1871.64,2.8604
0,Line Graph,United States,1872.06,3.0469
0,Line Graph,United States,1872.49,3.1091
0,Line Graph,United States,1872.92,3.2335
0,Line Graph,United States,1873.34,3.1713
0,Line Graph,United States,1873.77,3.0469
