layer_idx,layer_type,series,x,y
0,Line Graph,Series A (rising),3.0,2.739
0,Line Graph,Series A (rising),3.5,3.0234
0,Line Graph,Series A (rising),4.0,3.314
0,Line Graph,Series A (rising),4.5,3.6491
0,Line Graph,Series A (rising),5.0,3.9904
0,Line Graph,Series A (rising),5.5,4.3361
0,Line Graph,Series A (rising),6.0,4.7299
0,Line Graph,Series A (rising),6.5,5.1313
0,Line Graph,Series A (rising),7.0,5.5574
0,Line Graph,Series A (rising),7.5,6.0098
0,Line Graph,Series A (rising),8.0,6.4649
0,Line Graph,Series A (rising),8.5,6.9493
0,Line Graph,Series A (rising),9.0,7.4603
0,Line Graph,Series A (rising),9.5,7.9723
0,Line Graph,Series A (rising),10.0,8.5127
0,Line Graph,Series B (falling),3.0,6.4933
0,Line Graph,Series B (falling),3.5,6.2373
0,Line Graph,Series B (falling),4.0,6.0036
0,Line Graph,Series B (falling),4.5,5.7482
0,Line Graph,Series B (falling),5.0,5.4978
0,Line Graph,Series B (falling),5.5,5.2419
0,Line Graph,Series B (falling),6.0,4.9859
0,Line Graph,Series B (falling),6.5,4.7299
0,Line Graph,Series B (falling),7.0,4.4739
0,Line Graph,Series B (falling),7.5,4.2179
0,Line Graph,Series B (falling),8.0,3.9889
0,Line Graph,Series B (falling),8.5,3.7335
0,Line Graph,Series B (falling),9.0,3.4785
0,Line Graph,Series B (falling),9.5,3.2225
0,Line Graph,Series B (falling),10.0,2.9665
