layer_idx,layer_type,series,x,y
0,Line Graph,24C,7,0.0766
0,Line Graph,24C,8,0.1875
0,Line Graph,24C,9,0.3109
0,Line Graph,24C,11,0.3359
0,Line Graph,24C,12,0.3475
0,Line Graph,24C,21,0.3601
0,Line Graph,27C,3,0.017
0,Line Graph,27C,4,0.0791
0,Line Graph,27C,5,0.2599
0,Line Graph,27C,6,0.3666
0,Line Graph,27C,7,0.4733
0,Line Graph,27C,8,0.58
0,Line Graph,27C,9,0.5912
0,Line Graph,27C,10,0.6017
0,Line Graph,27C,12,0.614
0,Line Graph,27C,13,0.6361
0,Line Graph,27C,14,0.6614
0,Line Graph,27C,16,0.6839
0,Line Graph,27C,20,0.6951
0,Line Graph,27C,22,0.7079
0,Line Graph,30C,4,0.1184
0,Line Graph,30C,5,0.5285
0,Line Graph,30C,6,0.57
0,Line Graph,30C,7,0.623
0,Line Graph,30C,8,0.6333
0,Line Graph,30C,10,0.6446
