layer_idx,layer_type,series,x,y,y_lo,y_hi
0,Bar Chart,Baseline,0.75,41.822,,
3,ErrorBarLayer,Baseline_y_err_upper,0.75,44.617,,
3,ErrorBarLayer,Baseline_y_err_lower,0.75,39.027,,
0,Bar Chart,Baseline,1.7515,44.617,,
3,ErrorBarLayer,Baseline_y_err_upper,1.7515,47.723,,
3,ErrorBarLayer,Baseline_y_err_lower,1.7515,41.822,,
0,Bar Chart,Baseline,2.7529,48.654,,
3,ErrorBarLayer,Baseline_y_err_upper,2.7529,52.07,,
3,ErrorBarLayer,Baseline_y_err_lower,2.7529,45.549,,
0,Bar Chart,Baseline,3.7471,50.828,,
3,ErrorBarLayer,Baseline_y_err_upper,3.7471,54.244,,
3,ErrorBarLayer,Baseline_y_err_lower,3.7471,47.412,,
0,Bar Chart,Baseline,4.7485,53.623,,
3,ErrorBarLayer,Baseline_y_err_upper,4.7485,57.66,,
3,ErrorBarLayer,Baseline_y_err_lower,4.7485,49.896,,
1,Bar Chart,Tuned,0.9985,57.66,,
3,ErrorBarLayer,Tuned_y_err_upper,0.9985,61.387,,
3,ErrorBarLayer,Tuned_y_err_lower,0.9985,53.623,,
1,Bar Chart,Tuned,2.0,62.629,,
3,ErrorBarLayer,Tuned_y_err_upper,2.0,66.667,,
3,ErrorBarLayer,Tuned_y_err_lower,2.0,58.282,,
1,Bar Chart,Tuned,3.0015,66.667,,
3,ErrorBarLayer,Tuned_y_err_upper,3.0015,71.014,,
3,ErrorBarLayer,Tuned_y_err_lower,3.0015,62.008,,
1,Bar Chart,Tuned,3.9993,69.772,,
3,ErrorBarLayer,Tuned_y_err_upper,3.9993,74.12,,
3,ErrorBarLayer,Tuned_y_err_lower,3.9993,64.803,,
1,Bar Chart,Tuned,4.9971,73.809,,
3,ErrorBarLayer,Tuned_y_err_upper,4.9971,78.468,,
3,ErrorBarLayer,Tuned_y_err_lower,4.9971,68.53,,
2,Bar Chart,Tuned+JIT,1.2507,70.704,,
3,ErrorBarLayer,Tuned+JIT_y_err_upper,1.2507,75.052,,
3,ErrorBarLayer,Tuned+JIT_y_err_lower,1.2507,65.424,,
2,Bar Chart,Tuned+JIT,2.2485,77.847,,
3,ErrorBarLayer,Tuned+JIT_y_err_upper,2.2485,82.194,,
3,ErrorBarLayer,Tuned+JIT_y_err_lower,2.2485,72.257,,
2,Bar Chart,Tuned+JIT,3.25,81.573,,
3,ErrorBarLayer,Tuned+JIT_y_err_lower,3.25,75.983,,
2,Bar Chart,Tuned+JIT,4.2515,84.679,,
3,ErrorBarLayer,Tuned+JIT_y_err_lower,4.2515,78.778,,
2,Bar Chart,Tuned+JIT,5.2493,88.716,,
3,ErrorBarLayer,Tuned+JIT_y_err_lower,5.2493,82.505,,
