layer_idx,layer_type,series,x,y
0,Line Graph,Exponential,0.4707,80.407952
0,Line Graph,Exponential,0.5399,77.303205
0,Line Graph,Exponential,0.6092,75.300264
0,Line Graph,Exponential,0.6784,73.34922
0,Line Graph,Exponential,0.7476,69.597478
0,Line Graph,Exponential,0.8169,67.794194
0,Line Graph,Exponential,0.8861,66.037633
0,Line Graph,Exponential,0.9553,62.659872
0,Line Graph,Exponential,1.0246,61.036342
0,Line Graph,Exponential,1.0938,59.454879
0,Line Graph,Exponential,1.1631,56.413819
0,Line Graph,Exponential,1.2323,54.952126
0,Line Graph,Exponential,1.3015,53.528306
0,Line Graph,Exponential,1.3708,50.790384
0,Line Graph,Exponential,1.44,49.474396
0,Line Graph,Exponential,1.5092,48.192505
0,Line Graph,Exponential,1.5785,45.727504
0,Line Graph,Exponential,1.6477,44.542696
0,Line Graph,Exponential,1.7169,43.388586
0,Line Graph,Exponential,1.7862,41.713247
0,Line Graph,Exponential,1.8554,40.102597
0,Line Graph,Exponential,1.9247,39.063531
0,Line Graph,Exponential,1.9939,37.555193
0,Line Graph,Exponential,2.0631,36.105096
0,Line Graph,Exponential,2.1324,35.169606
0,Line Graph,Exponential,2.2016,33.811622
0,Line Graph,Exponential,2.2708,32.506073
0,Line Graph,Exponential,2.3401,31.663834
0,Line Graph,Exponential,2.4093,30.441216
0,Line Graph,Exponential,2.4785,29.265807
0,Line Graph,Exponential,2.5478,28.507524
0,Line Graph,Exponential,2.617,27.406779
0,Line Graph,Exponential,2.6862,26.348537
0,Line Graph,Exponential,2.7555,25.665841
0,Line Graph,Exponential,2.8247,25.000834
0,Line Graph,Exponential,2.894,23.722065
0,Line Graph,Exponential,2.9632,23.107422
0,Line Graph,Exponential,3.0324,22.508705
0,Line Graph,Exponential,3.1017,21.357406
0,Line Graph,Exponential,3.1709,20.804031
0,Line Graph,Exponential,3.2401,20.264995
0,Line Graph,Exponential,3.3094,19.22846
0,Line Graph,Exponential,3.3786,18.730247
0,Line Graph,Exponential,3.4478,18.244943
0,Line Graph,Exponential,3.5171,17.311731
0,Line Graph,Exponential,3.5863,16.863181
0,Line Graph,Exponential,3.6555,16.426253
0,Line Graph,Exponential,3.7248,15.586066
0,Line Graph,Exponential,3.794,15.182228
0,Line Graph,Exponential,3.8633,14.788853
0,Line Graph,Exponential,3.9325,14.032418
0,Line Graph,Exponential,4.0017,13.668835
0,Line Graph,Exponential,4.071,13.314673
0,Line Graph,Exponential,4.1402,12.63364
0,Line Graph,Exponential,4.2094,12.3063
0,Line Graph,Exponential,4.2787,11.987441
0,Line Graph,Exponential,4.3479,11.374295
0,Line Graph,Exponential,4.4171,11.079585
0,Line Graph,Exponential,4.4864,10.792511
0,Line Graph,Exponential,4.5556,10.240484
0,Line Graph,Exponential,4.6249,9.975151
0,Line Graph,Exponential,4.6941,9.716693
0,Line Graph,Exponential,4.7633,9.219694
0,Line Graph,Exponential,4.8326,8.98081
0,Line Graph,Exponential,4.9018,8.748115
0,Line Graph,Exponential,4.971,8.300658
0,Line Graph,Exponential,5.0403,8.085586
0,Line Graph,Exponential,5.1095,7.876087
0,Line Graph,Exponential,5.1787,7.473233
0,Line Graph,Exponential,5.248,7.2796
0,Line Graph,Exponential,5.3172,7.090984
0,Line Graph,Exponential,5.3864,6.728287
0,Line Graph,Exponential,5.4557,6.553956
0,Line Graph,Exponential,5.5249,6.384141
0,Line Graph,Exponential,5.5942,6.057599
0,Line Graph,Exponential,5.6634,5.900645
0,Line Graph,Exponential,5.7326,5.747758
0,Line Graph,Exponential,5.8019,5.453766
0,Line Graph,Exponential,5.8711,5.312458
0,Line Graph,Exponential,5.9403,5.174811
0,Line Graph,Exponential,6.0096,4.910124
0,Line Graph,Exponential,6.0788,4.782902
0,Line Graph,Exponential,6.148,4.658976
0,Line Graph,Exponential,6.2173,4.420674
0,Line Graph,Exponential,6.2865,4.306134
0,Line Graph,Exponential,6.3558,4.194561
0,Line Graph,Exponential,6.425,3.980013
0,Line Graph,Exponential,6.4942,3.87689
0,Line Graph,Exponential,6.5635,3.776439
