layer_idx,layer_type,series,x,y
0,Line Graph,China,1941,111627907.0
0,Line Graph,China,1944,111627907.0
0,Line Graph,China,1952,139534883.7
0,Line Graph,China,1953,139534883.7
0,Line Graph,China,1956,223255814.0
0,Line Graph,China,1959,725581395.3
0,Line Graph,China,1962,474418604.7
0,Line Graph,China,1965,502325581.4
0,Line Graph,China,1968,502325581.4
0,Line Graph,China,1971,893023255.8
0,Line Graph,China,1974,1032558139.5
0,Line Graph,China,1977,1339534883.7
0,Line Graph,China,1980,1506976744.2
0,Line Graph,China,1983,1730232558.1
0,Line Graph,China,1986,2120930232.6
0,Line Graph,China,1989,2455813953.5
0,Line Graph,China,1992,2762790697.7
0,Line Graph,China,1995,3293023255.8
0,Line Graph,China,1998,3404651162.8
0,Line Graph,China,2001,3739534883.7
0,Line Graph,China,2004,5190697674.4
0,Line Graph,China,2007,6976744186.0
0,Line Graph,China,2010,8651162790.7
0,Line Graph,China,2013,9934883720.9
0,Line Graph,China,2016,9795348837.2
0,Line Graph,China,2019,10744186046.5
0,Line Graph,China,2022,11609302325.6
0,Line Graph,United States,1801,0.0
0,Line Graph,United States,1804,0.0
0,Line Graph,United States,1807,0.0
0,Line Graph,United States,1810,0.0
0,Line Graph,United States,1813,0.0
0,Line Graph,United States,1816,0.0
0,Line Graph,United States,1819,0.0
0,Line Graph,United States,1822,0.0
0,Line Graph,United States,1825,0.0
0,Line Graph,United States,1828,0.0
0,Line Graph,United States,1831,0.0
0,Line Graph,United States,1834,0.0
0,Line Graph,United States,1837,0.0
0,Line Graph,United States,1840,0.0
0,Line Graph,United States,1843,27906976.7
0,Line Graph,United States,1846,27906976.7
0,Line Graph,United States,1849,27906976.7
0,Line Graph,United States,1852,27906976.7
0,Line Graph,United States,1855,55813953.5
0,Line Graph,United States,1858,55813953.5
0,Line Graph,United States,1861,55813953.5
0,Line Graph,United States,1864,55813953.5
0,Line Graph,United States,1867,83720930.2
0,Line Graph,United States,1870,111627907.0
0,Line Graph,United States,1873,139534883.7
0,Line Graph,United States,1876,139534883.7
0,Line Graph,United States,1879,139534883.7
0,Line Graph,United States,1882,251162790.7
0,Line Graph,United States,1885,279069767.4
0,Line Graph,United States,1888,362790697.7
0,Line Graph,United States,1891,446511627.9
0,Line Graph,United States,1894,362790697.7
0,Line Graph,United States,1897,27906976.7
0,Line Graph,United States,1900,27906976.7
0,Line Graph,United States,1903,362790697.7
0,Line Graph,United States,1906,1032558139.5
0,Line Graph,United States,1909,1200000000.0
0,Line Graph,United States,1912,1367441860.5
0,Line Graph,United States,1915,1395348837.2
0,Line Graph,United States,1918,1674418604.7
0,Line Graph,United States,1921,753488372.1
0,Line Graph,United States,1924,446511627.9
0,Line Graph,United States,1927,55813953.5
0,Line Graph,United States,1930,1730232558.1
0,Line Graph,United States,1933,697674418.6
0,Line Graph,United States,1936,1116279069.8
0,Line Graph,United States,1939,1702325581.4
0,Line Graph,United States,1942,2232558139.5
0,Line Graph,United States,1945,2344186046.5
0,Line Graph,United States,1948,2483720930.2
0,Line Graph,United States,1951,586046511.6
0,Line Graph,United States,1954,2511627907.0
0,Line Graph,United States,1957,2846511627.9
0,Line Graph,United States,1960,2902325581.4
0,Line Graph,United States,1963,3125581395.3
0,Line Graph,United States,1966,3572093023.3
0,Line Graph,United States,1969,4046511627.9
0,Line Graph,United States,1972,2818604651.2
0,Line Graph,United States,1975,4437209302.3
0,Line Graph,United States,1978,1060465116.3
0,Line Graph,United States,1981,4576744186.0
0,Line Graph,United States,1984,4465116279.1
0,Line Graph,United States,1987,4688372093.0
0,Line Graph,United States,1990,5106976744.2
0,Line Graph,United States,1993,976744186.0
0,Line Graph,United States,1996,3293023255.8
0,Line Graph,United States,1999,5832558139.5
0,Line Graph,United States,2002,920930232.6
0,Line Graph,United States,2005,6111627907.0
0,Line Graph,United States,2008,5916279069.8
0,Line Graph,United States,2011,5525581395.3
0,Line Graph,United States,2014,5497674418.6
0,Line Graph,United States,2017,5190697674.4
0,Line Graph,United States,2020,4744186046.5
0,Line Graph,United States,2023,4911627907.0
0,Line Graph,India,1859,0.0
0,Line Graph,India,1862,0.0
0,Line Graph,India,1865,0.0
0,Line Graph,India,1868,0.0
0,Line Graph,India,1871,0.0
0,Line Graph,India,1874,0.0
0,Line Graph,India,1877,0.0
0,Line Graph,India,1880,0.0
0,Line Graph,India,1883,0.0
0,Line Graph,India,1886,0.0
0,Line Graph,India,1889,0.0
0,Line Graph,India,1892,0.0
0,Line Graph,India,1895,0.0
0,Line Graph,India,1903,27906976.7
0,Line Graph,India,1904,27906976.7
0,Line Graph,India,1907,27906976.7
0,Line Graph,India,1910,27906976.7
0,Line Graph,India,1913,27906976.7
0,Line Graph,India,1916,27906976.7
0,Line Graph,India,1920,27906976.7
0,Line Graph,India,1921,27906976.7
0,Line Graph,India,1936,55813953.5
0,Line Graph,India,1937,55813953.5
0,Line Graph,India,1940,55813953.5
0,Line Graph,India,1943,55813953.5
0,Line Graph,India,1946,55813953.5
0,Line Graph,India,1949,55813953.5
0,Line Graph,India,1953,83720930.2
0,Line Graph,India,1955,83720930.2
0,Line Graph,India,1959,111627907.0
0,Line Graph,India,1961,111627907.0
0,Line Graph,India,1964,139534883.7
0,Line Graph,India,1967,167441860.5
0,Line Graph,India,1970,195348837.2
0,Line Graph,India,1973,223255814.0
0,Line Graph,India,1976,251162790.7
0,Line Graph,India,1979,279069767.4
0,Line Graph,India,1982,334883720.9
0,Line Graph,India,1985,390697674.4
0,Line Graph,India,1988,502325581.4
0,Line Graph,India,1992,669767441.9
0,Line Graph,India,1994,725581395.3
0,Line Graph,India,1997,865116279.1
0,Line Graph,India,2000,976744186.0
0,Line Graph,India,2003,1088372093.0
0,Line Graph,India,2006,1311627907.0
0,Line Graph,India,2009,1618604651.2
0,Line Graph,India,2012,1897674418.6
0,Line Graph,India,2015,2232558139.5
0,Line Graph,India,2018,2567441860.5
0,Line Graph,India,2021,2651162790.7
0,Line Graph,India,2024,3181395348.8
0,Line Graph,Germany,1881,139534883.7
0,Line Graph,Germany,1884,167441860.5
0,Line Graph,Germany,1887,167441860.5
0,Line Graph,Germany,1890,223255814.0
0,Line Graph,Germany,1893,223255814.0
0,Line Graph,Germany,1896,251162790.7
0,Line Graph,Germany,1899,306976744.2
0,Line Graph,Germany,1902,334883720.9
0,Line Graph,Germany,1905,390697674.4
0,Line Graph,Germany,1907,418604651.2
0,Line Graph,Germany,1919,418604651.2
0,Line Graph,Germany,1923,362790697.7
0,Line Graph,Germany,1924,418604651.2
0,Line Graph,Germany,1929,530232558.1
0,Line Graph,Germany,1932,362790697.7
0,Line Graph,Germany,1937,558139534.9
0,Line Graph,Germany,1938,613953488.4
0,Line Graph,Germany,1941,669767441.9
0,Line Graph,Germany,1944,613953488.4
0,Line Graph,Germany,1947,306976744.2
