layer_idx,layer_type,series,x,y
0,Line Graph,Ghana,1932,36.349
0,Line Graph,Ghana,1933,35.663
0,Line Graph,Ghana,1934,32.212
0,Line Graph,Ghana,1935,29.651
0,Line Graph,Ghana,1936,33.669
0,Line Graph,Ghana,1937,33.002
0,Line Graph,Ghana,1938,32.395
0,Line Graph,Ghana,1939,31.783
0,Line Graph,Ghana,1940,31.114
0,Line Graph,Ghana,1941,30.428
0,Line Graph,Ghana,1942,29.777
0,Line Graph,Ghana,1943,19.503
0,Line Graph,Ghana,1944,28.517
0,Line Graph,Ghana,1945,27.941
0,Line Graph,Ghana,1946,27.386
0,Line Graph,Ghana,1947,26.504
0,Line Graph,Ghana,1948,26.22
0,Line Graph,Ghana,1949,25.665
0,Line Graph,Ghana,1950,25.053
0,Line Graph,Ghana,1951,24.498
0,Line Graph,Ghana,1952,23.943
0,Line Graph,Ghana,1953,23.445
0,Line Graph,Ghana,1954,22.232
0,Line Graph,Ghana,1955,22.478
0,Line Graph,Ghana,1956,22.061
0,Line Graph,Ghana,1957,21.668
0,Line Graph,Ghana,1958,18.563
0,Line Graph,Ghana,1959,20.999
0,Line Graph,Ghana,1960,20.82
0,Line Graph,Ghana,1961,20.568
0,Line Graph,Ghana,1962,20.429
0,Line Graph,Ghana,1963,20.291
0,Line Graph,Ghana,1964,11.588
0,Line Graph,Ghana,1965,17.436
0,Line Graph,Ghana,1966,10.221
0,Line Graph,Ghana,1967,3.006
0,Line Graph,Ghana,1968,20.237
0,Line Graph,Ghana,1969,20.188
0,Line Graph,Ghana,1970,20.124
0,Line Graph,Ghana,1971,9.171
0,Line Graph,Ghana,1972,18.878
0,Line Graph,Ghana,1973,19.415
0,Line Graph,Ghana,1974,18.945
0,Line Graph,Ghana,1975,18.469
0,Line Graph,Ghana,1976,17.949
0,Line Graph,Ghana,1977,17.466
0,Line Graph,Ghana,1978,12.581
0,Line Graph,Ghana,1979,14.469
0,Line Graph,Ghana,1980,1.422
0,Line Graph,Ghana,1981,1.394
0,Line Graph,Ghana,1982,16.262
0,Line Graph,Ghana,1983,16.043
0,Line Graph,Ghana,1984,3.913
0,Line Graph,Ghana,1985,15.328
0,Line Graph,Ghana,1986,14.784
0,Line Graph,Ghana,1987,14.229
0,Line Graph,Ghana,1988,1.148
0,Line Graph,Ghana,1989,1.073
0,Line Graph,Ghana,1990,1.034
0,Line Graph,Ghana,1991,0.994
0,Line Graph,Ghana,1992,3.86
0,Line Graph,Ghana,1993,7.527
0,Line Graph,Ghana,1994,11.193
0,Line Graph,Ghana,1995,3.456
0,Line Graph,Ghana,1996,11.169
0,Line Graph,Ghana,1997,10.909
0,Line Graph,Ghana,1998,10.631
0,Line Graph,Ghana,1999,10.079
0,Line Graph,Ghana,2000,0.815
0,Line Graph,Ghana,2001,8.616
0,Line Graph,Ghana,2002,9.067
0,Line Graph,Ghana,2003,8.676
0,Line Graph,Ghana,2004,8.398
0,Line Graph,Ghana,2005,8.083
0,Line Graph,Ghana,2006,7.78
0,Line Graph,Ghana,2007,7.452
0,Line Graph,Ghana,2008,7.175
0,Line Graph,Ghana,2009,6.815
0,Line Graph,Ghana,2010,0.702
0,Line Graph,Ghana,2011,2.513
0,Line Graph,Ghana,2012,5.85
0,Line Graph,Ghana,2013,5.573
0,Line Graph,Ghana,2014,5.396
0,Line Graph,Ghana,2015,5.119
0,Line Graph,Ghana,2016,4.904
0,Line Graph,Ghana,2017,4.677
0,Line Graph,Ghana,2018,4.513
0,Line Graph,Ghana,2019,4.236
0,Line Graph,Ghana,2020,4.072
0,Line Graph,Ghana,2021,3.908
0,Line Graph,Ghana,2022,3.744
1,Line Graph,India,1911,33.471
1,Line Graph,India,1912,33.104
1,Line Graph,India,1913,32.511
1,Line Graph,India,1914,33.841
1,Line Graph,India,1915,32.913
1,Line Graph,India,1916,32.954
1,Line Graph,India,1917,36.585
1,Line Graph,India,1918,41.197
1,Line Graph,India,1919,34.94
1,Line Graph,India,1920,31.823
1,Line Graph,India,1921,30.99
1,Line Graph,India,1922,28.458
1,Line Graph,India,1923,29.154
1,Line Graph,India,1924,29.847
1,Line Graph,India,1925,28.925
1,Line Graph,India,1926,29.421
1,Line Graph,India,1927,27.429
1,Line Graph,India,1928,28.262
1,Line Graph,India,1929,29.038
1,Line Graph,India,1930,29.217
1,Line Graph,India,1931,28.533
1,Line Graph,India,1932,27.486
1,Line Graph,India,1933,28.487
1,Line Graph,India,1934,29.286
1,Line Graph,India,1935,26.622
1,Line Graph,India,1936,26.257
1,Line Graph,India,1937,26.554
1,Line Graph,India,1938,26.547
1,Line Graph,India,1939,25.534
1,Line Graph,India,1940,25.859
1,Line Graph,India,1941,25.891
1,Line Graph,India,1942,26.499
1,Line Graph,India,1943,26.938
1,Line Graph,India,1944,26.51
1,Line Graph,India,1945,24.506
1,Line Graph,India,1946,24.957
1,Line Graph,India,1947,25.399
1,Line Graph,India,1948,25.84
1,Line Graph,India,1949,26.281
1,Line Graph,India,1950,26.598
1,Line Graph,India,1951,26.711
1,Line Graph,India,1952,26.733
1,Line Graph,India,1953,26.718
1,Line Graph,India,1954,26.297
1,Line Graph,India,1955,25.856
1,Line Graph,India,1956,25.414
1,Line Graph,India,1957,25.053
1,Line Graph,India,1958,24.636
1,Line Graph,India,1959,24.277
1,Line Graph,India,1960,23.959
1,Line Graph,India,1961,23.625
1,Line Graph,India,1962,23.347
1,Line Graph,India,1963,23.07
1,Line Graph,India,1964,22.792
1,Line Graph,India,1965,22.569
1,Line Graph,India,1966,22.294
1,Line Graph,India,1967,22.073
1,Line Graph,India,1968,21.853
1,Line Graph,India,1969,21.575
1,Line Graph,India,1970,21.298
1,Line Graph,India,1971,21.02
1,Line Graph,India,1972,20.629
1,Line Graph,India,1973,20.295
1,Line Graph,India,1974,19.854
1,Line Graph,India,1975,19.413
1,Line Graph,India,1976,18.904
1,Line Graph,India,1977,18.401
1,Line Graph,India,1978,17.804
1,Line Graph,India,1979,17.249
1,Line Graph,India,1980,16.728
1,Line Graph,India,1981,16.196
