layer_idx,layer_type,series,x,y,axis
0,Line Graph,Drive current (A),0.0939,0.4208,left
0,Line Graph,Drive current (A),0.4343,0.4387,left
0,Line Graph,Drive current (A),0.8713,0.4647,left
0,Line Graph,Drive current (A),1.3005,0.5046,left
0,Line Graph,Drive current (A),1.7559,0.5181,left
0,Line Graph,Drive current (A),2.1851,0.558,left
0,Line Graph,Drive current (A),2.6223,0.5538,left
0,Line Graph,Drive current (A),3.056,0.581,left
0,Line Graph,Drive current (A),3.493,0.5893,left
0,Line Graph,Drive current (A),3.9251,0.6374,left
0,Line Graph,Drive current (A),4.3542,0.6951,left
0,Line Graph,Drive current (A),4.7958,0.6935,left
0,Line Graph,Drive current (A),5.225,0.7258,left
0,Line Graph,Drive current (A),5.652,0.71,left
0,Line Graph,Drive current (A),6.0964,0.7594,left
0,Line Graph,Drive current (A),6.5307,0.7925,left
0,Line Graph,Drive current (A),6.9621,0.8402,left
0,Line Graph,Drive current (A),7.3987,0.8429,left
0,Line Graph,Drive current (A),7.8357,0.8638,left
0,Line Graph,Drive current (A),8.2699,0.8994,left
0,Line Graph,Drive current (A),8.6969,0.9467,left
0,Line Graph,Drive current (A),9.1357,0.9344,left
0,Line Graph,Drive current (A),9.5727,0.963,left
0,Line Graph,Drive current (A),9.8976,0.9995,left
1,Line Graph,Cell voltage (V),0.0433,12.1633,right
1,Line Graph,Cell voltage (V),0.432,11.839,right
1,Line Graph,Cell voltage (V),0.8663,11.3814,right
1,Line Graph,Cell voltage (V),1.3005,11.5006,right
1,Line Graph,Cell voltage (V),1.7509,11.517,right
1,Line Graph,Cell voltage (V),2.1851,11.1271,right
1,Line Graph,Cell voltage (V),2.6213,10.8566,right
1,Line Graph,Cell voltage (V),3.0518,10.8729,right
1,Line Graph,Cell voltage (V),3.4879,10.7882,right
1,Line Graph,Cell voltage (V),3.9222,10.2458,right
1,Line Graph,Cell voltage (V),4.3565,10.1272,right
1,Line Graph,Cell voltage (V),4.7908,10.3626,right
1,Line Graph,Cell voltage (V),5.225,10.0763,right
1,Line Graph,Cell voltage (V),5.6574,9.8403,right
1,Line Graph,Cell voltage (V),6.0936,9.3136,right
1,Line Graph,Cell voltage (V),6.526,9.4492,right
1,Line Graph,Cell voltage (V),6.9639,9.1115,right
1,Line Graph,Cell voltage (V),7.3964,9.3136,right
1,Line Graph,Cell voltage (V),7.8325,8.7725,right
1,Line Graph,Cell voltage (V),8.2649,8.9068,right
1,Line Graph,Cell voltage (V),8.6992,8.4492,right
1,Line Graph,Cell voltage (V),9.1334,8.3136,right
1,Line Graph,Cell voltage (V),9.5677,8.195,right
1,Line Graph,Cell voltage (V),9.9042,8.1182,right
