layer_idx,layer_type,series,x,y
0,Scatter Plot,Series A,1.5309,2.7431
0,Scatter Plot,Series A,1.8134,4.4521
0,Scatter Plot,Series A,2.396,4.3643
0,Scatter Plot,Series A,2.4136,3.7226
0,Scatter Plot,Series A,3.1375,3.4524
0,Scatter Plot,Series A,3.4905,4.9385
0,Scatter Plot,Series A,4.4615,4.9047
0,Scatter Plot,Series A,5.1324,6.1544
0,Scatter Plot,Series A,5.4502,6.1882
0,Scatter Plot,Series A,5.768,6.965
0,Scatter Plot,Series A,6.5801,7.1339
0,Scatter Plot,Series A,6.739,7.6743
0,Scatter Plot,Series A,7.6217,8.3836
0,Scatter Plot,Series A,7.8335,8.6876
0,Scatter Plot,Series A,9.1929,8.9375
0,Scatter Plot,Series B,1.4426,4.8034
0,Scatter Plot,Series B,1.8487,4.9385
0,Scatter Plot,Series B,1.8487,4.1954
0,Scatter Plot,Series B,2.7844,4.0603
0,Scatter Plot,Series B,3.5612,5.614
0,Scatter Plot,Series B,3.9672,4.4656
0,Scatter Plot,Series B,4.2497,5.31
0,Scatter Plot,Series B,5.0265,5.5464
0,Scatter Plot,Series B,5.9798,5.0398
0,Scatter Plot,Series B,7.198,6.9312
0,Scatter Plot,Series B,9.1929,7.4379
0,Scatter Plot,Series B,9.6873,7.877
0,Scatter Plot,Series C,2.3831,5.8467
0,Scatter Plot,Series C,2.4951,5.7029
0,Scatter Plot,Series C,2.6431,6.222
0,Scatter Plot,Series C,2.9786,4.9047
0,Scatter Plot,Series C,3.6494,4.6683
0,Scatter Plot,Series C,6.4741,4.3643
0,Scatter Plot,Series C,7.145,5.0398
0,Scatter Plot,Series C,7.198,4.3305
0,Scatter Plot,Series C,7.8512,4.0941
0,Scatter Plot,Series C,8.1866,4.4319
