layer_idx,layer_type,series,x,y
1,Line Graph,Trend Line,12.9226,0.0119
1,Line Graph,Trend Line,13.4652,0.0266
1,Line Graph,Trend Line,14.0078,0.0486
1,Line Graph,Trend Line,14.5505,0.0706
1,Line Graph,Trend Line,15.0931,0.0926
1,Line Graph,Trend Line,15.6358,0.1146
1,Line Graph,Trend Line,16.1784,0.1366
1,Line Graph,Trend Line,16.721,0.1586
1,Line Graph,Trend Line,17.2637,0.1806
1,Line Graph,Trend Line,17.8063,0.2027
1,Line Graph,Trend Line,18.349,0.2247
1,Line Graph,Trend Line,18.8916,0.2455
1,Line Graph,Trend Line,19.4342,0.2675
1,Line Graph,Trend Line,19.9769,0.2883
1,Line Graph,Trend Line,20.5195,0.3103
1,Line Graph,Trend Line,21.0622,0.3323
1,Line Graph,Trend Line,21.6048,0.3543
1,Line Graph,Trend Line,22.1474,0.3763
1,Line Graph,Trend Line,22.6901,0.3983
1,Line Graph,Trend Line,23.2327,0.4204
1,Line Graph,Trend Line,23.7754,0.4424
1,Line Graph,Trend Line,24.318,0.4644
1,Line Graph,Trend Line,24.8606,0.4864
1,Line Graph,Trend Line,25.4033,0.5084
1,Line Graph,Trend Line,25.9459,0.5304
1,Line Graph,Trend Line,26.4886,0.5524
1,Line Graph,Trend Line,27.0312,0.5745
1,Line Graph,Trend Line,27.5738,0.5965
1,Line Graph,Trend Line,28.1165,0.6185
1,Line Graph,Trend Line,28.6591,0.6405
1,Line Graph,Trend Line,29.2018,0.6625
1,Line Graph,Trend Line,29.7444,0.6833
1,Line Graph,Trend Line,30.0338,0.6943
0,Scatter Plot,24C,24.010504,0.357985
0,Scatter Plot,30C,30.01572,0.641721
