layer_idx,layer_type,series,x,y
0,Scatter Plot,24C,27.379337,0.752411
0,Scatter Plot,24C,56.894414,0.496697
0,Scatter Plot,24C,37.410605,0.600465
0,Scatter Plot,24C,33.423819,0.681997
0,Scatter Plot,24C,31.430426,0.706086
0,Scatter Plot,24C,28.408185,0.752411
0,Scatter Plot,24C,26.414792,0.787618
0,Scatter Plot,24C,25.385944,0.835796
0,Scatter Plot,24C,23.392551,0.835796
0,Scatter Plot,24C,19.405765,0.858032
0,Scatter Plot,24C,17.412372,0.89324
0,Scatter Plot,24C,15.418979,0.952535
0,Scatter Plot,24C,35.417212,0.657908
0,Scatter Plot,24C,24.421399,0.835796
0,Scatter Plot,24C,22.428006,0.835796
0,Scatter Plot,24C,38.439453,0.565258
0,Scatter Plot,24C,29.37273,0.730175
0,Scatter Plot,24C,34.388364,0.670879
0,Scatter Plot,24C,32.394971,0.694968
0,Scatter Plot,24C,30.401578,0.706086
0,Scatter Plot,24C,18.376917,0.858032
0,Scatter Plot,24C,20.434613,0.858032
0,Scatter Plot,24C,21.399158,0.846914
0,Scatter Plot,24C,16.447827,0.89324
0,Scatter Plot,24C,58.116171,0.555993
0,Scatter Plot,27C,26.38264,0.787618
0,Scatter Plot,27C,24.389248,0.83209
0,Scatter Plot,27C,36.478212,0.631966
0,Scatter Plot,27C,33.391668,0.681997
0,Scatter Plot,27C,28.376034,0.752411
0,Scatter Plot,27C,27.347186,0.752411
0,Scatter Plot,27C,34.484818,0.667173
0,Scatter Plot,27C,31.398274,0.70238
0,Scatter Plot,27C,30.305123,0.70238
0,Scatter Plot,27C,29.340578,0.726469
0,Scatter Plot,27C,25.353792,0.83209
0,Scatter Plot,27C,22.395854,0.83209
0,Scatter Plot,30C,26.38264,0.787618
0,Scatter Plot,30C,24.389248,0.83209
0,Scatter Plot,30C,36.478212,0.631966
0,Scatter Plot,30C,33.391668,0.681997
0,Scatter Plot,30C,28.376034,0.752411
0,Scatter Plot,30C,27.347186,0.752411
0,Scatter Plot,30C,34.484818,0.667173
0,Scatter Plot,30C,31.398274,0.70238
0,Scatter Plot,30C,30.305123,0.70238
0,Scatter Plot,30C,29.340578,0.726469
0,Scatter Plot,30C,25.353792,0.83209
0,Scatter Plot,30C,22.395854,0.83209
