layer_idx,layer_type,series,x,y
0,Line Graph,Oceania,1770.2,34.16
0,Line Graph,Oceania,1770.9,34.44
0,Line Graph,Oceania,1771.7,34.44
0,Line Graph,Oceania,1772.4,34.44
0,Line Graph,Oceania,1774.6,34.25
0,Line Graph,Oceania,1775.4,34.25
0,Line Graph,Oceania,1776.1,34.25
0,Line Graph,Oceania,1776.9,34.25
0,Line Graph,Oceania,1777.6,34.25
0,Line Graph,Oceania,1778.3,34.25
0,Line Graph,Oceania,1779.8,34.06
0,Line Graph,Oceania,1780.6,34.06
0,Line Graph,Oceania,1781.3,34.06
0,Line Graph,Oceania,1782.0,34.06
0,Line Graph,Oceania,1782.8,34.06
0,Line Graph,Oceania,1783.5,34.06
0,Line Graph,Oceania,1784.3,34.06
0,Line Graph,Oceania,1785.8,33.87
0,Line Graph,Oceania,1786.5,33.87
0,Line Graph,Oceania,1787.2,33.87
0,Line Graph,Oceania,1788.0,33.87
0,Line Graph,Oceania,1788.7,33.87
0,Line Graph,Oceania,1789.5,33.87
0,Line Graph,Oceania,1791.7,33.68
0,Line Graph,Oceania,1792.4,33.68
0,Line Graph,Oceania,1793.2,33.68
0,Line Graph,Oceania,1793.9,33.68
0,Line Graph,Oceania,1794.7,33.68
0,Line Graph,Oceania,1795.4,33.68
0,Line Graph,Oceania,1796.9,33.5
0,Line Graph,Oceania,1797.6,33.5
0,Line Graph,Oceania,1798.4,33.5
0,Line Graph,Oceania,1799.1,33.46
0,Line Graph,Oceania,1799.9,33.48
0,Line Graph,Oceania,1801.3,33.68
0,Line Graph,Oceania,1802.1,33.68
0,Line Graph,Oceania,1802.8,33.87
0,Line Graph,Oceania,1803.6,33.87
0,Line Graph,Oceania,1804.3,34.06
0,Line Graph,Oceania,1805.0,34.06
0,Line Graph,Oceania,1805.8,34.25
0,Line Graph,Oceania,1806.5,34.25
0,Line Graph,Oceania,1807.3,34.44
0,Line Graph,Oceania,1808.0,34.44
0,Line Graph,Oceania,1809.5,34.63
0,Line Graph,Oceania,1810.2,34.63
0,Line Graph,Oceania,1815.4,35.39
0,Line Graph,Oceania,1816.2,35.39
0,Line Graph,Oceania,1816.9,35.39
0,Line Graph,Oceania,1817.7,35.58
0,Line Graph,Oceania,1818.4,35.58
0,Line Graph,Oceania,1819.1,35.76
0,Line Graph,Oceania,1819.9,35.78
0,Line Graph,Oceania,1820.6,35.77
0,Line Graph,Oceania,1821.4,35.77
0,Line Graph,Oceania,1824.3,35.96
0,Line Graph,Oceania,1825.1,35.96
0,Line Graph,Oceania,1825.8,35.96
0,Line Graph,Oceania,1826.6,35.96
0,Line Graph,Oceania,1827.3,35.96
0,Line Graph,Oceania,1828.0,35.96
0,Line Graph,Oceania,1828.8,35.96
0,Line Graph,Oceania,1829.5,35.96
0,Line Graph,Oceania,1832.5,36.15
0,Line Graph,Oceania,1833.2,36.15
0,Line Graph,Oceania,1834.0,36.15
0,Line Graph,Oceania,1834.7,36.15
0,Line Graph,Oceania,1835.5,36.15
0,Line Graph,Oceania,1836.2,36.15
0,Line Graph,Oceania,1836.9,36.15
0,Line Graph,Oceania,1837.7,36.15
0,Line Graph,Oceania,1840.7,36.34
0,Line Graph,Oceania,1841.4,36.34
