series,age_days,daily_survival_p
24C,8.73,0.956
24C,9.73,0.9568
24C,10.72,0.9587
24C,11.73,0.9622
24C,12.74,0.9635
24C,13.73,0.9651
24C,14.73,0.9672
24C,15.73,0.9677
24C,16.72,0.9681
24C,17.72,0.9681
24C,18.72,0.9684
24C,19.73,0.9688
24C,20.74,0.9688
24C,21.73,0.9691
24C,22.75,0.9691
24C,23.71,0.9694
24C,24.73,0.9696
24C,25.72,0.9698
24C,26.72,0.9708
24C,27.73,0.971
24C,28.73,0.9724
24C,29.74,0.9724
24C,30.73,0.9727
24C,31.73,0.9727
24C,32.7,0.9729
24C,33.72,0.973
24C,34.71,0.973
24C,35.73,0.9732
24C,36.13,0.9745
24C,36.73,0.9732
24C,38.09,0.9748
27C,37.31,0.9743
27C,29.32,0.9741
27C,28.35,0.9732
27C,26.31,0.9729
27C,25.32,0.9728
27C,18.35,0.9725
27C,23.33,0.9725
27C,24.41,0.9726
27C,16.32,0.972
27C,20.33,0.9721
27C,19.35,0.9719
27C,17.36,0.9715
27C,15.36,0.9708
27C,14.33,0.9701
30C,33.78,0.9745
30C,34.87,0.9747
30C,34.77,0.9741
30C,35.42,0.9736
30C,31.14,0.9735
30C,29.15,0.9733
30C,29.51,0.9734
30C,25.25,0.9723
30C,28.87,0.9718
30C,26.8,0.9702
30C,27.8,0.9704
30C,25.78,0.969
30C,24.83,0.968
30C,23.93,0.9671
30C,22.8,0.9658
30C,21.9,0.9653
30C,20.85,0.9649
30C,18.92,0.9644
