layer_idx,layer_type,series,x,y
0,Line Graph,exp_decay,0.5,77.8801
0,Line Graph,exp_decay,0.661,71.8558
0,Line Graph,exp_decay,0.822,66.2976
0,Line Graph,exp_decay,0.9831,61.1693
0,Line Graph,exp_decay,1.1441,56.4376
0,Line Graph,exp_decay,1.3051,52.072
0,Line Graph,exp_decay,1.4661,48.0441
0,Line Graph,exp_decay,1.6271,44.3277
0,Line Graph,exp_decay,1.7881,40.8989
0,Line Graph,exp_decay,1.9492,37.7352
0,Line Graph,exp_decay,2.1102,34.8163
0,Line Graph,exp_decay,2.2712,32.1232
0,Line Graph,exp_decay,2.4322,29.6383
0,Line Graph,exp_decay,2.5932,27.3457
0,Line Graph,exp_decay,2.7542,25.2304
0,Line Graph,exp_decay,2.9153,23.2788
0,Line Graph,exp_decay,3.0763,21.4781
0,Line Graph,exp_decay,3.2373,19.8167
0,Line Graph,exp_decay,3.3983,18.2838
0,Line Graph,exp_decay,3.5593,16.8695
0,Line Graph,exp_decay,3.7203,15.5646
0,Line Graph,exp_decay,3.8814,14.3607
0,Line Graph,exp_decay,4.0424,13.2498
0,Line Graph,exp_decay,4.2034,12.2249
0,Line Graph,exp_decay,4.3644,11.2793
0,Line Graph,exp_decay,4.5254,10.4068
0,Line Graph,exp_decay,4.6864,9.6018
0,Line Graph,exp_decay,4.8475,8.8591
0,Line Graph,exp_decay,5.0085,8.1738
0,Line Graph,exp_decay,5.1695,7.5415
0,Line Graph,exp_decay,5.3305,6.9582
0,Line Graph,exp_decay,5.4915,6.4199
0,Line Graph,exp_decay,5.6525,5.9233
0,Line Graph,exp_decay,5.8136,5.4651
0,Line Graph,exp_decay,5.9746,5.0424
0,Line Graph,exp_decay,6.1356,4.6524
0,Line Graph,exp_decay,6.2966,4.2925
0,Line Graph,exp_decay,6.4576,3.9604
0,Line Graph,exp_decay,6.6186,3.6541
0,Line Graph,exp_decay,6.7797,3.3714
0,Line Graph,exp_decay,6.9407,3.1106
0,Line Graph,exp_decay,7.1017,2.87
0,Line Graph,exp_decay,7.2627,2.648
0,Line Graph,exp_decay,7.4237,2.4432
0,Line Graph,exp_decay,7.5847,2.2542
0,Line Graph,exp_decay,7.7458,2.0798
0,Line Graph,exp_decay,7.9068,1.919
0,Line Graph,exp_decay,8.0678,1.7705
0,Line Graph,exp_decay,8.2288,1.6336
0,Line Graph,exp_decay,8.3898,1.5072
0,Line Graph,exp_decay,8.5508,1.3906
0,Line Graph,exp_decay,8.7119,1.283
0,Line Graph,exp_decay,8.8729,1.1838
0,Line Graph,exp_decay,9.0339,1.0922
0,Line Graph,exp_decay,9.1949,1.0077
0,Line Graph,exp_decay,9.3559,0.9298
0,Line Graph,exp_decay,9.5169,0.8579
0,Line Graph,exp_decay,9.678,0.7915
0,Line Graph,exp_decay,9.839,0.7303
0,Line Graph,exp_decay,10.0,0.6738
0,Line Graph,power_law,0.5,1515.7166
0,Line Graph,power_law,0.661,969.6832
0,Line Graph,power_law,0.822,684.1423
0,Line Graph,power_law,0.9831,513.8643
0,Line Graph,power_law,1.1441,403.1319
0,Line Graph,power_law,1.3051,326.5488
0,Line Graph,power_law,1.4661,271.0862
0,Line Graph,power_law,1.6271,229.4559
0,Line Graph,power_law,1.7881,197.301
0,Line Graph,power_law,1.9492,171.8766
0,Line Graph,power_law,2.1102,151.3778
0,Line Graph,power_law,2.2712,134.5754
0,Line Graph,power_law,2.4322,120.6064
0,Line Graph,power_law,2.5932,108.8496
0,Line Graph,power_law,2.7542,98.848
0,Line Graph,power_law,2.9153,90.2584
0,Line Graph,power_law,3.0763,82.8191
0,Line Graph,power_law,3.2373,76.3273
0,Line Graph,power_law,3.3983,70.6237
0,Line Graph,power_law,3.5593,65.5817
0,Line Graph,power_law,3.7203,61.0995
0,Line Graph,power_law,3.8814,57.0948
0,Line Graph,power_law,4.0424,53.4998
0,Line Graph,power_law,4.2034,50.2586
0,Line Graph,power_law,4.3644,47.3249
0,Line Graph,power_law,4.5254,44.6596
0,Line Graph,power_law,4.6864,42.23
0,Line Graph,power_law,4.8475,40.0081
0,Line Graph,power_law,5.0085,37.9701
0,Line Graph,power_law,5.1695,36.0955
0,Line Graph,power_law,5.3305,34.3669
0,Line Graph,power_law,5.4915,32.7689
0,Line Graph,power_law,5.6525,31.2881
0,Line Graph,power_law,5.8136,29.9132
0,Line Graph,power_law,5.9746,28.6338
0,Line Graph,power_law,6.1356,27.441
0,Line Graph,power_law,6.2966,26.3269
0,Line Graph,power_law,6.4576,25.2844
0,Line Graph,power_law,6.6186,24.3075
0,Line Graph,power_law,6.7797,23.3904
0,Line Graph,power_law,6.9407,22.5282
0,Line Graph,power_law,7.1017,21.7165
0,Line Graph,power_law,7.2627,20.9513
0,Line Graph,power_law,7.4237,20.229
0,Line Graph,power_law,7.5847,19.5463
0,Line Graph,power_law,7.7458,18.9002
0,Line Graph,power_law,7.9068,18.2882
0,Line Graph,power_law,8.0678,17.7077
0,Line Graph,power_law,8.2288,17.1566
0,Line Graph,power_law,8.3898,16.6328
0,Line Graph,power_law,8.5508,16.1345
0,Line Graph,power_law,8.7119,15.66
0,Line Graph,power_law,8.8729,15.2078
0,Line Graph,power_law,9.0339,14.7764
0,Line Graph,power_law,9.1949,14.3646
0,Line Graph,power_law,9.3559,13.9711
0,Line Graph,power_law,9.5169,13.5948
0,Line Graph,power_law,9.678,13.2347
0,Line Graph,power_law,9.839,12.8899
0,Line Graph,power_law,10.0,12.5594
