layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Line Graph,24°C,7,0.07,,,,,,
,Line Graph,24°C,8,0.18,,,,,,
,Line Graph,24°C,9,0.31,,,,,,
,Line Graph,24°C,11,0.33,,,,,,
,Line Graph,24°C,12,0.34,,,,,,
,Line Graph,24°C,20.5,0.36,,,,,,
,Line Graph,27°C,3,0.01,,,,,,
,Line Graph,27°C,4,0.08,,,,,,
,Line Graph,27°C,5,0.26,,,,,,
,Line Graph,27°C,6,0.36,,,,,,
,Line Graph,27°C,7,0.47,,,,,,
,Line Graph,27°C,8,0.58,,,,,,
,Line Graph,27°C,9,0.59,,,,,,
,Line Graph,27°C,10,0.6,,,,,,
,Line Graph,27°C,12,0.61,,,,,,
,Line Graph,27°C,13,0.63,,,,,,
,Line Graph,27°C,14,0.66,,,,,,
,Line Graph,27°C,16,0.68,,,,,,
,Line Graph,27°C,20,0.69,,,,,,
,Line Graph,27°C,22,0.7,,,,,,
,Line Graph,30°C,4,0.11,,,,,,
,Line Graph,30°C,5,0.52,,,,,,
,Line Graph,30°C,6,0.57,,,,,,
,Line Graph,30°C,7,0.62,,,,,,
,Line Graph,30°C,8,0.63,,,,,,
,Line Graph,30°C,10,0.64,,,,,,
