layer_idx,layer_type,series,x,y,error_x_plus,error_x_minus,error_y_plus,error_y_minus,y_lo,y_hi
,Scatter Plot,24 °C,9,1.0,,,,,,
,Scatter Plot,24 °C,10,0.97,,,,,,
,Scatter Plot,24 °C,11,0.89,,,,,,
,Scatter Plot,24 °C,12,0.76,,,,,,
,Scatter Plot,24 °C,13,0.71,,,,,,
,Scatter Plot,24 °C,14,0.65,,,,,,
,Scatter Plot,24 °C,15,0.58,,,,,,
,Scatter Plot,24 °C,16,0.56,,,,,,
,Scatter Plot,24 °C,17,0.55,,,,,,
,Scatter Plot,24 °C,18,0.54,,,,,,
,Scatter Plot,24 °C,19,0.52,,,,,,
,Scatter Plot,24 °C,20,0.52,,,,,,
,Scatter Plot,24 °C,21,0.51,,,,,,
,Scatter Plot,24 °C,22,0.51,,,,,,
,Scatter Plot,24 °C,23,0.49,,,,,,
,Scatter Plot,24 °C,24,0.48,,,,,,
,Scatter Plot,24 °C,25,0.46,,,,,,
,Scatter Plot,24 °C,26,0.4,,,,,,
,Scatter Plot,24 °C,27,0.39,,,,,,
,Scatter Plot,24 °C,28,0.3,,,,,,
,Scatter Plot,24 °C,29,0.3,,,,,,
,Scatter Plot,24 °C,30,0.28,,,,,,
,Scatter Plot,24 °C,31,0.28,,,,,,
,Scatter Plot,24 °C,32,0.27,,,,,,
,Scatter Plot,24 °C,33,0.25,,,,,,
,Scatter Plot,24 °C,34,0.25,,,,,,
,Scatter Plot,24 °C,35,0.22,,,,,,
,Scatter Plot,24 °C,36,0.21,,,,,,
,Scatter Plot,27 °C,14,1.0,,,,,,
,Scatter Plot,27 °C,15,0.95,,,,,,
,Scatter Plot,27 °C,16,0.89,,,,,,
,Scatter Plot,27 °C,17,0.89,,,,,,
,Scatter Plot,27 °C,18,0.86,,,,,,
,Scatter Plot,27 °C,19,0.86,,,,,,
,Scatter Plot,27 °C,20,0.86,,,,,,
,Scatter Plot,27 °C,21,0.85,,,,,,
,Scatter Plot,27 °C,22,0.83,,,,,,
,Scatter Plot,27 °C,23,0.83,,,,,,
,Scatter Plot,27 °C,24,0.83,,,,,,
,Scatter Plot,27 °C,25,0.83,,,,,,
,Scatter Plot,27 °C,26,0.79,,,,,,
,Scatter Plot,27 °C,27,0.75,,,,,,
,Scatter Plot,27 °C,28,0.75,,,,,,
,Scatter Plot,27 °C,29,0.73,,,,,,
,Scatter Plot,27 °C,30,0.71,,,,,,
,Scatter Plot,27 °C,31,0.71,,,,,,
,Scatter Plot,27 °C,32,0.69,,,,,,
,Scatter Plot,27 °C,33,0.68,,,,,,
,Scatter Plot,27 °C,34,0.67,,,,,,
,Scatter Plot,27 °C,35,0.66,,,,,,
,Scatter Plot,27 °C,36,0.63,,,,,,
,Scatter Plot,27 °C,37,0.6,,,,,,
,Scatter Plot,27 °C,38,0.56,,,,,,
,Scatter Plot,30 °C,19,1.0,,,,,,
,Scatter Plot,30 °C,20,0.99,,,,,,
,Scatter Plot,30 °C,21,0.95,,,,,,
,Scatter Plot,30 °C,22,0.9,,,,,,
,Scatter Plot,30 °C,23,0.85,,,,,,
,Scatter Plot,30 °C,24,0.69,,,,,,
,Scatter Plot,30 °C,25,0.63,,,,,,
,Scatter Plot,30 °C,26,0.56,,,,,,
,Scatter Plot,30 °C,27,0.46,,,,,,
,Scatter Plot,30 °C,28,0.44,,,,,,
,Scatter Plot,30 °C,29,0.31,,,,,,
,Scatter Plot,30 °C,30,0.27,,,,,,
,Scatter Plot,30 °C,31,0.23,,,,,,
,Scatter Plot,30 °C,32,0.22,,,,,,
,Scatter Plot,30 °C,33,0.2,,,,,,
,Scatter Plot,30 °C,34,0.17,,,,,,
,Scatter Plot,30 °C,35,0.16,,,,,,
,Scatter Plot,30 °C,36,0.16,,,,,,
,Scatter Plot,30 °C,37,0.15,,,,,,
,Scatter Plot,30 °C,38,0.15,,,,,,
,Scatter Plot,30 °C,39,0.15,,,,,,
,Scatter Plot,30 °C,40,0.0,,,,,,
